忠！诚！（简直一模一样）
我比较想知道是哪个奖杯明星
别忘了，还有杨紫粉丝，诸紫百家可不是说说的
《有的》
《近乎》
金蝉子：别叫，我也在挤
春天到了，动物们又开始了……
时代少年团粉丝现状
放一瓶王老吉
《好的》
@米哈游
最支持专家的一集
确实理解不了这些制杖
放一碗螺狮粉
《好》
大头照唱歌
时代峻峰
瑶  瑶  公  主
《首先》
时代峰峻
《专业化》
共情能力最强的一集
天生爱人的能力
@米哈游→众所周知不能批评，一批评就会给你扣帽子 然后来围攻
米哈游
鹰角
米哈遊
@米哈游
这不就是mhy吗
热知识：很多大粉都是工作室披皮
酷狗
米哈游
@米哈游
元神玩家
我从来不追星
可悲
迪丽热巴粉丝
不愧是饭圈
额……
建议狠狠整治饭圈
就是涉黑团伙，该治理了
釜山行都没这么多人
周深粉丝
就一个网红，有必要吗
这在古代都算是造反了
挺好的
肖战
XZ
不都是那些个公司，经纪人公司，机构搞得么
神经
这些人每天没事干嘛？饭还是吃的太饱了
逆天
文明  哈哈哈哈 理想 哈哈哈哈哈哈
点名肖战
哈哈哈哈哈哈哈哈哈哈
追梅西的不也是吗
自发？
都是吃饱了
？？？？？？返祖啦？？
狗也喜欢集体活动
神金，这样
他们不上学不上班么？
@米哈游
北京瑶瑶
饭圈我看乐子的圈
这个星，不追也罢
背后有资本的推动吧
该治治了
xz粉
还是袁隆平爷爷让他们吃的太饱了
谁追星谁NT
饭圈＝一群若之
他就这就这就这？
@库洛游戏
能抓起来吗这种人
有人听吗……
有病
那个明星
文明观猴
不是搁这玩特务呢
什么精神状态啊，自己喜欢就行了，非要团体
弹幕好典
这算非法集资吗
最支持专家的一次
青帮
团伙行动
好多未成年人
难绷
纳税人的钱就用在这里了？让他们冲啊
北俱芦洲（确信）
还是饭圈太低龄化了！！之前有看见十岁，十一二的，太疯了
是的  真的是吃的太饱了
好不容易？
神经
早该好好治治了
这得上催泪弹
我追星，但我追的是人类群星闪耀时
真的合法？
离谱
教徒
《好的》
要治！
追星先做好孝敬父母开始
？这是什么理论？
出栏咯
饭圈应该也有明星团队内部人员参与，要不然签名从哪里来？
金蝉子，我又赢了
《请回答1997》
啊？
啥啥都金蝉子我赢了，建议先看看脑子
不理解
太对了，德云社也是这么极端
炮灰
某销组织了吧
新型传销组织
猪突猛进
大部分都是花钱雇的，然后骗一部分傻子跟随
难怪那么赚钱
都是棒子那边传过来的
跟上班一样，做了有工资拿吗
经典月入三千关心月入三千万的。   “啊啊啊，ta真的好努力” 实际上可能就是跑个步或者做个饭
支持打击
难以理解
都是花钱雇的，里面有一半真粉丝都算多的了
饭圈头头是谁，感觉这个组织者有点意思
内娱完了。。。。
就想知道这些是哪些家的生物
吃太饱了
闲得慌了这些人
你才知道啊
终于要治治了（挺）
什么鬼？？
我只是想追星不是想打工
太吓人了
哈吉米笑死我了
这下看懂了
？？？
应该一人一拳
传销吗不就是
这已经构成非法集资罪了吧？
催氪金
就是宗教
青少年就毁了
终于！
最大可能是时代峰峻
有趣~~像猴子
出击了吗？如出~
确实是这样
赛博宗教
神经
也不怕发生踩踏
尸潮么
线下anti
“文明”和“追星”，听着还挺别扭
那么请问怎么治？什么时候治？（）
神经
所以追星追大粉的脑子咋想的
哥哥那边的
哈哈突然懂得了，《光点》是吧，太典型了
直接出台法律整治吧
蔡明的追星族小品早就讽刺过了 还是以前小品搞笑
全是cmg
在此点名肖战
咬一买三那个？
《好不容易出一张专辑》
金蝉子 我又赢了
不是说现实，不出意外不会有丧尸吗？这些都是啥呀？
最好是不提 你们拉踩可厉害了
确实
《砖急》
一个戏子，下九流中的下九流
土豆子
看懂了
啊
0帧起手
被优化的粉头
逆天
她经济
