毕竟只是电影而已不会太真实没有像那种神剧一样拿了个弓箭就给雇佣兵干掉了。
记忆恢复100%
普莱斯队长（
丧彪（确信
拍这一段，我记得吴京跟那个外国演员都受伤了
9月8日下午1点半3000＋人出来
3……3000+人！
手雷666是桂
？？？？？？？？？
我很少用人声鼎沸形容一个解说视频
高打低，打可爱
字正腔圆
我不希望在战场上我的枪被敌人拿起来就能用
飞舞狙击手
《迪克》
触发斩杀线：过期
《逼退在原地》
这个应该是信号弹炸了吧，不是开枪杀的
晒足180天
《便声期》
简称：西伯利亚
昊京睡着了
体育生
暗区小鬼来了
安东尼多斯
似了
这不是他自己的枪吗？？？
逆天
666
一等功
真正的震撼弹可以造成短时致盲，甚至直接眼损伤
？已举报 哪这个开玩笑？
？这视频咋这样讲？
这会儿来把机枪就是解压游戏
百家争鸣
影视效果，观赏性
瓦尔特？
博伊卡！
真吵
不会解说可以不解说
大记忆恢复术
这不博伊卡吗？
这种也有百万粉？？？到底是什么人喜欢看啊
博伊卡
这么持久的广告刚刚好
博伊卡！！
七嘴八舌
后面有追兵还不赶紧跑，搁这儿打嘴炮
张飞
这咋还打急眼了
记忆回复85%
记忆回复50%
攒劲的节目（
怎么跟自己吵起来了
博伊卡
主角话多装逼
我老喜欢看广告了
男人就要血气方刚
666草东迷
不看了又吵又听不懂说什么
哎呀我去，你给我干哪儿来了
出连招了，各单位注意
弹幕乐了，对面是枪你是刀，都是训练过的，你凭什么能插到别人
讲说的什么乱七八糟的
博伊卡
。。。。
肾上腺素已经爆表 这段时间连疼痛都能屏蔽
演的尬不尬
太抽象了
人声顶狒
？
记忆恢复80%
记忆恢复50%
丧彪
垮差
耐叉王
《槽》
丧彪
空包弹也会冒烟啊
再打这种广告，我给你，充电拔了
各说各的
我是冷锋也不会回答你，太吓人了
压根听不懂啊
木已成舟。
变声器
我去，双重人格
想啥来啥
匕首这是正握，神特么反握
丧彪
真的没人觉得吵么？
一张嘴胜过千军万马！
666这个入开陀螺了
这枪弹道偏左的
你高打低配毒性改变真实大环境
我很少用人声鼎沸形容一个视频
特种部队成员肯定听得懂英文啊
人声鼎沸啊
逆天
战狠
节目效果全靠配音
？
交叉骨
666偷到何晨光的枪了。
正常情况的特种兵对面人还没见到我们人就已经死了
我现在已经第一时间恢复记忆了
你好
博伊卡不打拳改当雇佣兵了
建议静音看字幕
博伊卡
？
《中门对狙》
我博伊卡跟你玩腿还委屈你了？
这种解说真的很吵 能不能正常一点
大古！！！！
他弹道不对呀。
不对啊，这里不是被枪打死的，是信号弹炸死的吧？
这把枪弹道偏左
我想起来为什么关注他了
《不喜欢这么持久的》
《人声鼎沸》
所以他手上是玩具枪吗？
这剧情跳的有点多啊
笑死我了
?
叮，记忆已回复
神金
哈哈哈哈哈
这不是刘华强的老对手徐国庆吗
我是一个盲人，这段群架打得太精彩了
字幕：求你了，说慢点吧，我快累死了
博伊卡好帅
博伊卡是整部电影唯一亮点
真人出镜
高打低，打**
？
出来了
哈哈哈哈
哈哈
啊好久没刷到你的视频了
要来力
？？？？？？？
不是军演遇到外军，而是有外军才军演
《雪茄》
哪个国家敢在中国边境线开响第一枪啊，扔石头拿铁棍估计都是极限了
他眼睛里有光！
哥们儿挺会找赛道啊？！这种解说方式还是头回见
黑松露区up主
¿
博伊卡
这招是真的狠
就开就开
拿军旅片跟神剧科幻剧比？这辈子有了
以高打低，像打帅哥
安局
好吵
这是几个人同时解说的
斯科特·阿金森
又是你司马懿
博伊卡
有枪还在这拳打脚踢呢
现在的雷踩上就炸。松发雷一般之在影视作品中
博 伊 卡 ！
？
经典中场休息
。。。。。
伯乐：你知道我要说什么
打波Q
不是你跳的这么快啊
6哪你们在雷区训练啊
完了上buff了
为首的是丧彪
好吵的解说
吴京演的真夸张
草
打得好！
你是谁我什么时候关注的
红红火火恍恍惚惚。
怎么七嘴八舌的
哈哈哈
踢的好
这没打中？
什么影片背景适合加广告，什么都触碰调侃不太合适
博伊卡？
行了吧，格斗人种优势永远不会是亚洲人
开始了
？搁这乱洗？  那是科幻片 定位都不一样  战狼是科幻片？
哦
屁，这是看见自己这边的枪被打坏了
阿弥陀佛
太假了
反派死于话多
死于话多
你这话这么烫嘴吗？
名场面来袭
你好吵啊
已举报
啊？？？
朗姆洛
安长林
还是忘不了那个人参啊
？
哈哈！又在意淫
丸辣，是连招的味道
博伊卡
你不会觉得这样配音很有效果吧？
冷锋 out !
2.3
谁可以听懂在说什么
打中的话：《The end》
这个怎么办？
安长林
博伊卡
这下听懂了
？
？？？
重创目标
Hit
我就没见过有雇佣兵敢进入中国的
好吵的解说
攒劲的节目
哦原来是你
《吴京打彩》
跟我玩腿是吧
诺言诺语
听不懂啊！
真怕你嚼到舌头
我这把枪弹道偏左
慢点
吵死了
Q!
格斗之王是雷欧
这狙击手太水了
l
支援部队:先看看他们怎么打的
枪法太次
鹰眼儿
人声鼎沸
优秀的匹配机制
隔着玩吃鸡呢
泰叔
茄子
敌不犯我，我不犯人
这狙击手是真人机，我就想知道为什么编剧不换一个镜头？
丧彪
博伊卡
咋的，战狼也能弄大炮子啊？
这枪他用不了
肾虚了。
人家吧，这都打不到?当什么狙击手，当敢死队去吧
fw狙击手
丧彪
攒劲的龙小云
高打低，打沙比
我去拼多多看了34.9一瓶
不是大窑?
逆天哥是这样的
up这是在找自己的受众观众吗？
这东西用在工作和运动场不浪费嘛
实蛋
?能慢点嘛，跟不上
给冷锋叠buff呢
这是雇佣兵吧
这个你就别另配了呗！你那一嗓子吓我一跳
各说各的
？
啊
丧彪
太好吃啦
扎上去立马转一下呗
对方都听不懂对方的话，但是呢，听出了气势
真怕UP咬到自己了
举办了
？
别人枪法其实不差，因为你手按板机的时候，你肯定总有点移动吧
战斗，爽！
想多了，现实中这么多枪，吴京早死了
？
肾上腺素发力了
以上两种方法破坏性和误伤率极高，不应使用
以高打低 打（ ）
为啥会关注他来着？
随从：我free了
这电影不适合开玩笑！
老猫参加过两次。海湾战争和阿富汗战争。我说的这个是真介绍啊。
神剧
录多了
血脉觉醒
啊??
是你
这个反派最后死于话太多。。
爽
好
这不是徐国庆吗（
66666666这声音真六。
龙小雷
博伊卡
来啊！！！！特么的来啊！！！！！
何晨光的枪
我们可能没有洋人壮，但我们有他们没有的东西！！！！那就是！信念！！！！
传奇耐炸王
已经扎进去了
说真的我想打这解说了，你啰哩啰嗦的
我的枪弹道偏左，因为我不想让敌人捡到我的枪，可以直接使用
变声期吗
何晨光
托马斯
广告到期了，哈哈哈
对面不开枪吗
这都没射中
嗅～这味道不对！是故人！
？？？
这剧情有点魔幻了，哪只雇佣兵敢在中国的地盘上搞事？
66666再解锁六
初见端倪
给我CPU干烧了
有狙击手蹲下
泰叔啊
