标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
我爸被撞没死掉，真有后福，有给钱的，还有给安排新车的,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1qZHDeQEEX,394.0万,9716,Not Found,51.4万,8.4万,51.4万,3178,"['了不起的新农人', '生活', '三农', '途岳新锐', '上汽大众', '小青年大丰收']",2024-09-07 17:00:00
超级偷子,小潮院长,https://www.bilibili.com/video/BV1VQH9eWEBE,441.1万,3.2万,"希望观众老爷喜欢这个系列！ 
（希望你们喜欢，记得素质三连！）
温馨提示：本期节目有一点点不一样，更偏实况、推理、讨论，
大家都是自然真实的表现。
可能没那么多节目效果，希望大家多多理解！！！",34.6万,17.2万,34.6万,6902,"['搞笑研究所', '生活', '搞笑', '娱乐', '搞笑', '生活', '高能', 'vlog', '沙雕', '小潮院长', '小潮team', '奶酪大盗', '搞笑研究所2024 5.0']",2024-09-07 12:00:00
《崩坏：星穹铁道》飞霄角色PV——「君莫笑」  ‌,崩坏星穹铁道,https://www.bilibili.com/video/BV1s2pBevEoN,334.9万,1.6万,"「即日起，罗浮各店暂停提供酒水服务。」
「发生什么事了？」
「嘘，将军口谕：狼来了。」

中文CV：
飞霄——叶知秋
景元——孙晔
 
日文CV：
飞霄——小松未可子
景元——小野大辅
 
韩文CV：
飞霄——손정민
景元——류승곤",26.5万,10.7万,26.5万,4.0万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-09 12:00:00
花十万元改造了一家40年的两元面馆。面馆老板只为赶集老百姓能吃到一碗实在的面，我也想让他们吃到一碗更幸福的面。,superB太,https://www.bilibili.com/video/BV1sBpae2EMi,207.9万,5591,-,32.2万,16.0万,32.2万,4511,"['美食', '美食侦探', '街头美食', '老板', '探店']",2024-09-08 12:58:00
纯黑《黑神话：悟空》全程无伤攻略解说 第五期,-纯黑-,https://www.bilibili.com/video/BV11XHoeJEDB,152.0万,1.9万,"ED非官方部分素材出处：BV1e7421R7sR非全收集攻略，但每一期开始前会把之前落下的东西收集全。为了我的心理健康，不会再做构式BOSS了！莲眼是最后一个！（除非和主线有很大关联）
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。制作片尾需要大量时间精力，已经做好的不可能再更换。",16.5万,18.5万,16.5万,5454,"['游戏', '单机游戏', '纯黑', '攻略', '解说', '悟空', '无伤', '黑神话', '亢金星君', '莲眼', '妙音', '亢金龙']",2024-09-07 12:00:00
看完PV大伙都乐了！2024年10月新番导视！【泛式】,泛式,https://www.bilibili.com/video/BV1yUp4eeEQ2,169.3万,2.2万,"2024年10月新番全资讯导视。大伙看完PV又哭又笑！

求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连2024年十月新番",15.4万,5.8万,15.4万,9495,"['动画', '动漫杂谈', '搞笑', '原创', '恋爱', '新番', '泛式', 'Re：从零开始的异世界生活', '吐槽', '杂谈', '青之箱', '关于地球的运动']",2024-09-07 18:30:05
美国街头烤肉之王！一周只开2天，到底多好吃？,Meetfood觅食,https://www.bilibili.com/video/BV1LyHQenEut,221.5万,4445,美国最火爆的烤肉店什么样？ 今天我要带你们去的这家美式烤肉店，一周竟然只开2天，4小时全部售空！ 到底有多好吃？,16.3万,3.5万,16.3万,3417,"['秋收九月·美食团圆会', '美食', '美食侦探', '美食', '美国', '街头美食', '烤肉', '吃货', '4K', 'JoeJoe', '探店', '美式烤肉', '秋日美食吃喝大赏']",2024-09-07 17:00:00
享饮,文武俩兄弟,https://www.bilibili.com/video/BV1YSpqeyEoe,105.5万,2986,-,19.6万,3.9万,19.6万,5115,"['生活这件小事', '生活', '日常', '酒', '文喝武喝', '擦大哥', '极饮者', '八饮', '寡人', '记录', '喝酒', '生活万花筒14.0-给生活的planB']",2024-09-08 20:25:07
紫蛛儿没死！八戒顶级演技骗过世界！【黑神话悟空】震撼解读04,未知老D,https://www.bilibili.com/video/BV15oHZeiEJS,178.5万,5750,"黑神话悟空第四章的解读来啦~希望大家能喜欢
这期真的纯讲主线，而黑暗的支线没有讲
主要想聊一些美好的东西，不要做的那么压抑，希望大家能理解
如果大家喜欢希望能三连转发支持一下啊~~~~",9.3万,5.3万,9.3万,1.3万,"['黑神话天命人来也', '游戏', '单机游戏', '西游记', '孙悟空', '游戏杂谈', '单机游戏', '黑神话悟空', '黑神话', '紫蛛儿', '八戒', '《黑神话：悟空》8.20 直面天命']",2024-09-07 13:47:49
军训辛苦了！来集脱缰凯！,脱缰凯Kk,https://www.bilibili.com/video/BV1hQpvevEL2,134.0万,3349,-,18.4万,9915,18.4万,2551,"['影视', '小剧场', '写作业', '校园', '作业', '短片', '原创', '剧情', '学生', '大学生']",2024-09-08 17:51:01
