byd这远古音乐绷不住了
鬼魂：这次是来找你的
警察：千防万防防不住你们
服务员不对劲
十年老玩家帮带萌新二命通关科林伍德精神病院，来了宝贝
七窍流血
通灵盒（确信）
二周目
666 躲房间，若只
全部都丸辣！
千里送人头
额，我有一个疑问，如果只有一个人去了，那么谁来祭祀呢？
逃生里柜子就是爹
鬼：我这有个老熟人，你们人类要不要认识一下？
boss已触发
《万磁王》
当时觉得好玩就拍了，没想到真的火了
我阿美自有国情在此
加菲笑.gif
维斯放技能了
第五人格！出洞！！
启动！
是你先张嘴的
被撅了
Lol后遗症
下一个伥
level2   管  道  噩  梦
果然，兰斯变成伥了
第一季的门上面不就是写了死神在等你吗
不是，知道是真的也来送？
丸辣！警——察——
虫子护体
我勒个高速吟唱
无解恐怖片
丸辣！
。。。。
b
楚门的老婆
这个好像是恐怖精神病院5游戏一关中的取景
这下看懂了，经典恐怖电影桥段作死
妈呀大姐你
?这是正常人会产生的想法
万一团灭呢
好机会
老兵回归
快去请温家双煞
虫子护体
YOU ALL BE DIE HERE!
野人
可奈捏
鬼 猎杀开始
也不是不行
无人机拍摄
150人出来
换我直接让她怀孕
哟，维吉尔，把阎魔刀给我。（bushi）
鬼有不杀兰斯的理由？
分开送
现在后悔，已经太晚啦
++++++++++
为什么不带雷管，直接一楼破墙
高能！！！前方高能！！！
逃出来的幻觉？
好言难劝找死的鬼
组队送人头
倒反天罡
既然都拉警戒了也确实死人了，为啥不拆迁掉
这辈子稳辣!
虫子护体
缩毒圈了
恶灵附身剧情
鬼打墙是吧
不是哥们怎么变成玄幻故事了
我靠，也太绝望了吧。
经典单走被单杀
点子王
真6都快寄了还有时间休息
不是哥们，通灵板炸了说明要猎杀了
虫子护体
虫子护体
亡魂还会玩互联网，也没影片里面那么机械啊
最无语的是每次玩都漫不经心
免费劳动力hhh
估计这里已经在拍电影了
第二部怎么这样了
好耶！
跑题了？？？？？？？？？？？？
虫子护体
谢谢大雷
害怕怕.jpg
这种情况下警察包死的
达杰妮
稳辣
虫子护体
惊不惊喜，意不意外
B
还不跑
第一部全集了，到自己觉得没事
说是鬼 咋看咋像是僵尸
[前方高能]
[前方高能]
虫子护体！！！！！
丸辣
这不是 恐怖游轮的 BGM
这个特效有点假了
虫子护体
好机会
背景大雷
虫子护体
中国人，不怕外国鬼！
找到诅咒道具了
路痴地狱
画质变好了
鬼：吵死你，你出去罚站
虫子护体
虫子护体
？啊？
虫子护体
前面假弹幕那个是昆池岩吧
？玩密室逃脱呢
好嘛，开屏累积
我测真吓我一跳
B
老套
可爱捏
神奇脑回路
好耶
虫子护体
那个保洁在笑
可爱捏
虫子护体
这男主真挺帅
他们怎么还能信地图
虫子护体
来了宝贝别怕
虫子护体
我勒个的扫杠
刚刚那个码也是up打的吧（手动狗头）
当然是up打的
我勒个大点兵啊
虫子护体
虫子护体
弹幕护体！！
好似
不是哥们，你都认为是真的了还去？
终于明白？
天黑！！！！！
死亡点名（doge
電影拍到一半換導演了
虫子护体
笑鼠
弹幕护体！！！！！
死寂bgm
黎明杀机的恶灵是吧
這不就是心慌方的設定嗎
异次元杀阵，心方慌
可爱捏
劇情終於有進展了
就这张嘴吧，我相中了
纯作死
是保安不是警察
开始找死
哈比中的哈比
虫子护体
第二部虽然商业更浓，但整体却是超越一代的
带哥，你把他们杀了又没联网谁看的到啊
