舞蹈功底都这么扎实的吗
这个公司音乐质量很好的，也有好多知名的作曲家从这里出来的，就是在艺人经营方面一般
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
熟悉的小曲
比大多数五六代女团歌好听
这首歌真的非常的好听，舞蹈也不用再是原来的性感，姐姐们可以根据自己想要的来跳，很不错
颜值、身材、表情、镜头表现力。真的是风格很成熟的女团，如果有点运气的话肯定不会是现在这样
可怜是她们之前发过的歌，现在是改编版!
这就是之前的歌呀 曹璐买了版权重组了fiestar 肯定熟悉啊
kpop阳间区 给我像肉零一样大爆
疯狂爆哭！谁能懂这种自强励志一出来就绷不住了
既有业务能力也有美貌
以前的编舞太x暗示了 改是对的
大家多多支持一下吧很不容易的姐姐们
真的好喜欢怨妇风。。旋律一出来直接闪回上中学的时候
Yezi在unpretty rap star 第二季的表现非常帅！
好感动呀，而且有种成熟有自我意识的感觉
以前的爱豆实力都不是盖的……
有梦想的人就是了不起
c位这个姐姐动作好利落！
前面姐妹说的对 这才是乘风破浪！！！
大家刷刷瓜吧让姐姐们也上一次打歌节目
有梦想了不起
大家支持一下吧，这次回归真的很不容易，曹璐姐姐花费了很多心血
loan除了iu fiestar和history都搞毁了 还好这次团名给姐姐们用了
这姐姐是刘诗诗那一挂的气质美人
那些年的怨妇风女团都太可惜了，还有9muses
她们一直都是kakao本部的 后面是把所有娱乐产业都化到fave才分出去的 包括iu
刚听完crazy过来洗洗耳朵
加油
她们的mirror也好听
支持
仙曲
对嘛 我就说这个姐姐面熟
哇，虽然是小学的时候听的，但像上辈子听过的歌一样，
这就扎实了？？？？？？？
这才叫rap
已经是几个孩子的妈了
还是这么漂亮
好有魅力
我的天啊啊啊啊啊我刚刚听完这首歌太巧了！！
有中文版
改编的好好听！！拍的也好好看
曹璐真厉害
以前真的吃太好了，二三代团神仙打架
rap还是自己这位姐姐自己填词的
身材管理十年如一日啊
很空灵的背景音
好好听的编曲啊，这一个个水滴声
好好听
队长是真的漂亮
不过我更喜欢中文版
前奏跟黑暗森林一模一样但不能算抄袭
伴奏层次不多
好好听啊
身材管理好牛啊
曹璐B站也有账号，大家可以再去她的账号支持一下哦！！
主唱真的唱跳都很厉害啊
主唱唱的更好了
这才是阳间歌曲。
神开头
crazy dog
这段好好听
太绝了好爱好爱
哎呀 是这首
中文版姐姐们的发音都很清晰 大家可以去支持一下！
iu帮忙在ins上宣传了
我真想看小性感风 现在都没了
纯正kpop味 不是欧美曲
好好听
歌真的很不错！
她还是那么漂亮
特别棒TT
出音味来
c位姐姐 linzy 林敏智
crazy dog啊啊啊啊yezi一辈子的老公王
这个姐姐真的是很牛啊
这个前奏好熟悉！
原来这首歌是她们的呀，前奏很好听
好想看打歌
归来还是二三代的歌好听
冲啊冲啊冲啊
6年不做爱豆了。。怀念
起鸡皮疙瘩了
姐姐们好美。。
一个都不认识，眼熟的都没有，是二代女团?
jei特别甜的！！
那些年的怨妇风女团都太可惜了，还有9muses
fiestar和history啊，都是很好的团，结果都被loen赔了
我天呢太好听了
我靠
长裤子姐姐的音色好好听
啊啊啊这首歌巨好听的
莫名的也是想哭了
我天这个是他们的歌啊
太好听了
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好好听诶
666
jei的腿真的好绝
姐姐是loen的，那个时候kk还没收购loen，和kk一点关系都没有
仙乐啊简直
这个美女是我们曹璐！！
曹璐太厉害啦，姐姐们好牛
我靠 这个旧练习室衣服 要哭了
更喜欢中文版的色调
我们璐璐！！！！！
还有汽水
哪个是金珍熙认不出来了
她们好几首歌我都挺喜欢的
真的好好听
天呐，我有点想哭了
这歌听了好久
五六代的不争气，致使二三代都还能再次崛起
啊啊啊啊啊這首超好聽
我去是这个歌绝了啊
豪庭
支持
姐姐们身材管理的还是这么牛
两位主唱声音好抓耳
这个身材 妈耶 姐姐我好馋
我滴妈，梦回小学橙光
身材都保持得很好
第一次听…虽然mv很简单但歌曲真的太抓耳了
回归大发
居然是她们的歌，我还挺喜欢
好好听！
尊嘟蛮好听的
好听
真正的好歌啊，，
想哭了 谁懂。。
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
他们状态真的好好
这才是熟悉的kpop
音色好好听
好好听
回归大发
回归大发
时隔六年曹璐自费买下歌曲版权并重新编曲编舞重新回归，大家多多支持追寻梦想的姐姐们，这次回归还有中文版哦
那个时候有百万直拍已经很有实力了，但是公司不太会运行。。
9+64
超喜欢这首歌！！！
开头像JYP旗下2PM
支持
啊啊啊啊我真的y要哭了
、
好熟悉的调子
拜托了一定要拿到一位啊
比一些把利益放在第一位的白眼狼吴某某黄某某强多了，曹璐是带着梦想去的
回归大发
曹璐虽然没有歌词和以前一样，但是它的开头和结尾都是他的c
中文版歌词真的很好  英文rap也很好听
这个歌我听过啊原来 很好听
这最多算舞蹈视频吧
天呐有种要泪目的感觉了
帮忙切切瓜吧！！很用心值得大火！还有中文填词写的真的很好！
真的很好听啊  之前完全没听过的歌一下就爱上了  中文填词真的特别棒！！指路曹璐姐姐官号
去曹璐姐姐B站/wb等官号支持一下播放量吧！！！可以帮忙切切瓜！不会影响到自家的！！
去曹璐姐姐B站/wb等官号支持一下播放量吧！！！可以帮忙切切瓜！不会影响到自家的！！
去曹璐姐姐B站/wb等官号支持一下播放量吧！！！可以帮忙切切瓜！不会影响到自家的！！
曹璐身高好像是第一高还是第二高，没想到她在团里高得这么突出
这首歌真的太好听了
切领头切得好生硬
跳得比现在有的女团好多了吧
简单来说就是不会营销
真的特别仙的一首TTTTTTT
321
还有中文版
三代团实力太能打了
这首我以前听过啊！这个新版听起来好像更温柔是吗
哦这就是曹璐自费那个吗！
加油加油冲冲冲
回归大发
二代的感觉
副歌音色好好听
好听
投币支持
不是神话二三代，但当时大环境真的很内卷，整体实力就是要比现在强
我超喜欢这首歌
曹璐姐
看看以前的身材管理，好棒
这是真热爱啊
k，好好听
一切都是苹果派的错
jei太美了
仙曲！！！！！仙曲！！！！！
好好听
一听前奏全想起来了
真诚的人做什么都会成功的
加油加油，曹璐你真的好棒
坚持梦想的人，让人肃然起敬！！
扎头发的是队长门面jei
我擦，活久见
支持支持
好好听！
好听啊啊啊啊爱了
好棒的曹璐姐，大女主
实力好好
aww真好
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
真好啊，原来的kpop
我天原来是这首歌 姐姐大火吧！！！
你们想想她们已经很久不做爱豆了，身材管理还这么好业务能力也强
回忆涌来
二三代团有很多混子没必要神话二三代团
说不齐的人是跳的有多好吗
原来这首歌是她们的啊
大家可以多去曹璐姐姐B站号看原视频，冲冲播放量！
女爱豆的身材管理
超级好听的一首曲
裤子姐姐好利落
linzy唱歌还是那么好听
熟女风太吸引我了…
什么叫团魂…这是团魂啊！
很神奇，就是歌儿好听火但人不火
好好听啊
第一次听这歌就知道是我的菜，好好听
原来yezi是这个团的啊
这里的节奏璐璐还可以多加几个口说歌词。刚好可以说三次
大家可以去曹璐B站账号下投币支持下，原版视频在那
二代团是真的干净利落啊
jei姐姐还是那么美啊
而且虽然只是普通的舞蹈mv镜头却很棒很有品呢
她的音色绝美
这个裤装姐姐好帅啊
不知道，有点像手指琴?
这腿好好看啊
以前爱豆开麦完整唱跳是日常 稍微做不好就会被骂的 所以实力放心
我哭
好好听啊！！
好听
谢谢老师！！！！！
来啦
真的好好听
姐姐们好飒
好听好美
好漂亮
好游刃有余的感觉
这才是女团！
哇 奶青回
越听越好听
姐姐们真的让我感受到了二三代的力量 大发！！！
姐姐们身材管理太好了吧
好好听！
好美啊
这两位主唱姐姐好美
·
这个编舞比原版正常多了
干净人分的清的mv!
这个抒情真的好好听啊 这才是抒情rap
好帅的姐感团
这首歌养活了多少橙光游戏（）
状态都很好啊
爱了爱了
疯狗我记得！！
kpop早就被bp带坏全是girlcrush歌了
她就是曹璐
在伊好漂亮
看着很舒服
背景的鼓点好喜欢
T.T
好耳熟
好帅的姐
哪个是曹璐？
好听的
每一位都好好看啊
太好聽了啊啊啊啊
哇塞姐姐们好美啊
天这个姐姐好美
美晕了
jei好爱你
姐姐们真的是好利落，好洒脱的美，状态太好了
喜欢这个新编舞，手指放脸上的好好看
快去璐璐那边三连！
长裤子姐姐眉眼有点像陶红
不是二代是三代哦
来支持了
曹璐姐！
FIESTAR大爆
FIESTAR大爆
FIESTAR大爆
FIESTAR大爆
FIESTAR大爆
FIESTAR大爆
FIESTAR大爆
背景音有点吵
linzy   linzy  linzy  linzy
hyemi   hyemi   hyemi   hyemi
lulu   lulu   lulu   lulu
比最近的不少歌都顺耳很多啊
yezi     yezi      yezi    yezi
Jei      Jei      Jei     Jei
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
这段鼓点太爽了
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
姐几个回归大发！
这首歌又要火起来啦
我突然觉得kpop真的该有点成熟风了……
还是很经典舞蹈太出彩了
服装都很好看！啊啊啊啊啊虽然简单，但是又很适合！
这里的雨景好好看啊！
改编的很好听，舞蹈也改的很好看！
大家去支持音源，拜托啦！
超级爽
转场好
哇
啊啊啊啊加油
好帅好有魅力
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
为什么看着想哭呢
美死了
哎哟我去，又好看又好听
不是粉丝但是好想哭
以前的歌好好听
好帅
啊啊啊好帅
看的我好感动
好听
好久没有完整的听完一首歌了
扎头发的不是曹璐哦 穿高筒靴的才是！！
这个雨声绝了！
最好笑是当年最火的时候，一帮傻子说金珍熙名叫曹璐
以前公司让她们走的就是性感风
大家也多去曹璐姐姐官号刷刷播放量吧
想到橙光了
头好小
以前的编舞真的。。好想哭
这MV是她们解散6年之后，曹璐自费重新拍的MV，改掉了当年不合理的舞蹈
身材比例好好
她们6年前就解散了，姐几个身材和脸保持的跟现役女团一样，甚至比她们还好
加油！！
jei这首歌有好几个百万直拍
这位姐姐太有魅力了
yezi啊呜呜
好听，最近旋律悦耳的歌少了
这个姐
妈呀一听就我的大学生活回来了
练习室这套衣服
多多支持原博啊
田娜，姐姐们真的，我哭死
女人就是自律，这身材管理
