几年后这面墙肯定刮下来厚厚一层
我们意念合一
同步率100%
一个视频融合美术区 美食区 萌宠区 甚至还有抽象
双人解密（不是）
颜料：神金
以后：诶?我房子怎么越来越小了
《猫》
老红牛了
我是卖颜料的，我已经开上劳斯莱斯了
猫：给我的吗？
等一下，这是给动物吃的？比我们学校食堂好多了。
我以为中间人形留白是有用的。。。
下雪了
鼓大包了
意义是吸引你的眼球
艺术不是博人眼球！！！
噗叽啪
结尾，画的狮子，前面是行为艺术
哈哈哈哈哈
好，已经学会了
快眨眼啊，愣着干嘛
小猫：肾经
唐伯虎点秋香
大病区又有活儿了
？？？
啊？
这完美的蒙太奇
泼的意义何在
不是，我看着他画的呀？？？！！！
啊？
啊？？？？
是你！纳尼亚！！！
我还以为是虎先锋呢
立了，应该是砸疼了
唐伯虎？
不好
前面的，说环太平洋大概是因为动作同步
都看到这了，给你加点完播率（doge）
WC
啊？
不给你两个币我都觉得不好意思
啊？
？？？
猫不用一定要吃鱼
大鼓包了
雪
哈哈哈，看太久奥运建儿了，差点把马克看成马龙
这一甩
卧槽
神金
咪：……我也泼一个？
???
野猪佩奇
谢谢
好帅
我还以为是个艺术家，原来是个艺术家
魔法开始
硬了
猫狗和马克吃一样的
我觉得狗的那份我也可以吃
朕很满意，当上
唐伯虎点秋香
野兽派
？？？
那么，第一步的意义在哪里呢
他画完她就刷浆，原来160多平米，站在只有60多
等等 那前面二十秒的意义是？
也就那样
毫无意义
玩斯普拉顿玩的
噱頭
这不接个油漆广告
好，艺术
立了。
截图成功
有点意思
唐伯虎同款
狠人
谢谢
《雄伟的狮子王》
致敬《唐伯虎点秋香》
我靠，这牛逼
艺术
鹿头？
和唐伯虎一样抽象
答:发癫文学，刺激
若智
举办了
董二千
？？？360p咋变超清了？
神同步
这不跟之前那个女生一样的营销吗
？？？？
唉，正经的艺术没人看，只有搞这些才有人看，悲哀呀
阿基里斯与龟
虎先锋
稍微带点报复心
马克游画
搞粉刷的何尝不也是一种艺术？
美食区up这么卷了吗
啊？
和我家猫大小一样而且身体和脸都是一样的脚也一样的
早期环太平洋训练流出
鼓大包了
逆天
哈哈哈
byd支线任务
不是哥们
？
又疯一个
哈哈哈哈
风格好像何水晶
三四层楼那么高
这艺术有多高？
动漫量
？
所以说开头泼的那几下意义在哪？
？
异术家
意义就是不泼你们怎么会继续看
？
What?
不是你带个口罩会有什么影响吗。
艺术和生活
王德发？
我是鳴潮玩家，這就是衍射
《案发现场》
所以开始泼的就是背景？
唐伯虎点秋香
泼的意义何在
祝枝山再现
起码带个头盔，，，
动漫量
啊？
？
盲猜最后饭桌背景是画的画
这不会是李菁他家吧
三体人眼中的罗辑
浪费啊
所以人的作用是
啊？
不会装逼怎么搞艺术啊
原来马克不是一个
搞艺术的多少有点不正常
看见小猫一下就点赞了
唐伯虎作画
抽象行为
气派
唐伯虎看多了
看不懂你的艺术，也欣赏不来，如果没有互联网，你绝对是扑克牌里的大王
写实？
艺术+美食+宠物区UP主
家里还缺宠物吗？
折腾半天搞出一张行画
我去，恋爱循环
我是调色师，这就是颜色
所以最开始泼的颜料意义在哪 这后面不还是重新用其它颜料画的吗
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈艺术是艺术，饭还是要吃的
这就是街舞
口罩都不戴一个的哈哈哈
所以一开始那个就没了吗
说实话我觉得挺好的。
这就是言社（锻炼语言能力的社团）
？？？？？？？？
这个就是艺术
他们说我是疯子，艺术家都是疯子
为啥不趴着
《鲤鱼打挺》
地址在哪？我也去开个店卖颜料
你咋啥都拍呢
我擦
同步率100%
这大包鼓得
艾斯爱慕
冷知识 兔子不建议吃胡萝卜
真的有人欣赏得来的吗？
蒙太奇？
力了。。。。
照猫画虎？！
啊？
666这群入开了
不能好好画吗？
画很无聊，很平庸
大猫
好忧郁的狮子
浪费
"666这个入开桂了,盐豆不带盐的"
小狗小猫不能吃调味料的
啊？
不是，这到底是什么区的
这就是艺术
威严
搞艺术讲究不拘于形式
亏了先诞生了梵高。
小馋猫
艺术与生活
做饭与农家的完美结合
春去秋霜图！
发生什么事了？
漂亮啊！
《石》
鼓大包
这部分可以不要好浪费
一天几顿甲醛
没必要 博眼球
蚌埠住了
会不会端错
不是，前面人被泼那些是不是也完全可以不要啊
大便
鬼画符都比这好
辛巴
哇哈哈，真的是你呀
加勒比
好！现在是拍卖现场！
祝枝山？？？
你最好不是租的房子
这一桶得几百上千吧
评论差点把我笑死，一定要看评论
这，就是艺术
我作为一个初中牲，没有牲畜吃得好
你俩衔接的挺好啊
水喷稀了
迪拜刀法？
好久没刷到了
《  蒙  太  奇  》
楼卖料，已提兰
有点歪？
艺术就是情绪，确信！
谢谢
作怪.假能.
米山舞（bushi）
我也没眨眼啊
啊！
你们去看一下那个毕加索画画就晓得了，这个画是一层一层的
什么唐伯虎
马克是什么动物
房子越住越小
为艺术献身
省流：没苦硬吃
这里到底在燃什么笑死我了
好像嘴炮康纳
所以之前喷的底漆呢？不涂没了吗？
一开始躺着，表示我来组成头部！
这我学集贸啊
？
鼓大包了）
想画画 拦不住的 卧槽
所以一开始的祝枝山行为是为了啥
卧槽
墙壁要是整天画肯定不会再来刷，但要是为了录视频就得刷
不是  我也妹眨眼啊
牛逼
带有报复的心。
狮砸
前两步我会后面就不会了
原来是搞装修的
为艺术献身呗
《加沙比海盗》
纯闲的
艺术与生活（点赞）
都是一个色系？
衣服：阿米诺斯！
那你何必在那躺着？
失
到时候玩泥巴的包，你有前途的呀
你真會啊 你來真的啊？
三拳打碎大圣梦
太厉害了
艺术献身
S
啊？
表现主义
蹿了（确信
何必……直接画就行……
敢问这只雄壮的老鹰是在下什么地方画的
神经
牛逼！
同步率400%
大鼓包
有的桥段居然把其他几个up的特色，融为一体了。
鼓大包了
动漫量
？？？？
不过这样真的很爽
总感觉抹的是史
what？
？？？？？
几年后墙的厚度比房间的面积还大
墙壁：关我什么事？
靠，那一道我感觉要吐了
现在不是了
下手轻点
啊？nb！
照猫画虎
猫：我上早八
看到这种，我反手就是一个关注
《花开两朵，各表一枝》
不对劲，有问题
《夹乐笔海盗》
哇，这剪的好好啊，有说法的
照猫画虎
？
环太平洋机甲驾驶员
好厉害
开始的部分完全没利用起来
坏了，他真有东西
您好，这是什么分区？
怎么还砸硬了
好活，当赏
抽象派的
抽象
咸鱼梦想家(幻视)
写意
脸上得做个防护吧
生活充满艺术？
墙：习惯了
似了
？
牛逼啊！！！！！！！！！！！！！！!
此刻！已成艺术！！！
说实话，刚才是泼的。还挺有艺术气息。但是人不要起来。起来就不好看了。
猫:食不食油饼
众所周知，在B站里用画笔画画犯法
弄，这个就叫专业！
？
若之
老值钱了
若知超雄
若知
若知
若知
若知
若知
若知
若知
若知
若之
普通的正常的画画已经无法吸人眼球了吗？
是它叫马克吗？
鼓大包了
案发现场
我寻思着我没眨眼呢
好癫 哈哈哈哈哈
玩艺术的都这么抽象吗
666这个是挂
666666
博骑了
神經
学美术学的
她还得给咱做好吃的呢（bushi）
既然要抹开，那一开始躺在上面的意义是什么？
抽象
开了
摸爬滚打
仰望星空安排上了
祝大家有个好家
波奇了
要素过多
？？？？
艺术就是生活啊
动漫量
没人吗1000+没一个弹幕
动漫量
鼓大包了
鼓大包了
hhhh
牛
啊？
迷你世界新址［1145x］
鼓大包了
灵魂之子~浇给
像，很想啊
看粒了
《同步率400%》
好！
蒙太奇
祝枝山
唐伯虎点秋香
一开始的意义是画底呗
鼓大包了
似了
切丝儿，切片儿，切块儿，要什么zhu食
先调一个五彩斑斓的黑
这地方蚌埠住了
力了？
下次带个口罩吧
我们意念合一
这位先生拥有颜料厂15%的股份
啊？
鼓大包了
猫：关我毛事啊！
不是环太平洋
cxk
《死亡翻滚》
《死亡翻滚》
给我整的胶粘的
啊？
颜料不要钱
开了
好～好～好～
蒙太奇
鱼看着好吃
？
这是什么玩意
火山红莲寺？
所以往身上泼的意义何在
百鸟朝凤图？
Q！
五彩斑斓的黑
鼓大包了
师傅你是做什么工作的
《小猪佩奇》
重口猎奇
黑豹？
真不错 众生平等 生活本身就是艺术
矢
谢谢
觉得脏了眼
所以开始的行为只是为了上底色？？？
谢谢
咪咪：也有我的份儿？
先作画再吃饭，一个视频两个赛道
啊？
摸爬滚打
房子越住越小
猫猫可爱
卧槽
这裤子……毛的颜色不会变吧?
666开桂了
不是，这什么成分
啊?
蚌埠住了
啊?
猫:起早了，见祖宗了
天才！！！天才！！！！！
失踪人口回归
战场的真实
？我也妹吃菌子啊
啊？
我嘞个大包
别人家的小孩玩泥巴
开头建议不要搞了，真没必要。
牛
搞艺术的都这精神状态吗？
不是这图啥呀？
请解释一下刚才泼漆的意义
很费钱的
好像啊
浪费呀
大可不必
还没有狗吃的好，注:多了一圈火腿肠
伙食比我还好
照猫画虎
美食主播
“我若不披上这袈裟，世人又怎知我前尘已断，金海尽干”
啊？
《搞视频哪有不装的，流量罢了》
好颠的表现手法，这个视频创造太有想法了
原来是个艺术家
所以你刚才躺着的作用是？
喜欢b站观众们的一句话:
好好画画不整活那么难嘛
666烟都不带盐的
6
Art
祝枝山是吧
艺术一定要这样彰显吗？
多少带点私人恩怨
戴个口罩吧
人体彩绘
啊？
不是
衍射
卧槽
不是，你真会画呀
看他们这样浪费颜料，真心疼。
幻术！一定是幻术！
人机学家哪去了？
我是他楼下卖颜料的，现在已经开上兰博基尼了
只有深刻的与颜料融为一体，才可画出完美的作品
可以去开机甲了
哈哈哈哈哈
寻妹眨
这就是街舞
？
鼓大包了
唐伯虎诚不欺我
卧槽
我妈跟我说学画画会变优雅。
艺术＝泼
卧槽
不是，什么时候？
这个人开挂了
没有覆盖，作为底色润色了
是剪辑
鼓大包了
所以一开始搞那一下有啥意思
神金
《这不余华吗？》
这房子越住越窄呀哈哈哈
s子说环太平洋那是加勒比海盗
看到最后！！！
《狂人日记》
豪康
对于他们来说越夸张越有灵感
噗叽啪
前面泼的目的是什么？
大包
999盐豆不带盐
额，忘了这视频是干嘛的了
这 这不对吧
人民艺术家
前面的，就现在这个时代，你不搞怪根本没热度
周星驰诚不欺我
月共探头
咪咪
狮子
神金。。。。。
墙涂白了有什么意义吗？
哇！
啊？
坤坤
不处
意义就是博人眼球
你这菜刀从哪儿买的？ 啊，这个是我从外面买的
你这毛刷和油漆桶从哪买的？这些都是我在门外买的
直接画你觉得最后的胡子高光之类的怎么画
哥，要不下次你把头蒙上先？
辅背景起对比衬托色彩的鲜明度
我不就喝了几口水吗，怎么变成这样了
家人们，我正在补作业的吗
盲猜有人说至此艺术已成
虎先锋？
前段完全没必要
。。。。。。。
最烦这种
为艺术献身，我不会写''献''
？
同步100%
他老婆竟然没打他
力了（确信）
这眼睛的两笔nb啊
这到底是什么赛道？哥迷糊了
摄影师:遭老罪了
鼓小包了
这事儿用拖把不能干吗？？？
艺术本就是意义
我都不敢想这墙有多厚
“照猫画虎（狮子）”？
卧槽
666这个入是桂
同步率200%
、、
我丢不包了
牛逼
艺术与生活完美结合的视频
好看，就是有亿点费染料（狗头）
这是大师！
同步率101.0000%
不对
？
啊？
这艺术太艺术了
多胶鱼
啊？
这是艺术？那我宁愿不懂
漂亮
加勒比！！！
“吸引读者阅读兴趣”
壕
那前面的人形留白有什么用
国外：艺术 国内：神经
直接画狮子，成本还低点
剪辑真妙
我是物理学家，这就是衍射
意义就是你看到了现在
戴个口罩吗？
修猫的碗碗和我家一模一样
寻妹眨
行为艺术
啊？
牛
哪一只叫马克
那还别动干什么
动漫量
周星驰？
艺术不够 家常来凑
加勒比海盗的小曲！！！
《这就是街舞》
所以躺那儿有什么意义？
？
为什么要发这个？
我焯，海盗兔
超雄集美看这个都说超雄
耶？这…这不对吧我妹眨眼啊
十年以后房子变实心的了
一个视频看两份内容 赚啦！
抽象
