小孩才喜欢黑深残，成年人都喜欢爱与魔法
中二病->高二病
那用这剑去砍那盾，何如？
元气团仔（
666，这个入是桂（）
《你》-指泛式自己
耐活王三坪
你想看（X）泛哥哥想看（
别甩锅老虚啊 老虚只写了第一季前半  后面都是别人写的
是《视听》啦，泛八爷出错力（）
你说是吧，黄金神威
我的中二之魂重生乐
卧槽，史
我洗海带哟～洗海带哟～
我洗海带哟～洗海带哟～
假发修一下现在还能cos五条悟）
真怀念啊 烟花告白。当年抄袭这一幕的国产漫画作者都成国内漫画app的ceo了
《月刊少女野崎君》
鲁鲁修：没错，我想看的就是这个
大删减时代
无头骑士有点接近（）
如果要联姻，也是火星和地球联姻，最后火星内部联姻…………
三体人式交流
真实系vs超级系
笑点解析：大叔不会念unravel选择跳过了
看山不是山咯
据说当时女主声优（雨宫天）配完之后脸都黑了
姨妈说过kimi你爱意大利～
女主嫁路人
婆罗门的养成方法
kimi 去拿 吉他 糯米糖
喰种是南慕容/doge
遊戲人生:別看我 我也不知道
最喜欢的一集
金木小天使，艾伦小天使
厕纸模版之一
《迷惑》
要扣出三室一厅了
re0:这我熟啊
《虚渊玄》
此事在闪光的哈撒韦中亦有记载
东京吃货（）
歌比番火hhhh
当年的梗，声优界假萝莉音永远干不过真萝莉
法国像德国出售通信硕士人才（bushi
指烟花
马云姨妈：受不了力
明明是美食三部曲好吧（doge
卧槽这么一描述瞬间就有印象了
马云我赐你姨妈～
马云我赐你姨妈！
哈哈哈，好像当时配音的人配到这一段脸都黑了
巨人那结局 也差不多
哈哈哈哈哈哈哈草
不反目成仇我推什么番。对了，我推治愈番ƪ(˘⌣˘)ʃ优雅
别没看过就说是烂番，人家只是结尾烂，其他部分观感还是很好的，不要总是刷烂番出神曲的梗，真的很让人忍俊不禁
哦洗海带哟，洗海带哟~
动工巅峰
我还买了画集
十年前吃太好了
每次凡是出这个视频都想去看，但是都没有空。
好耶！
惨遭动改
他好有深度啊，关注了
今天是我第一次看泛式，以前听过
就喜欢这种主角团死完的番
可以的
那时候刚上小学！
寄生兽乔峰，巨人喰种南慕容
同类的寄生兽好看太多了
喜欢看这个的这边也推荐一下相合之物，都是非常好的
没给我笑鼠
泪目
简称中二病发作
喰种nb的就在于前面有多压抑，后面就有多极致的爆发
神！
真神
初中的入坑作
卧槽重量级
还真是，我看了好几遍
入坑作，泪目
第一季是神
入坑制作！
love stage，我的Bl启蒙番～
神
看了好几遍
有牛？？？？不看了
握草有牛
这光剑能斩断那个无敌护盾吗
（激烈的争吵声）
漫画真的超级超级超级超级无敌感动好看
我靠青春之旅，
啊啊啊啊啊，我他妈直接中二值爆表了！！错的不是我，是这个世界！
ahuoz再来一遍～
月刊少女野崎君~
东京老饕
入坑作，当年电视上都能直接放
这番已经十年了吗
有牛偷看
这个出名的治愈番
好看
痛，太痛了
漫画最后了不是还有个被做成人彘的…………
別，咒術回佔畫得沒這個好
师傅别念了
逆天
什么方腊
什么水浒传
因甲沟炎，直接去拔脚趾甲，真的太痛了
切尔西啊啊啊啊
好好好久等了
MC没有特色
死了没有感觉
难为火星人了
神中神
神
逆天
治愈番，推荐入坑
程心:太对了姐
刚看完喰种过来，隔壁艾伦和满樱集要哭了
为什么不讲青春之旅！
小时候看还是挺惊艳 咱也没看过这种类型的
挂神
核爆来了
核爆
哈哈哈
1000-7=?
[OHHHHHHHHHHHHHHH]
藤本树直呼内行
这个也有意思
真神，无须多言
大 正 时 代
进 击 の 巨 人
明明是我先
蓟县！！
硬加感情戏是这样的
神
生存遊戲設也是經典耶，女版兩津
講講花舞啊
我操，看番看出人生了?
这个我昨天才看完···第一次刷
我想看的? 不，氏你想看的
事实上这三部里面吃货最次
这是刀子神番，至今无法超越
这个好看
入坑就血虐
痛 太痛了
这才是入坑番
这个更是雪上加霜
草，我三年级的时候看的
从头哭到尾
假面骑士创骑？
最喜欢的番！！
我不喜欢……因为画风看不下去
東京殘響！
B站小学生元年
冷知识：这是啊b第一部正版动画
这个巨好看
跟罪冠可以齐名的烂尾名曲神史二相性
入宅作，当年直接看自闭了，到现在还不敢看战斗番
这是我的入宅，又回想起初二那个暑假
我寄生兽何德何能，与两位大仙相提并论
这个好看，日轻就该是这个味
看不得
龙傲天作品
哈哈哈 这么一说确实 要是没有这些 随便你嫁不嫁黄毛
我觉得不烂
诗乃！
入坑第二部
333333333333333333333333333333333333333333333333333333333333333
卧槽姬哥
入坑作
大正，什么大正
这还党争个球
我去有牛
谁家机械神教
火星人：我觉得那台橙色的玩意比较恐怖
寄生兽真人版拍的最好，动画也是最稳的个人感觉
我去 当年看了这个 还挺喜欢的
第二季！！！！！！！
这都十年了吗！？
过膝袜之歌我以前还经常听呢
前面这么描写后面那样确实该骂噢
神中神
很难有人能在街头宇宙这个概念是超过今石洋之了
啊啊啊啊啊啊啊啊啊啊哈哈哈哈哈哈哈
红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈
啊啊啊啊啊啊啊啊啊啊啊啊啊我的青春
你
老虚执笔的前三集很棒的，剧情紧凑技战术安排合理，场面也很宏大，第一季整体表现也很出色，把第二季当同人作品就好了
东京残响，这个阵容音乐是神中神
你怎么知道！
这边有问题哦，火星掌握的超远古文明科技是绑定基因的，火星的皇室随时可以收回使用权。
鸡皮疙瘩起来了
听op起立！
月刊少女！！！
啊啊啊啊！
AZ！
唤起了
罪恶王冠早黑更无敌
沙瓦郎派拉斯，笑死了
别念了别念了我知道错了
月刊少女！！！ 遥遥无期的第二季....
西园寺世界：都说了跟我没关系
真神降临
西园寺世界：跟我没关系！！！
洗海带！
