标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
我爸被撞没死掉，真有后福，有给钱的，还有给安排新车的,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1qZHDeQEEX,346.9万,9032,Not Found,46.4万,7.6万,46.4万,2654,"['了不起的新农人', '生活', '三农', '途岳新锐', '上汽大众', '小青年大丰收']",2024-09-07 17:00:00
《崩坏：星穹铁道》动画短片：「清闲自在身」,崩坏星穹铁道,https://www.bilibili.com/video/BV1WvpTekEPQ,482.3万,1.8万,"晨起，将军们抓住转瞬将逝的清闲光阴，开始了各自的一日之计。这一刻他们与罗浮上的芸芸众生并无不同。

中文CV：
飞霄——叶知秋
景元——孙晔
椒丘——陈张太康
怀炎——李昊甲

日文CV：
飞霄——小松未可子
景元——小野大辅
椒丘——丰永利行
怀炎——宫泽正

韩文CV：
飞霄——손정민
景元——류승곤
椒丘——이정민
怀炎——조민수",43.4万,19.6万,43.4万,6.4万,"['动画', '综合', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-06 12:00:00
超级偷子,小潮院长,https://www.bilibili.com/video/BV1VQH9eWEBE,403.6万,3.1万,"希望观众老爷喜欢这个系列！ 
（希望你们喜欢，记得素质三连！）
温馨提示：本期节目有一点点不一样，更偏实况、推理、讨论，
大家都是自然真实的表现。
可能没那么多节目效果，希望大家多多理解！！！",33.0万,16.4万,33.0万,6424,"['搞笑研究所', '生活', '搞笑', '娱乐', '生活', '高能', '搞笑', 'vlog', '沙雕', '小潮院长', '小潮team', '奶酪大盗', '搞笑研究所2024 5.0']",2024-09-07 12:00:00
可以不要发死亡威胁吗🥲,是李嗲和老铁,https://www.bilibili.com/video/BV19epKeWEK4,366.1万,3148,Not Found,59.8万,14.4万,59.8万,2440,"['影视', '小剧场', '新疆', '公益', '足球', '新疆足球']",2024-09-05 12:30:17
0:7输了，球场上我都没破防，地铁上让我崩溃了,何胜0423,https://www.bilibili.com/video/BV1AWpGexEXJ,674.2万,3.3万,全力以赴的意义不在于一定会成功，而是不留遗憾,36.0万,5.3万,36.0万,3.1万,"['国足世预赛前方观赛团', '运动', '足球', '体育', '中国队', '世界杯', '国足', '足球', '退钱哥']",2024-09-06 00:44:40
大学里二阳又会怎么格式呢？,二阳咂-,https://www.bilibili.com/video/BV1CyHDehE94,283.5万,700,-,28.3万,2546,28.3万,528,"['影视', '小剧场', '校园', '搞笑', '原创']",2024-09-06 20:36:24
新生开学 VS 老生开学,进击的金厂长,https://www.bilibili.com/video/BV1zvHQe4EKi,289.5万,2811,点赞投币后果然有好运buff加成～,11.5万,7.4万,11.5万,1311,"['原创搞笑剧情', '生活', '搞笑', '大学', '短片', '校园', '搞笑动画', '搞笑', '开学', '新生', '学生', '金厂长', 'BILIBILI金电视奖']",2024-09-06 17:59:47
纯黑《黑神话：悟空》全程无伤攻略解说 第五期,-纯黑-,https://www.bilibili.com/video/BV11XHoeJEDB,136.3万,1.8万,"ED非官方部分素材出处：BV1e7421R7sR非全收集攻略，但每一期开始前会把之前落下的东西收集全。为了我的心理健康，不会再做构式BOSS了！莲眼是最后一个！（除非和主线有很大关联）
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。制作片尾需要大量时间精力，已经做好的不可能再更换。",15.6万,17.6万,15.6万,5092,"['游戏', '单机游戏', '解说', '纯黑', '攻略', '无伤', '悟空', '黑神话', '亢金星君', '莲眼', '妙音', '亢金龙']",2024-09-07 12:00:00
每个人都可以是大圣，但她的孩子是真的回不来了『黑神话:悟空』通臂猿猴,修片狂魔,https://www.bilibili.com/video/BV1P6p3eREGs,386.7万,956,献给最伟大且无私的爱！,16.9万,6874,16.9万,2921,"['游戏', '单机游戏', '游戏杂谈', '单机游戏', '游戏', '黑神话悟空', 'Steam游戏']",2024-09-06 03:32:32
作品制作越用心，视频流量越少,CJY_e,https://www.bilibili.com/video/BV1HDHDetEEM,126.0万,384,因为没流量，所以重投了一遍，这期视频质量真的很高，我可是画了3个星期啊!!!!!流量不如前面的那些低质量的视频心真的会滴血唉（ｉДｉ）💔,29.9万,8.8万,29.9万,3119,"['生活', '绘画', '手绘', '原创', '动画', 'meme', '必剪创作']",2024-09-06 20:16:48
