码头整点薯条
咸鱼派
《比较》  《普通》
《比较普通》
我上早八（doge）
菠萝是菠萝，披萨是披萨（意大利DNA乱入）
死不瞑目派
两个人可以一起造潜艇了
英国材料化学和生物化学还是世界顶尖的，就是这些专业应该已经不让中国留学生就读了
《普通》
简称“俩人才”
啊？
哥们儿这个角度挺像乌兹啊
同学：我点的已经是最好吃的了，好吃的我能不点么
三十年河东 三十年河西 莫欺舅舅穷
英国正宗爱尔兰土豆
庞贝加图索
油条（幻视）
哈工大造导弹发动机的飘过
麦当劳，留子的专属食堂
贵
雪豹是雪豹（DNA乱入）
学费？哈工大的不至于读半奖博士吧。。。
我是差这300人民币吗hhhh
≈325000人民币
惠灵顿素香肠
造鱼雷的
留子确实懂道上的规矩doge
剑桥集市里面有个马来叁巴牛肉饭巨好吃才十磅
《安徽》
榴莲（确信
我是地质学家，这就是石
《位于康桥的桥》
智慧树
法国人震怒（doge
李云龙（雾）
小杭州
女朋友好漂亮(ღ˘⌣˘ღ)
《两年前》
廊桥遗梦
听不懂思密达
芝士油条？
原告：上海康桥镇
卧槽 这履历真牛逼
《比较普通》
《嘤国》
西瓜（迫真）
学霸情侣啊
祝愿中高国考上岸!!!
我在哈工深隔壁的清深
@北斗导航
我是诗人，这就是诗
快回来一起送外卖吧
南宋后期，也是蒙古开始崛起的时候
鱼鱼咏唱调。。。
我是历史学家，这旧世史
我想看你吃仰望星空
@朱帅臣
想去，但没得去
南宋吧
微表情：想吃仰望星空排
炸鱼薯条咯
我天河北老乡
神似简自豪此刻
我是荷马，这就史诗
眼花了，差点看成李小龙
石家庄安徽牛肉板面
上周在英国，那个高中的食物真的一言难尽，配上我从中国带来的剁椒酱才能勉强吃下
最老的是博洛尼亚
ucl硕不是典型水硕吗？当然他这专业不是
看饿了
延续顺利学业！
赚很多很多钱，财富自由，有一段感情
世界上最早的是我们博洛尼亚大学
上海大学，上岸
早早早
南宋被灭是1279年
空瓶
1209年，南宋中期，元朝铁木真已经建国了
今年投资赚大钱
研究生三年顺顺利利
杭州还荒漠？那是你找不到好店
为什么没有美丽的风景线
你不也结婚了嘛
金朝大安元年
吃炸魚薯條
1209年我们是南宋
英国剑剑剑桥大学
威海校区的冒个泡
第一第一，承包空屏！
1314出息了
芝士香蕉树
中山大学
听说早点来发什么都会火，是真的吗？
正好造车造飞机都能用上
鸭梨
康桥就是剑桥吧
啊，澡子哥
剑桥苹果树保佑我考研上岸
国王学院！刚回来~
苹果树
南宋
感觉像油条…
入乡随俗
也是造飞机的，得了，毕业抓回来去造飞机
sunny mud tool
有点像王治郅
1111
哈工大！学长好
榴莲
上早八的
5分钟
黄鱼派
这是我丐帮失散多年的打狗棒？？？
瘤子
占领空瓶
第二个弹幕！
考研上岸！！！
117的笑死我了
在那附近还有卖煎饼果子的，卖牛肉面的
考研上岸
在这附近有个福建大叔开的小卖铺，里面会卖煎饺和其他小吃
0
那边的面包挺好吃的，其他的就是坨大的
论文录用发表
考研上岸
考研wh
吃日韩中餐厅(即答)
中考高考上岸
中考高考上岸
考研上岸
顺利毕业
亲人健康！
太厉害了
11111
能去带英帝国上学，吃什么需要我们考虑?
上岸
英国挣英国花，经济发展水平不一样
逢考必过
中考上岸
专升本成功，过6级
啊 赶上国内一顿自助烤肉最高档了~
0
健康发财
考研上岸！！
1
反复强调
考研上岸
3
我都交完了你说这个
N2一定要过！！！
上岸！
5
过四级
考研上岸
元
获得保研资格！！！
上岸！
元
鱼鱼咏唱派
我嘞个“大”美食呀
考研上岸
报研成功
还是美国大学吃的丰盛
md富哥三十五w都拿得出手，还在乎三百呀，噗
还是鸡排比较香哈哈
考试通过
0
反正比韩国吃草强
@萌萌战队
1
让我想起了剑桥五杰。
27fall上岸！！
安徽牛肉板面还得是河北的正宗点
创业成功
考上南大
考上南大
考上南大
考上南京大学
自己学厨
上岸
考公上岸
留子自己做饭啊
换导师顺利
明明是死不瞑目派
上岸
榴莲树
厦门大学考研
这里居然能看到v兵
全家身体健康中考上岸
顺利申博！
上岸！
借你吉言
中考上岸
1
上岸
上岸
1
上岸
111111
啊？
快乐安康，学业有成！
考研上岸~
西红柿树！
考研上岸，考研考研，考研上岸。
研究生哈佛大学
一个月吃饭9000块，果然出国留学的都是富二代！
1
0
5
111
油条？！
考研上岸！
UKM！
考研上岸
布丁以前就是用猪血做的，现在是改良版
在英国≠一定吃英国菜
苹果 ~考上~上岸~
上岸
知名大学？溜了溜了
0
老乡啊
同款牙齿
保研成功
《贵族食堂》
上岸
上岸
上岸
哈工大上岸
0
考公上岸
牛至
1
早日痊愈
上个月刚来过这
1
1
7 感觉挺不错的呀
1
已老实，求放过。
找到好工作加油
我们一般吃warp，有肉
我嘞个cityu hku啊
今年考研上岸
没见过女的？总追着人家女朋头说漂亮
考公上岸
0
0
2
榴莲树
考研上岸陕师大
上岸
UNSW也太显眼了吧哈哈哈哈哈
上岸！
10
六级过！
上岸在职研究生
上岸
上海交大博士！！！
上海交大！！！上上上！！！
-1
300RMB不到50刀，满一万减50
四级过
上岸
CFA三级考过
死不瞑目派
四级必过
1
伙食不行
像鸡排
让我感觉鸡排就算这里的好菜了
上岸，和喜欢的人在一起
宋
鸡排可能是最好吃的
四级上岸
上岸
上岸！！！！
明年艺考上岸
事事顺心平平安安学业有成财源广进
111111
一战成硕！
说比国内便宜真的认真吗
五邑大学上岸
发财
成功毕业，自己创业，跟小卓一起生活
劳斯莱斯5元代金券
ucl还更贵一些。。。我碎掉了
去中餐厅
四级必过
编制上岸
转学圆梦
上岸！
法国人震怒
身体健康 财务自由
复读上岸华东师大
5
工作顺利
考研上岸，回浙江
考研上岸回浙江
考研上岸
0
成功上岸。
拿卡
连续五星会
保研
保佑我能上剑桥谢谢
祝我明年上岸
雅思上岸
0
考上C9，985
幂律分布了
。。。
不，我大学食堂自选菜可好吃了
高上本科
保研上岸心怡院校
0
上岸
有好多好多钱
上岸！
上岸！！！
上岸
985上岸
2025高考上岸
上岸！！
学业顺利！！！
上岸
三十万省三百难蚌
上岸
法考通过
刚去完。。。。。。
考研上岸
上岸！！
修考合格
上岸
四刷
沾沾喜气
上岸和家人健康
明天六级一定过！求求了！
明天六级一定过！求求了！
上岸！
来一个full
注规通过
两位真来造飞机啊
上岸
所有考试顺利
学业有成，万事顺利
上岸！
赚了赚了
-10
多少？
上岸！！！
上岸！
希望去英国留学成功！
上交上岸
上交
00
赚大钱
论文库库发
赚大钱
7-8分
梦想已经被10043禁令限制了（悲
明天过六级！今年考研上岸!
老乡呀
明天过六级！今年考研上岸！
难怪有0分
1
考研上岸
好惨就差吃草了
啊？？我在英自己做的话每个月300磅够了
中考顺利
1
0
高考顺利，身体健康，幸福美满
0
哈工大
考公上岸
-10
111
六级上岸
英国读博，很少能申请到全奖的。
留学生，都是人民币兑英镑，不是挣英镑花英镑
六级过！
学业有成
0
榴莲
啊？那不刚好吗？
榴莲（doge
上岸！
学业有成！！！
上岸！！
过4级
上岸
心想事成！！
一注结构必过
上岸
自己下厨
上岸
0
3，不能再多了
上岸
那你可太看得起我了
六级必过
上岸
学业顺利！科研顺利！
3
上岸慕工大
111111111
剑桥五杰
上岸上岸
上岸
苹果，进编发大财
读博顺利
0分
山西接地线项目中标落地
干干巴巴，干巴老头诚不欺我
上岸
8
啊？
上岸！
南开经伯
上岸
