熊猫：不是哥们
盲猜达芬
笑死我了
神经
好可爱！
这。。。有点传神了
达芬
达芬
求断更
达芬
达芬
吓死了
熊猫好，画的不好
哈哈哈哈哈哈哈哈哈哈宝宝真厉害
不是哥们，这动静
老师您一定不要在意别人的耳光继续画下去啊
你画的太好看了哈哈哈哈哈哈哈哈哈哈哈哈
action！
画的很好下次不准画了
谁开的枪
我服了
道歉，立刻，马上
省流：Up画画吓到观众
求断更
喂？110吗？
达芬
¿我嘞个超级小炮弹
达芬奇
达芬！！
你在画你的内个
有进步！
达芬
达芬
好可爱，像个小挂件
终于看到原视频了。
大芬
？
求断气
芬达嚼出我的范儿
求断更
我在期待什么？-_-||
《暂不接稿》
达芬
达芬
我看见这一幕的表情be like:
哇考是梵高
达芬
抽象派
你去给黑神话画插画吧
？？？
？
省流：不许省流！这里是赌场
熊猫：我生出个什么玩意？
生动形象，栩栩如生啊！
哈就哈哈哈哈哈哈哈哈哈哈
那画怎么回事哈哈哈哈哈哈哈哈哈
达芬奇
有点蒙克的思路
达芬
大可不必
哈哈哈
构史
熊猫：哎呦卧槽
byd评论区给我整笑吐了
求断更加一
求断更
哪来的哥布林
考虑接稿吗，考虑的话我就报警了
省流：长了眼睛的老答辩和小答辩
求断更
？
哈哈哈哈哈哈哈哈哈哈
要不你赔点儿钱吧？
求断更
HHHHHHHH
action！
求断气区up主
达芬 赌两个币
求断气
达芬
弹幕呢
mc诚不欺我
啊呀！骇死我力！
？
不是我笑飞了
好强的表现力
吓得脚翘起来了
达芬奇
必是达芬，不是变猫娘撅
求断更
我是达芬奇，这才是真美术
布什戈门
求斷更
比想象中还抽象，哈哈哈哈哈哈
达芬
记录77.7万播放
原来我的世界是真的
听我的，现在划走还来得及
哎呀，骇死我了
省流:生动形象
推塔！
不是
edhfsccsdh
？
达芬
达芬
眼前一黑
笑死我了，我都得被吓一跳
达芬
毕加索
0帧起手
达芬
达芬奇
man！
求断气
这眼睛认真的？
达芬没有奇
做噩梦了
达芬
神经
