我英文不好，那我就写拼音给他们吧！
这才是文化输出啊
之前，西方游戏有问中国人了解西方文化吗
到我们了，朋友们
弼马温
挺好的，但只是基础。文化根本不可能懂
虽然西游记的西游不是指欧洲 哈哈哈哈哈
《简单》
四大天王:魔礼青，魔礼红，魔礼海，刘德华！
真的，只有遇到这种时候才想说为什么当年不好好学英语
从南天门一直砍到蓬莱东路
主动去了解背景知识明明是玩家该去做的事
我战神一点也搞不懂照样玩
德国老哥好文采！
赛博航海家
这才是有意义的输出
其实你真的想玩的话，了不了解背景都没关系，享受游戏过程就行了
原来是这样，懂了，这就给北欧神话的游戏打差评（
孔子学院不是用来宣传的，是用来给国内的人那啥的
没忘了白龙马好评
干的漂亮
开门，云骑军
带我马哥一起玩好评
格雷科普，简称雷普（
太好了，需要这样在外网科普的up
外国网友：这下看懂了
我也不了解北欧神话，我还不是一样玩战神
不一样。北欧神话简单粗暴，除了啪啪就是杀
谁让他们的神话那么好理解呢?
三眼战神哈哈
爱玩不玩，不稀罕他
自己没文化fw还怪上别人水平高了是吧
那是他们的问题，与游戏无关，请他们读我国四大名著西游记！
战神4是什么，我都不了解它
战神四咋就只字不提呢？
你做的好呀
王者充几百几千买皮肤原神648怎么不喊贵？
支持支持支持
建议悟空里面塞本原著
果然你们还是不够多元化
善啊，大格局
你太厉害了！！！
做得好！！！
就是个法环DLC，还是网文版，以及一群小资的自我感动
你要相信 老外真的时间很多
蚌
说正确的那些人，想想你们玩的国外的那些游戏。阿尔登法环，你明白吗？他们那些战神，你明白吗？
一句话？！
不了解就去学爱玩不玩
说实话 就是跟惯的 话说我们玩老外的游戏 剧情不一样是稀烂 看完就完 不知道讲的啥
这个介绍中国文化比孔子学院的坐而论道更有渗透性与亲和力
必须三连了～～～
蛋壳！萨尼铁塔
三眼战神哈哈哈哈
复杂吗？是外国人的文化没有任何内涵和精神内核，所以看不懂
不了解就去了解犯什么病
他们的神话没有任何复杂的内涵。
不了解就去学
不了解自己不知道学？
二郎神不是杨戬
让你玩游戏，内容自己去了解啊，还来套PPT介绍？
哦等于我以后玩刺客信条要先学历史呗
别说老外了  这个剧本是悟空传 和西游记根本就是两本书  大部分中国人都不了解
这就是国人包容性，你们不懂，只要你们愿意了解，我们可以帮忙
就凭这个，2个币你拿去
直接告诉老外，孙悟空是杰森伯恩就可以了
YYSY，这点没说错，很多仅看过央视版西游的玩家估计都有点懵，必须是看过各种西游解读类节目的才能玩得懂
大善
加油，支持
我玩国外游戏也不了解希腊神话啊
凭什么，玩国外游戏的时候会有人给我
菜就多练
想玩那就多读书，那是你的问题
白龙马：哥，你就是我的神
我寻思古希腊啊北欧神话啊大家也不是很了解
不会就去学，去看，学的人多了就是主流
"搞笑,不了解怪自己啊,自己去读书啊,真的是醉了"
"qunimade,爱玩不玩"
不了解，请花点时间自行了解一下
西方人还在傲慢，没文化多读书而不是打底分
up很棒啊
那肯定，5000年历史，有的学了
呃，你们的游戏我们不要先去了解?
游戏根本没那么简单，不仅仅是西游记，还有悟空传的内容，不是你这几句能概括的...
哦?
西方该反思了
玩就是了 当个单独的游戏玩
这不是特点吗？
黑神话  是取经成佛之后的故事啊
yes，indeed
可以出论文了
你当年好好学英语也到不了这个水平啊…
的确他们不了解，很正常
dcev
为什么战神即便不懂那些文化也觉得好玩，反过来促进玩过游戏的去了解背后的文化？黑神话做到了么？
到西方取经 是到尼泊尔。。。不是欧美！！！
支持
该我们去科普了
这个游戏有剧情？
英雄登场
他们的神话游戏还不是一样
对啊，我们都是从小看西游记长大的，有的还只了解大概，你看那定风珠
他们有什么文化 搞笑了在
成都有条爱幸灾乐祸的狗叫谭琳！！！
我了解西方文化吗
属于是不会开车怪车不行
确实……我们很多人在西游文化浸染中长大都很少完全看得懂黑神话故事的 何况外国人
朋友，你是真的英雄
你以为这个游戏给你们玩是为了什么？
你就把它当做一款游戏就行。
那我还不了解外国文化不一样玩外国各种神话相关游戏吗
这个币我投了
你猜为什么？就是要这样啊
西游记动画有英文版的，国外还挺火，高中英语课被当教材给我们看
外国佬可是很喜欢东方玄幻的，像这种神魔小说应该也会感兴趣
好啊，你做得好啊
不懂就学
不了解自己去学啊
那只狼上线的时候又了解咯？ 什么双标老外
不了解不会去了解吗？
到我们了
确实啊
致敬
呵呵，看不懂那就去学啊
那踏马就去了解啊
爱玩不玩，不爱玩就gun
你是高配王思聪！！
额，我们又不是他们的服务生，这游戏也不是只给老外开发的
那么战神呢
主要是中国的神话各方杂糅在一块的有东方的，西方的，还有南方的楚神话，北方的燕赵神话等等，比较杂糅，但感觉《西游记》串联的就很不错。
不了解自己不会去了解了解？
别玩
没玩战神之前也有所了解
魔法对轰，批评他们不够包容，歧视外国文化
不了解，就滚去学
不要一副高高在上的样子，完全可以不玩你的游戏
我玩战神也被说啥
不懂就去学，不学还想玩游戏？惯的。
真正读过《西游记》原著的都没多少，大部分人是看电视剧了解的
这有啥喷的？这游戏讲的就是西游啊，战神讲的还是神话呢，我也不懂啊
战神？
为up主点赞，用自己的方式传播中国文化
丰饶？仙舟联盟集结！
这个黑点很合理啊，玩个游戏还要去学习，累不累啊
这些外国人就是见不得我们好，他们做游戏的时候也没考虑我们的文化差异啊
所以这不就是倒逼有兴趣的玩家去了解吗？这不就是文化输出？
三眼战神
神经，这就是给中国人玩的
太搞笑了，你给人家科普正版西游记，这是帮助人家外国人了解这游戏剧情有多荒谬，招骂啊
很好奇急急如律令是怎么翻译的
菜就多学
东游记
笑死，自己去补课啊
我们能去研究魂研究北欧神话他们学不来西游记是吧
“唐朝”书面不该是tang dynasty么
不是咱 给他解释了 他能懂吗
人家原著是悟空传
本来就不是跟你们这些外国人玩儿的
那咋了
你是真的英雄！
咋的，我们玩他们游戏就活该学呗
哇哦~这句真绝
外国游戏有几个中国人懂他们历史背景文化内容的？
老师nb
不了解就自己去学，跟游戏没关系
用视频的方式科普会更好
看一遍西游记就行了，老外话就是多
感谢科普！
"你敢信一个外国3A大作在中国有人评论不了解那些文化么…""没文化还有理由了"""
文化输出必须支持
废话
是好事
老外自己打的问题关我们啥事
英语就这样闯入我的脑子
我也是
歪果售价基本是1.5倍国内价格
大义大义
爽
没币了，先欠着，过2天来投
不了解西游记就去大概了解一下不就好了，我们玩他们的游戏难道是天生懂北欧神话吗
外国游戏我们也不了解
Monkey king没绷住
滚你叠的 没文化就没文化 希腊那几个关系乱如麻的我们都去理出来了
chapgpt的即视感，希望可以有更高水平的简介
怎么还有6%downvote
确实
那又怎样？
那可巧了，西游记电视剧，大电影多着咧，看起~
所以想要知道故事背景不还是得自己去了解吗？战神这种我们也没说不了解故事背景就给差评啊
国人玩的外国游戏，有哪个了解文化背景的，不照样玩得不亦乐乎
没文化你还有理了？
不是兄弟，俺这是中国游戏，你外国想玩不玩？不玩滚蛋
三眼战神
巫师
