在现场我是口红
晚睡的玩家有视频看（）
看来制作组也知道简很好看
我是简的佩佩
Zzz在大家都在Zzz的时候发视频
我是简的狗
我提议，赛斯和logos竞争圆凳滑行比赛冠军
我是简小姐的狗（
第一次拿到米游的空瓶哈哈哈哈哈哈
空瓶嘿嘿嘿
山狮：喜欢防卫战里的我们吗
天楼接头，无间道是吧
卡吕冬之子
《3.22》
斜眼看人，强度有了！
绝区零你不会觉得老鼠妹很魅惑吧
是我玩暗区玩多了吗？这开头给我种回老家卡莫娜的感觉
啊？
刺客信条:绝区零
跑酷高手
我们二次元也有自己的黑神话悟空!
热门通知书
啊？
喜欢半夜发？
柏妮丝·怀特
啊？
哈，猫鼠
她真好看！！！
有没有机会送5星
无主之地！
啊
啊？
啊？
这不是六分街，让我回六分街。
哥们去玩黑神话了是吗
啊
音乐好听！
啊？
啊
出电影！
遇简必赞，养成习惯
简！！！
许愿简和青衣
啊
啊？
封面看成JAMESCOM
删除走格子
我嘞个雷
啊？
她真好看
啊？
啊，原来真的会补妆啊？
飞镖鹿蛋
啊？
啊？
啊
啊
啊？
哈哈哈哈哈0+1青衣
哥，实在不行咱做个电影吧
@库洛，快来看你米爹新视频啊
简不歪玩到关服
啊？
啊？
加油ZZZ！
一切以游戏实机为准
三四十万五
啊啊啊
戴菲菲
啊
受不了了老婆！！
？？？
啊
布什•哥门
赛斯宝宝可爱捏
刚从崩铁那过来
沙罗黄金周活动的仓储区b显示没有解锁 然后咖啡今天也没领到呜呜
啊？
不是哥们 这是几点了？
我受不了没有简的日子了！
简！！！
啊？
几点？
什么时候出简啊？
我跟你们讲啊，绝区零一点都不好玩，纯纯3A游戏，那拳王3拳我人物就嗝屁了，就纯纯3A游戏
垂死病中惊坐起
新地图
准点报时器不准了？
无间道
这么早
这广告好碍眼
啊？
啊？
简真的好好看啊
昨天的死人大乐透是满打满算的整整三个～！
早上好夜之城，我是你们的好哥们儿～
布什戈门
早上好！
啊
熬夜的孩子有视频看
嘚
之前诱惑我的是猫娘，这次来鼠娘？
半小时前热热还能吃
不是，你几点发的?????
新歌好带感！什么时候上线！
布什个门
好嘛
我艹，这首歌好带感
这音乐务必上传啊啊啊啊啊啊啊啊啊啊
这是什么音乐风格啊 好喜欢
好像咒术回战op
1点咯，看完睡觉
简大姐可是很有钱的
不是还有啊
卡吕冬！
莫名想到天鸠食月（
狗镇
有命你就来
什么时间啊
史诗对决
啊
她真好看
山狮：三拳打碎你的梦
？
这个是柏妮思吧
不要看挑战
啊？
这应该是米哈游所有游戏里最容易做的几个武器之一了
欢迎来到夜之城
这对眼睛就很老鼠！
我们绝有属于自己的《不眠之夜》(dog)
暗区零
主人！汪汪汪！
这段solo好有感觉啊，好听死了！
简：这段我不想再删辣
好耶
啊？
简宝\/简宝\/简宝\/简宝\/简宝\/简宝\/简宝
↓这个绝对领域勒肉好评
她真好看
啊？
啊
柏妮思！！！
我要点名一款霰弹枪开枪打出许多弹壳的游戏（）
说起来确实是无间道啊。。。
这种站在天台上真的好帅
我嘞个七彩
邪魅一笑
简我爱你呀
新角色来了？
晚上三点半。。。
gas station 加油站
啊？
啊？
这里应该就是外环了吧
阴间时间
米哈游集体开大了属于是
老婆啊啊啊啊啊啊啊啊啊
音乐公司
啊？
外环城镇
请问，简用的口红几号
啊？
啊？
啊？
啊
啊，三点
必养的赛斯笑我一跳
啊？
啊？
mua～
封面好看！
啊？
她真好看
凯撒？
啊？
这就太有氛围了。。
我不像你，我见的了光
汽油妹
彩彩彩，威威威
渣客镇？
不愧是mad大佬
见简进
新鲜的，我出息了
有新地图和新角色哎
啊？
能送我十连吗
这口红，眉笔版是不是叫螺子黛啊
啊？
啊？
赛斯这个720度旋转前进办公椅很松弛嘛
皮裙大腿勒肉，我的天
啊？
啊？
我要这个bgm！米哈游！
祝落选
啊
不是哥们，凌晨啊？
我记得崩铁也参展了
广告太影响观看
怎么打关闭广告啊
有林肯公园的味儿了
我关弹幕了？
简姐姐——我爱你——
哇偶
有种你就来
我懂了，这是艾莲给我的挑战
早？
我去，扎克镇
？
欢迎来到，渣客镇！
欢迎来到，渣客镇
？？？
带劲
啊
官方刚从黑悟空回来
哎呦我的简姐姐
今夜，无眠。
对面是谁啊
啊？
赛斯的大尾巴！
啊？
卡吕冬
啊？
狗食
是啊是啊，明朝的建模可真细致呢
什么螺旋纹口红（）
得亏我都留着抽简了
你做pv做那么多了能不能把主线再跟一下
新地图！！！！
？不用睡觉的？
这个点？
？
先把你游戏做好，玩半年后还有走格子并且默认的话我就弃了
？？？
波  提  欧
谢谢你也加油
这个bgm！！！呀吼！
这脚背都曲线
有种看动画电影的感觉了
一觉醒来发现官方没睡
3：22
啊？
这个时间有什么寓意吗
啊？
3:22？
但凡晚五分钟睡觉我就看到了
简！好美
大家早
新地图？
啊？
赛斯宝宝你好可爱
请问这是一款开放式的大世界游戏吗
啊
啊？
我等不及要看简的MV了
好！！！
啊？
啊？
简=剪？
不是哥们
希望官方加强简的出金率
好好听！！！
啊？
[ohhhhhhhh]
？！
刚打完虎先锋来围观围观
饮茶先啦
赛斯！！！
3点？
卡吕冬之子
《无间道》
1
年轻就是身体好啊
啊？
早知道就熬到三点了。。
刚才三个人出现好像电锯人
我趣，新地图
BGM好听啊
阴间投稿时间
啊？
这个点我去
外环！
不是，哥们，几点
赛斯可爱捏
怎么好像无间道？
青衣是我的，不许跟我抢
治安局
简好美
各位早点睡
你们卧底是不是都喜欢在天台见面
啊？
