玉帝是杨戬舅舅，这里自认和玉帝一个辈分
大圣特有的伦理梗（杨戬特供版）
冷知识，黑猴的在线人数导致每个天兵天将需要对付22个猴
喜欢这样的原生未知感，直接跟着董事长一起初体验。
表面上：大圣一敌十万    实际上：一个天兵天将打十五个猴
董事长好大啊人家受不了了啦
村希猴
这能再找到也是神人了，还以为要02查缺补漏
哈哈哈哈，游科预判了
电饭锅
猴哥不早就不老不死了吗
黑风大王立正了
这游戏对老菊来说太简单了
老菊：这游戏还有法力？
董事长找到了他喜欢的跳劈
我觉得我是
他什么时候认真看前期剧情了，不都是靠故事王功底嘛
《王老菊教你全漏流程》
发现老菊玩的很急，剧情不看一直赶路，路边东西也都没注意，
卧槽，从没设想过的打法
广谋，广智，一个扇风，一个点火，真有意思
玩黑魂时：“董事长最讨厌大体型的boss”
奶茶小料
然后发现广智以为是新的怪，哈哈哈
刀剑封魔录！
我猜是这个设定被抛弃了，但是当初PV里做了，所以总得放一段出来凑个数，不然会被说虚假宣传
先把生命点到40（）
烧梅了
打招呼后突然切换动作状态还是挺搞的哈哈，和很多游戏背刺的时候，怪物主动立正一样
黑社会  悟空
董事长太强了
刀哥：好，倒！
槟榔
序章感觉是废案重上
不用考试，直接重修
懂了，是中分游戏！
不会找到广智了吧
褪色者，你能看见赐福的指引嘛
狼是真正的灵虚子，现在的白衣秀士和灵虚子是黑熊精找人扮的
这土地定的时间比大圣还久
⌈千山鸟飞绝 真好看 这里是干嘛⌋
我在等定身，你在等什么（）
杨戬：你跪下，他们照样踏平花果山。
董事长の怪叫
我们大锤
二郎神X  张翰√
叠加，过！
我能在少了一个机制的情况下通关黑神话吗？
刚擒住了几个妖  又降住了几个魔
狮子斩（
差点哼出来不得了的旋律
天庭杨二郎
猛雾潜行！
帅啊
现在又反应过来自己只敲了两口hhh
什么叫真正的重走西游路
我能不能在有失忆症的情况下通关黑神话悟空
不存在的记忆增加了
这个灵虚子道行浅，原来的凌虚子道行深但是下落不明
我已经变猿工了
防火老登
白衣秀士out
孩子们，这个就叫草木皆兵
老菊不一直这样嘛，不得不品尝的一环）
定住七仙女然后摘桃子去
让大圣回忆一下怎么抡棍子
高达智力9之人的好学
纯粹是之前预告的做不出来了怕你们骂诈骗做了一段这个
逆练新华字典是这样的，字读多了容易走火入魔（
其实漏了个广坤，以后没法去刘老根大舞台了
同步率400%，一起跳劈一起闪避一起喝药
老菊的随机启发式寻路算法
为什么呢哈哈哈
发出了村民的声音
大圣最爱的伦理哏
棍基，根法
这下听懂了
惊了，还有老员工能保持清醒？
老菊就是个普通玩家的玩法实况，不是攻略，漏东西是必然的，游戏能推进就可以了
玩了这么多年魂系列，老贼其实一直在做一件事就是教玩家着重场景中的视觉元素，但是太阳骑士一直没弔过他，令人感叹
对饮成双人
布莱泽：怎么，在想我的事
猴子（狮子）斩
这是mea
游科没少看老菊哈哈哈哈
逆练新华字典，qingqingqing
本游戏没有死亡惩罚，因为本质上猴子遁术了得，根本不会死
这配乐，好爽
呦西
太牛批了
防退款大头
邀为同道，喜不自胜，火铜房请
故事王风采不减当年
什么都没说 但什么都说了
