天命人集合！
？这几个人和游科有啥关系吗
长大了发现女妖精都很漂亮
因为手游下坡路了，单机该开始了
看完这个采访爱上了冯骥
杨奇本体都不在
得央视者得天下
我什么时候听到“阶段性成果”才能不笑出声
竟然发了我敲
这个主持人真的不行 能不能找一个真正玩游戏的人 她问的问题好片面
Genshin点了个赞
节目组太想展示漂亮女记者了，所以镜头切的很频繁。
镜头给我切晕了
排面！！！
手游阻碍了中国游戏产业十年的发展
不是要玩那套“没有对错，只是立场不同”的烂把戏吧。。
排面
某二字游戏
口罩呢
口罩尊者
牌面
米哈游：哈秋？
@米哈游
排面
还有这么多人？
终于有完整版了
踏上取经路，比抵达灵山更重要
天兵终于到了
好就是应该发到b站！
排面
都被泄露光了，自己才来发完整版，哈哈
啊啊啊不可以磕——各位后续也没粮啊哈哈哈哈哈哈
没事，姐姐已经很勇敢了，我也不会手柄，我估计都不敢试
完了完了完了哈哈哈
哈哈哈还是先给姐姐打打手柄的基础吧
这可不是妹子，这是张主任
怎么不是冰冰
李佳琦哈哈哈哈
谁剪辑的啊 太拉垮了 影响我观看了都 拍摄也是为什么一直拍主持人啊
片头有喔，张扬，@小羊在鲜花舍
别看姐姐这会儿憨，姐姐业务能力超强的
看来大家还是习惯把记者叫做主持人（没事，欢迎搜索小羊的节目来增加了解）
没事我也不会手柄
头号玩家
保密要紧当然少拍点电脑屏幕和工作区，后期老师也不用太掉头发
这不叫主持人这叫记者啊
我也想当文学策划（）
姐姐可爱！
什么叫下一个冰冰，我们扬扬和冰冰是一批火的来着！（只是单位和职业成分有所不同）
非常棒的采访，主持人美丽大方问题一针见血又专业。冯总真是人间大智慧呀！启迪颇深。
网格员
啊啊啊我们小羊美丽的片头！！！
广智
太对了，就是要这样！
华子又没有联合小羊姐姐一起发……
好吧
排面
这个真的说的太好了，没有正反馈的话真的很难凭喜欢坚持下去的
张艺谋：是的，这种感觉我懂
杨奇大佬！！！！
五千年严选
塞尔达：要真实，而不是要现实
畸形
全体起立，掌声响起
三流剧情
减肥片哈哈哈
天命人的循环反复，其中总有一条死循环的宿命
尤卡老师这么多年沉淀后，说话都变得有智慧了哈哈哈哈
爷们要战斗！
这个退眼镜哈哈哈
尤卡，你不是人！（doge）
尤卡这头发都张出来了？
扬扬好可爱啊~~ 想亲脸蛋
五段棍势
永远没有准备好的，总得第一个出现
牛了
我把左边看成津叔了
