欲知造化会元功，须看西游释厄传，出自西游记篇首，有心了
预知造化混元功 须看西游释厄传
970申请出站
众神归位
优化：指换新显卡
显卡危机，你们的大圣回来了
赛博神医！！！我调完回来啦！他就是不卡了
啊你这！ 完全没提CPU和内存！笔记本怎么办！掌机咋办呀！
1帧能玩，2帧不卡，3帧电竞
赛博华佗
游科：明天，上班！
华佗再世
巧了，我显存6G以下
军火显示
阿狸说书
幽默幽默哥
赛博神医
翻译：自从4年前黑猴爆料后，今天终于拿到游戏
这调整音效跟盖格计数器似的
《可汗大点兵》
6阿狸
阿狸菩萨普渡众卡
美爆了
E！5！
“无中生有”-帧生成、“法天象地”-超采样
嗨大家好，她是阿狸
4帧流畅！30帧电竞！
悟空：师父，别念了！
《》大圣歌《》
黑神话广智
幽默4060
也就是说，你只要达到了50 60时，开帧生成就纯纯眼福
此轮儿，我将用笔记本儿畅玩儿黑猴儿
4分钟废话
我是笔记本的1050该怎么优化啊（狗头）
970，60-80帧
3050怎么办
赶紧的 别耽误老子玩悟空
感觉优化前更容易玩呀
1050ti！
3080表示帧数从40+直接翻倍到80+
赛博华佗啊
布什，戈门，尼
780m轻薄本心动了
1660也可以这样？
我1050Ti
1660ti??
阿狸瘦这么多
1050TI是我了 联想拯救者
有区别？
6650x
刚拿单位电脑试了下 GT960  只能说能进去  10来帧
哈？
华佗了属于是
3050就是不提啊
3060ti平时开影视级没问题，打boss，他一起跳就卡
呦呵呦呵呦呵呦呵
啊？阿狸？第一眼没认出来，
1660S申请出战
？？？？？？
这就是原来PS4的技术吧
什么都好就是空气墙，我吐血
14帧轻轻松松拿捏
你是我的神
我中高有bug只能开低
喵了个咪的，我显存是0，根本不敢玩
报菜名
1050老了吗
嫌弃话多的自己快进，我要看小姐姐
嘶，豪堪！
xe!!!
50被遗弃了？
小霸王怎么调
100块P106可破
泪目，居然有rx7600
跟当年的巫师3类似吧
啊？
电竞帧率！
你这是魔法？
前面那个MAC是在搞笑吗？
不是，美女你谁？
7800XT报道
7800XT不开光追2K能拉满不
啊？！1050ti还能战？！！！
2023的r7000p，1080全低会爆内存显存直接退出...
不行。。我1060 这种更低了
不就是光追开关之后吗？这样子比不就会误导人？
我的 1080 也是 卡的不行
xdm，我飞行堡垒 1650   i59代 ，玩个1，2分钟就闪退回桌面，啥情况啊？但凡玩些吃性能的都这样。
xdm，我飞行堡垒 1650   i59代 ，玩个1，2分钟就闪退回桌面，啥情况啊？但凡玩些吃性能的都这样。
纯属扯淡 按照这个改完 成幻灯片了
BGM太对味了！
这个光追开不开的？
经典大头前三小只
1650再战三年
有用
废话一堆
1050 啊
就是你以为吃显存的然而并不是，你认为不吃显存的反而是吃的
显卡危机
纹理就是设置里的贴图
纹理是？？？
我20系没有牌面
可低可高
我有个四风扇的显卡，教教我呗
所以空气墙确实是槽点
macm1pro
你才是神！！！
我擦
4080
我的大圣梦要白衣秀士挡住了，救命
6750XT嘞？
？？？
啊？
哈哈哈夺宝幸运星
580不支持帧生成啊
眨眼补帧
6900xt报道
慢看可以看清更多细节(doge)
我就知道
这才是细糠
拉满+阴影和光照改成中，补帧100多帧 还低延迟
我3060ti还在观摩
«精视 超威 英特尔»（NV，AM，int）
背景是这真的？
1650走？
神医！
1650
电竞华佗
卧槽
我欲成仙快乐七天
geforce 920mx这个显卡怎么说
集显可以玩吗
师父别念了
3050笔电的看下一个
我超，神医啊
3050本别玩了，4g显存说爆就爆
对不起，1050，2G的我看到现在是不是有点冒昧啊
哇兄弟我2050卡的只有10帧怎么办啊
为啥就是没有1080？
报菜名？
军火展示
6500xt救救
2050怎么办
1060申请出战
3050笔记本怎么办
1050ti
完了，我是5600Xt
6650那不是完蛋了？
有点搞了，全开影视级来作原对比，这是纯粹降两项特效
卧槽赛博神医
666
显卡危机。。。
GTX970那我走？
到这里 我们下个视频见
谢谢阿狸！
谢谢你。赛博华佗！！！
3G1060看笑了
你谁呀
全局光照开高了就别开光追
神医啊
虚幻5啊
开路径光追可以把阴影拉到最低
i need Chinese
好了，我已经够了
woc能玩了
显卡：我c
我的1650M
老婆！！！
为啥我没看出啥别啊
卧槽史诗级皮肤
到打boss战的时候就不行了
我1650按这个设置，帧率到20以下了
说人话～～
RX 5700 100帧畅玩
这延迟我还不如用我电视自带的开更实际
rx550
感觉妆容对脸型的大小关系好大
废话那么多
gtx960
好！！！！！！！！！
3050不是人？
5090：该轮到我表演了吗
那完了我1050玩不了
GTX9600
搞个中配需要啥配置
68XT没救了
这时候招出幽魂的意思是给黑熊精磕一个吗
为什么我3090ti不能开DLSS?
6600报道
废话真多
好美啊
我眼前一亮
今天真的美爆了，我俏
960m在此
为啥我用集显，帧率还高一点
虽然没有我3050，但你仍是在世华佗
到我了到我了
轻薄本都有就是没3050
3050连提都不提都吗？3050真的不行嘛，哭闹闹
3050连提都不提都吗？3050真的不行嘛，哭闹闹
神医华佗
什么大海？
核显15帧能优化到60帧吗
1050ti才4g能玩吗
赛兔子处刑曲
赛罗BGM怎么来了
开了黑到看不清脚
不行 ~~~~~~
这背景针不戳
九系显卡哭出来了，本人用的是笔记本950m（750ti赔一根）
1060再战十年
美女你谁啊？
这个地方我从4级打到了16级……
求生欲哥又来了
BGM大圣歌
1660ti出战
960怎么办
1060救我！
特斯拉m5显卡可以么
能不能直接度我
哈哈哈哈
终于等到阿狸出马了
我的1060能玩就行
到我了
奶大？》
2080ti
4分钟了，还没开始
笔电怎么办
1080ti？
啊？
太棒了，优化后，黑熊精揍我揍得更高清了
众神归位
ppt
你是？
我们需要中文翻译！！
6650xt
神医啊
588参考580，还可以自己试试挑高点设置
卧槽，矿渣
和648比，那什么3A都是极具性价比
我steamdeck已经全低了还有的调吗
你是？
6600功耗都吃不满
限定服装
？？？掌机
我3050直接干到十多帧是什么鬼
请问有没有手机？
啊啊啊啊啊？？？！
确定特效能影视级吗？特效那项打起来非常吃帧数啊
fsr鬼影太严重了，用的5700xt，超采样开的65感觉不能看，至少得75
三连三连！
但体感fsr开帧生成画质会降，动起来噪点鬼影会严重
神医
中配开到中就好了，全局光照中以上对性能影响巨大，仅次于光追
6年前的老电脑 2060 流畅运行
650可能一战
阿狸做我老婆吧
3050就是没牌面啊
赛博扁鹊啊
黑神话：赛罗 是吧
为毛我 4060ti开帧生成，帧数反而低了[笑哭]
赛博神医！3080ti2k推荐设置60帧，优化后100帧了
前戏好长
3050真的不行了吗 哭
3080ti怎么设置
我看不出这俩的区别
3080ti 那我走？
3080ti路过
有没有省流版？
型号打错啦， 1050ti哪里有RTX
这身好看啊
真的，打黑熊精的时候卡成ppt了
神医啊
我这个7年前的服务本，帧数个位数……延迟也超高
1060 来了
i3 1050ti来报到
960：我!不!服!
6650xt气抖冷
好
赛博华佗
GeForce RTX 3050能玩吗？
笔记ber～
做个测试视频还磨磨唧唧的
我欲成仙，快乐七天
神医，救我
没问题
那我玩久了会卡是怎么回事？
画质低了没法看啊
580能玩，那真是太多人能玩了
5700？
必须三连了233
1660ti怎么设置？
不单单是驱动更新，游戏本身也需要优化
赛博神医啊
3050请求出战
可以接受
这不就我的吗
显卡的香味
2000人以上正在观看
我1080啊。
如数家珍
我的2060S 有救了
很烂
750Ti？
哈哈哈哈哈哈哈哈哈
1050T
60t好耶！
4050好卑微
这俩哥们我都不知道杀了多少次
这个设置就第一关流畅，我到了第二关怎么调都卡
970有没有
好白
E！5！
啊这，太棒了吧
你可以去游科公司上班了哈哈
老婆你试狐狸精转生嘛？
MX150到
关键技术：换电脑
前两章都还好，主要看第三章，雪山的优化是有点一般了
直播推流咋调
阿狸 是GTX1050TI
我的3050，原生50~60帧，开了Dlss加替换文件，直接能到110~120之间
截图成功
win掌机前来报到！
神医啊
1660ti请求出战！
我去，赛博华佗
像素级就行了
没用2080ti
故意说得让人家觉得你跟有文化，其实很low
3050怎么办
可以
电表狂转
根本看不出来区别
卧槽
牛逼
开满的 能变360？
都没有游戏可以做到
卧槽
我就问，550算跟580相近吗？
是这样的，我笔记本gpu基本上占用在100%
黄眉小曲
好耶，有1660super
神医！
woc，赛博劳模
全局光照是高？还是超高？
直接
这是颜值up吧，也太好看了
赛博华佗，受我一拜！！！
1050测试下来平均5帧
比以前的妆容好太多了
赛博神医
哇塞，漂亮好多
打灵虚子就老实了
2080？？！！
神医啊！
900块收一张矿渣5700xt，畅玩2k
想啊，很想啊
大圣救我
是我，感恩
是的，帧数可以不要开这个
4060ti我丢了
调参的重要性
我是因为啥点进来的来着
泰美辣
7700xt怎么办
赛博华佗
哇救一下我的1050ti
不卡
1050ti！！！！！！
这简直就是我
全系!
可汗大点兵
第三章之后就希望空气墙多一点，哈哈哈哈 ……又要从新跑路
我1050ti，有40帧啊，可以玩
？
6750gre狂喜
哇，我就是1050ti
这是谁
960在此
老婆你好
溜了溜了
调完了崩溃了
暂停截图
啊
3050看2060的设置
魔法
我点个暂停底下一堆视频干叼啊
我的3080怎么搞
爱妃
美女你谁啊？
好看！！！！
不好！
4060ti：那我走？
好，三连奉上
这就是3050显卡但我打成PPT的样子
什么？1050ti?
680m
是我了
谢谢大夫！我的GPD有救了！
大脸盘子~
散会了，散会了。董事会成员，请去会所自行对齐
二进制赞美诗的美
越老越有韵味
牛逼
啊？
啊？
神医啊
没有MX150
眾生來了
好漂亮這造型
我1050ti打40帧左右，特效满天飞只有PPT
是我拉
30帧稳住了，一样也能玩
电竞华佗 名不虚传
必须三连
2080老爷机请战
无所谓，我锁60帧
666666
上下限都足够高
牛逼
赛博神医
主要是喜欢新皮肤！
总感觉国内厂商可以把阿里团队请过去做推荐画质配置。
关注了
老婆
完了，要涨价了
RX590  8再战十年：）
买不了吃亏
核显
960能否一战
没错，我就是1050
我380还有救么
必火
来了来了
影视级。。。
我是3060笔记本到底开tsr还是dlss
大圣歌！！！
报菜名
散会了，散会了
满血960我也是这样的，照样30 40帧跑着玩
懂了，黑神话是老黄给50系显卡的铺路砖
背诵并默写全文
五年前的1650笔记本都能稳定50帧我是没想到的
戴尔g3请战！
正是在下
这个检测帧数软件叫什么啊
尘歌壶（doge）
大夫我是集成显卡
RX560出战
的确是这样的 能够让低配的电脑流畅 也能让高配的电脑有更高的画面表现 这才是优化的意义
显示器不要钱吗？
硬盘不要钱吗？
我的MAC系统要怎么设置才能玩？
770
神医！
每个字都听得懂，连起来我就不懂了
赛博神医！
1660 申请出战
阿弥陀佛
电费起飞
阿狸你币有了
我3080ti 2k 按这个设置只能45帧左右。。。
300块电脑畅玩300块游戏
啊！？？？
580感动哭了
没看到3090啊？
哇
可怕的收藏量
延迟有点高
就是我
军火展示
amd yes！
游戏里玩久一点内存随随便便就15G以上了
英特尔直呼内行
电子华佗，赛博神医
3050ti表示：那我走？
6650xt？？
果然是你
感觉跟本就不是大脸盘子啊
1050ti请求出战
核显iris也能玩
1050ti玩4k
谢谢大神！在下正是1060！
后传真的好看
真的很棒了很喜欢
卧槽好漂亮来旅游了
《赛博华佗》
老婆
我靠 你怎么知道我45帧
确实不吃，我6G都无脑拉满的
天命？在哪在哪？
没看出来是盯着读吗？
打bossd加密给你打成ppt
我也是对空气墙有意见
报菜名
所以，我6800XT终究是没法取得真经。
RX588 都有60真    还要什么路虎
赛博华佗
好美
666
哦豁
RX588
666
666啊
小西天雪山走一趟就老实了
哦豁
到
1000+出来
我1080ti 2k中，基本流畅
奶奶提
3帧电竞，怕毛
多日不见阿狸瘦了啊，好好吃饭
美釹 你谁啊
3050ti
打个boss，来个大场面你就老实了
遇到毛多的boss你就知道吃不吃配置了
贯口：报卡名
如数家珍
听不得这个BGM，已经要开日冕了
神医！
780ti路过
打毛多的怪就老实了亲测
3帧电竞
？我按游戏机推荐的设置4060都能跑90到100桢啊
3060ti设置2k影视级加dlss mod，你值得拥有
1060申请出战！
我1050也能玩
a和n都能超分辨率缩放，不看你显示器原生多少
这游戏最影响画面观感的是分辨率，尽量尽量尽量上4k！
赛博华佗，你当得起
1063……
3050天塌了啊
1650已经打通前两回了，看看你还能怎么优化
神医
妹妹你全局光照有问题，都没阴影了
别幽默了你买得起核显再说吧
等破解版的你还有良心吗
神医
还有糕手！？
3050：喵喵喵
啊？？？？
已经骗过了233333
a770！终于呜呜呜
3050
中配超采样开65画质就很好了，低配50或以下，高配开到75画质也足够好了
显卡危机的画质放到今天也尚有一战之力
宽进严出
赛博华佗
9550。。。ATI的，比很多玩游戏的人年纪都大
狸宝！我爱你！
如果是3060笔记本的话，开2K吧，把DLSS调到性能模式，就是50以下，比1080舒服太多了
魔法magic
开帧生成只有18帧还有救吗
1340P还有救吗？
....华为笔记本，还没进去就闪退出来了
3080TI从来没位置吗
告诉我1060怎么调
大圣歌
哇哦你5妹啊
我970泪目了
Tesla P40？
妙手回春啊大夫
别放猴子，我要看狐狸精！！！！！！！
妙手回春啊大夫
老婆老婆老婆
1660ti报道
阿狸变了。。。
疯虎那卡到爆
7900xt 2k拉满
她就认真的，怎么了？你觉得不好她就不能觉得好？！
3080ti 我选择插件补帧
1060（5G）哭了
卧槽！老婆！
节目
吗喽出世
没有1080Ti
ps5咋办啊
师傅别念了
你是真的牛批
5700xt
deck 怎么设置？？
按照视频设置完回来了，真是妙手回春啊，牛鼻
六大门派围攻Mac顶
nb
阿狸精
1060 5G能玩吗
580？？？
Vega8核显不服
不得不说漂亮啊
？？？我3060笔记本两项低其余超高稳75帧啊
阿？？？？？
Ppt
3G内存的1060怎么办
真赛博神医，我RTX2060直接起飞了
你不是阿狸，阿狸脸没这么小
正片结束
588  。。路过
岂不是 能用960了
显卡危机
66666666666
是我没错
赛博华佗！！
电竞华佗！
Gtx960可以设置吗？
西游记后传
笔电1050ti，出列！
华佗啊
5500xt是不是也是这一档的？
4060ti
魔法，是魔法
背景音乐 刘欢！！！！
我欲成仙！！！！！！！
不是哥们你啥电脑啊......
我准备用VOODOO3试一下
美女你是谁？
赛罗
5500xt始终没有名字
我一笔记本核显没救了
老的2400内存还是有影响的
哇好好看！！！！
6600报道
亲测有效！赛博华佗 不给你投币都对不起你！
显卡杀手实锤了
币有了
6800试了为啥只有20帧
GTX970 4g就选这个优化试试了
啊？？？
3050:丸辣
格局打开！
卧槽
RTX打错了吧（
没看出来
外旋发球
绝了，这画质!!!
华佗？？？？？
啊？
7年的1060笔记本再战7年
神医
为什么我听不懂
啊，呆！何方妖孽！快快纳上名来！
30系哪怕用MOD开的也不是DLSS3，而是FSR3。
wtm 580
开帧生成，游玩体验会因为判定时生成帧没有无敌霸体判定而被打断大打折扣，但前提是不开能玩
有钱真好啊
讲重点
啊？
三姐！四舅！
电竞！
1060最好也就1080
"我错觉吗,怎么看up只有一个头悬浮"
三连了
我等一个50dogs（后面还有gta在等我）
3050怎么救
可爱又能能打捏
啊
380还有救么
哇
我2080怎办
能
这期效果黑好
试了下，1660TI这配置打灵虚子帧数爆降
1060
眼镜店，哥那个可是绝版满血580
1060我有自信了
师傅！别念啦！
惊！瘦狸！
瘦了更好看
2080ti
1050ti能玩，但画质就...
突然变身了
阿狸狸！！谢谢！
我这么设置完只有20帧哎…
这都能救 神医啊
还不如直接截图，看不懂
好像西游记里那个孔雀大明王啊
卧槽完全能玩
妙手回春啊大夫
可以投两个币。
1080 求渡
没必要，眼睛看着都是一样的
4060超采样开多少
超采样开多少
听不懂，思密达
神医！
6600
1g咋办？
我的集成显卡可以用吗？
RTX1060???
我就知道
这儿指的是3060桌面吗，那3060笔记本怎么办
什么冰红茶运镜
达尔文
巧了，我4g
牛逼啊
太好了
妙手回春啊大夫
你怎么知道我正在用1650
1650！！！！！
敲了 我才4G
好好好
新的宣传手段！
纹理是指哪个啊
我4050笔记本不用啥设置，默认就很流畅，2K屏
集成显卡锐炬可以玩吗？
美女你谁？
全低画质30帧够了
大夫神医啊！
救我
考研啊
已三连+转发
哭了烙铁
真的比原生的还好
传说皮肤
重做了？
额。。。CPU低怎么破
1050Ti心头一震
支持
帧生成不是高于60帧才适合开吗
阿狸我可以
你就说啥不度化吧
MX450在此，可否一战
我一百针
960的4g要爆了
我分不清游戏和现实啊
今天是八股阿里
dell g3 1050ti，出列！（骄傲）
电竞华佗啊！！！！！！大爱狸尊！！！！
哇塞
1060
磕头
哈哈哈哈哈
我3050那
1060还能再战啊！NB
6700xt委屈啊
三连了
就是我
6650xt
\
很好啊
真有1050ti
美女
你是谁？
6500xt这样设置直接关机了
注:全景光追要关，并且如果之前开了按这里配置完必须要重启游戏!!!
电竞
750ti救一下
都2024年了，还次世代啊
这个是真的牛
废话真多，不知所谓
褒姒了
a??
6666
好美好美好美
全体起立
2080完了，我成替身了
3050TI：没辣！
但是fsr毛发和植物噪点受不了
双党狂喜
