《那么他认为的高配版……》
我拿房本换
你的童年我的童年好像不一样
布什戈门
敖广:坏了让他找到生产厂家了
布什，戈门
制作组致敬unity引擎（doge）
自己去东海龙宫里讨
低配版=我高低配不上的版本
低配？顶配！
低配版黑神话马楼
还缺儿子吗？
小圣
黑神话 小登
Unity？
不得做两套吗
费什么话 上链接
黑 神 话：悟 地（弟）
帝配版
上链接
这就是低配，意思是像我这样低下的人不配
低配.....
低配应该是指的材料不算好
真手搓啊
差紧箍咒
《低配版》
啊？
《低配版》
我是灵嗅，他身上出现了清香，他是巧物
他说的应该是材料低配
真神人也
666这个入是桂
游戏科学：整点好的材料，我入股了！
洗了几遍筷子了
好强！
锁子黄金甲
不是哥们儿？
woc居然是妈妈！
材料低配  人工顶配
《低配》
博士哥们
憧了，低配是指身高
《低配》
低配说的是大小不是质量
不是，进化不带我，是吧？
不是，这可不能叫低配啊，这玩cos比实际拿金属皮革做的性价比高太多了！
妈妈，我也要！
别人的低配我的一辈子
《低配》
《低配版》
BGM走起
啊？？？？
链接发给我
《低配》
看懂了
《低配》
《低配》
nb
啊？
手艺人
【低配版】
大喜！大喜！大喜！大喜～！
天命人太有实力辣
别闪那么狠，看着很费劲的
啊？这一步我就不会了啊！！！
还缺儿子吗？
？
1∶1
不是哥们
你管这个叫“低配”啊哈哈
强的可怕
nb
高配难不成是纯铁？？？
我听到了[巧物]的回响
啊？
妈妈，我也要
高产似那啥哈哈哈哈
《低配》
66666
这还叫低配，这叫超越
妈！！！！！
不是，哥们儿？
上链接！
！？住手，住手，快住手，不要再这样啦！我这个手残党太羡慕啦！！
?
这得用多久啊
这何止是低配啊。
我对低配有了重新的认识
低配版就是没有紫金凤冠
不是，哥们
不是哥们儿？
？
妈妈，我也想要
哥们，你来真的啊
脑子:我想学这个。手:不，我劝你最好这辈子别想。
《低配》
“低配”
加个钩子=高配版晾衣杆
穿这个去漫展你会成为最靓的仔
这就是低配呀，高配材料普通人可凑不齐
朋友们，红温的时间到了
我勒个手搓仙人
黑金这种颜色看起来太爽了
估计比官方做的都精致好吧
这是咱妈
啊？
妈妈我也要！
不是？！！。。低配？！！
妈妈妈妈~
这妈也太帅了
这妈太帅了
《低配版》
你换这个叫低配？
黑神话：哪吒
这种材料不是低配还能是高配？
注意点儿，前方有天之手工圣人。凡人都跑快点！
不是，哥们你来真的啊
啊？
突然反应过来看了眼标题，这是低配？
我全程嘴都合不拢！厉害
布什戈门
前方注意点，天之骄子，凡人赶紧走。
姐妹 泥…
是低配，高配的是金铁的
真底配
妈妈还缺孩子吗
他也是够低配的
？？？？？
《低配版》
还缺儿子吗？
坏了，给他玩着真的了。
啊？
黑猴表示一下
妈妈我是你失散多年的孩子呀！
帝配版
？？？
这种东西肯定坏的比较快，所以放我这吧
太特么帅了啊
巧神道魁首
huh？占领空屏
？？？
上链接
低配是指没有附魔吗？
黑神话，小孩
不是一个人的手，所以剪辑才这么碎吧
纸神话悟空
你管这叫低配？
您
逆天了
2万粉丝整了个200万的活
我听到了【巧物】的回响
牛逼
懂了，up语文不好
你管这叫低配？
这还低配版
妈！！！
我能去当你儿子吗？
这都什么人啊
好了，该我穿了
坏了，让他玩到真的了
太牛了
姐姐，牛逼
太幸福了
还缺二十几岁的儿子吗
wc
？？？？
啊？你来真的啊
这么帅
这你给我说低配版？
啊？
这就发给我妈
省流：距离天命人只缺个面具
纸改钢，胶改焊，每天一顿小牢饭。
啊啊啊啊啊啊啊啊羡慕
全是甲醛
《低配版》
低配….
小孩都当上猴子了，不是
这不就是幼儿园和小学老师最喜欢的家长吗！
低配是指高低我们都不配
上链接。
真正的豪华版
还差头上两根须
是不对低配有什么误解？？？还是。。。打错字了？？？
我的天啊
还缺儿子吗
你管这叫低配？？
直面天命
Made with Unimum
确定是低配版吗？
材料低配≠手低配
前面的，500材料钱都不够，想什么呢
《低配》
啊？
省流：巧神道魁首：「巧物」
帅
迷死个人哦
我也想要这样的妈妈，妈妈妈妈，我也要
这是妈妈带着做的
低配？我不配
是
低配但不馬虎
手工大佬
伟大的妇女能顶半边天！
发链接
好了该我了
这还低配？村质一换就叫道具
啊？
这我学集贸啊
手艺人
好了，该我玩了
可以模拟做旧
低配指的是材料。
妆造跟上啊
金属色干扫
这个能喷，这是真不低配
？
什么时候做头冠
《低配》
妈妈，我也要
妈妈我也要
妈妈，什么时候量产啊（大哭）
《低配》
量产！
孩子能高兴死
让你模仿，没让你超越啊
妈妈好厉害！！！
这的卖上万
黑神话小孩
啊？这叫低配？
完全的高配
这是低配版吗
哇靠 这也太帅了！
“低配”
《低配》
建议多布置点作业
不是哥们，你来真的
《低配》
啊啊？！
太强了
妈妈???不说我还以为是爸爸呢
啊？
不是哥，你做非遗呢？
一甲顶三弩   三甲进地府
《别人的家长》
黑神话+妈妈
别人的家长
特效！一定是特效！()
真帅
你还缺儿子吗
还带灯，过分了呀，羡慕死
这样的爹给我来一打
体型正确
论一个游戏养活了多少up
这叫低配
《低配》
《低配版》
投币了，我勒个豆啊
量产！！！！
天天上强度
29.9！321上链接！！！
《低配》
跳伞到2：20
妈妈o(≧v≦)o
你管这叫低配？
你都有两个儿子了，再来个女儿不介意吧？
妈妈，我也要
黑神话小壁灯
顶配!顶配!
啊？？
不是，这我得坐起来看
啊？
我嘞个低配啊
上链接吗？？？
黑神話小悟空
啊？
好幸福的小孩
不是，啊？
寻妹眨
三！二！一！上链接
如果这都不算爱（爆哭）
有没有人看视频标题：这是低配版
零帧起手
黑童话，爆肝
这是艺术品啊
再来个紧箍
好细致
不是哥们你来真的
不是哥们
《黑神话悟空》
黑童话•小孩
在网上卖起码能卖好几十万吧。
啊？
666这个入开桂
，！
嘿！生活·悟空
不是哥们儿
不是哥们
黑神话官方：不是你怎么知道怎么做建模
黑神话悟空，现实体验版现已上线
教练，我想学这个！
不是哥们
不敢相信
黑金看着就是贵气
啊
妈妈～
有点想当孩子了
一个两分多钟的视频，向我们展示了30天的成果
还会亮！
这个叫低配，那什么才算是高配？？？？？？
3 2 1上链接!
bro？
现在收看的是金箍棒生产过程
孩子主要起一个造型上的作用
闲得慌
三十天？！你给我三年我都造不出来
666这个入是桂
不是，那我这学集贸啊
天呐！
你管这叫低配版 ？
帅！
我有手但又没完全有
终于找到巧神道八阶了！
朝天观呢
妈妈 我也想玩
不儿，还有
不是哥们，高配版是全金的是吧？啊？
妈！
啊？
我学集贸啊！
握草
上链接
布什·阁门
妈妈我也想要
大制作 大制作
是妈妈！弹幕为什么觉得这是个男的？
一开始看成德三了
卧槽
这我学个集贸
不是哥们
这个应该要做好几天吧
现在压力给到高配
啊？
6666
啥叫低配？
请收下我的膝盖
妈妈
唯有助你两币之力
你管这叫低配版啊
我也想要！
up你确定这是低配？那高配这就是一套铁甲了？
省流：不是，卧槽！
啊？
匠人
？？？
哈？
这回是真直面天命了
《低配》
是人？
这真的是低配吗
“低配”
该我玩了
今天敢要金箍棒，明天就敢要冰棍，可不能惯着啊
这叫低配？？？
不是哥们儿
ray在招人 孩子
布什，姐们
低配
牛犇！
我就想知道你们家高配什么样的
ohohohohohohohohohoh
差个凤翅紫金冠
猜到了
妈
woc
奥利奥（）
我去，别人要是会，我能免费当苦力，只有能穿一次就行
所以说低配是指穿的人年龄低是吧
我能不能就要这个金箍棒
up上链接
就是要这样，培育动手能力。
小孙悟空
哥们你来真的
bgm*5
小孩哥起开，我来玩
这么顶
帅
您是寅虎是吧
不是前面的管这叫低配？
好了，该我玩了
帅炸了
他还在做！
666这人是挂
不是姐们儿
好了，该我穿了
妈妈我的什么时候做呀（doge）
碳纤维护甲？
补是姐妹
阿姨，你还缺女儿吗？
情妈
超牛，一点都不敷衍！技术力行动力max
我嘞个巧物啊
《低配》
省流:重新定义低配
妈妈！
我会缩骨功，让我先穿
手搓黑神话悟空
这低配 ？ 纯手工制作很高端了
别说了，我现在想看看高配能到什么水平
上链接
妈妈，给我也做一套嘛，好不好嘛
太精致了吧？！
布什哥们儿，你管这叫低配版呐？！？！
出1000给我吧
卧槽
（真）低配版
小时候要是有这一套，学校里横着走好吗
道具组老师
哥们儿 私藏假洲是重罪
太特么帅啦！！！
材料低配≠工艺低配，不等式秒了
好了，该我穿辣！！！
材料低配≠工艺低配，不等式秒了
你对低配是不是有什么误解？
低配版
布什戈门。你这个拿到淘宝上能卖将近几百了
好了，该我穿了。
妈妈，你怎么把我忘了
《低配版》
太厉害了
全校最靓的仔
《低配版》
妈妈！我也要！！
妈~
这叫低配
"""真""低配版"
厉害啊
999999
真不准备量产吗？
省流：好看到爆炸
埠事，戈门
不是哥们，这叫低配？？？
竟然还有高手！
神秘的道具组
啊？我勒个豆啊！
上链接！！！
这就不是普通老百姓想做的东西
？？？？
好帅啊啊啊啊
卧槽
牛皮
省流:黑神话~小孩哥
啊？？？？？？？
。
《小孩》
太牛了
Up家的孩子是有他帮忙。我要做的话只能我一个人，我爸我妈根本不带管的。
原来我不能像你一样成功是因为我没有两个儿子
牛逼
粉丝2.5万
都几千块钱了吧。
那么牛的吗？
我凑，什么低配？顶配！
Cosplay从小学做起。
我艹，爸
师傅你是做什么工作的？
低配？
黑童话
你管这叫低配版
你的童年，我的童年完全不一样
[OHHHH]
上链接。
上链接吧，隔壁小孩馋哭了
啊
穿去漫展可以高还原了
触发关键词
帝配
大袜子，你就这么水灵灵的做出来了。黑神话悟空的铠甲
军火展示
《低配》
有瑕疵啊，寄过来我给你修一下
藤甲
藤甲
来真的是吧
这这不对吧
这我学个集贸
藤甲
？
藤甲
《低配版》
藤甲
低配？
妈妈，我也要！
$2699.9
怎么没人说话
盐豆不带盐
妈～
认真的吗？？
齐天小圣
上链接！
布什戈门
天哪这个妈妈是超人！
真羡慕那俩娃，这个黑神话悟空的衣服还有人支持。
[ohh]
现在才反应过来
《低配》
材料都得一千了吧？
六一表演肯定拿第一。
妈妈，我也要
呜呜呜
谦虚了，这是高配
真就我是天命人了
你的童年，我的童年全都不一样
《低配版》（牢底不配拥有版）
妈妈！
这只是低配版的
兄弟你管这叫就低配版？
妈妈
这不我妈吗？
不是
该我玩了
做大圣？
历害历害历害历害历害姐妹
妈！
《低配》
寻没眨
不是，姐姐 太厉害了
妈妈 我也要！！
两个弟弟到底一共有多少个肝？
我没眨眼吧！！！！！！
优先选择权有了
海量工作
穿这个去漫展会怎么样
？
«低配»
这都是低配版，那高配版岂不是全上铁定啊？
好了，到我完了
这个是低配，那高配是什么？
就我是个寂寞啊。
他简直是超人
视频速度可以慢一点，好多画面都看不太清
布什 各门
《低配版》
头上是不是差了一点东西
黑工匠：老爹
厉害！
啊a
不要小瞧小孩
这该不会是从游戏里面直接拿出来的吧？
决定了以后就找你们做cos服。
不是哥们。。。
Cos不带瞳  投了哈（bushi
《低配》
黑童话-小孩哥
bgm耳朵都要听起茧了
上链接
妈妈我也要！
黑神话小孩子
这。。。。。
wtf
？
关于我对“低”字理解这件事
《》
？
一个月的手机，换一个锁子架
《低配》
↑前面都说了是妈妈
低配
肝的焦香味！
这我学集贸啊
神一样的手工技术！
？？？
好，成传家宝了
妈！
布什戈门
低配指材料低配
你管这叫小孩
漂亮
“低配”
你让我一个十几小时也啥都做不出的人，放哪去？
干扫的技法还挺到位。
支持手艺人
省流黑神话小孩。
低配是你的谎言
《手搓铠甲》
黑神话悟空
三二一，上链接
省流：高配
《低配》
我去
黑神话
他玩完了就能让我玩了吧妈妈
《低配》
现在压力来到了孩子他妈
开了
妈我也要
好了，到我玩了
不什戈门
不敢想象这个小娃娃在同学们中的地位高到什么境地
省流:悟饭（doge）
