左轱辘不转右轱辘转思密达
年少有为
神寄的老卡
5
电脑：丸辣，第一难到我头上辣
单风扇限定款
这电脑可以了，能跑《黑极霸:悟能》
刷怪笼
《旧旧芯》
《沙皇炸弹》
能击败18％用户还是太新了
400配备了580现在一个580都赶300
猜你想搜：580纯纯大矿卡
赛博抓药
《好的》
《03年老弟喜提04年夏利》
游戏都268了
怎么滴！
神秘物资刷新点
单8g能跑黑神话吗
《手捧雷》
《移动炸弹》
580警告
c4已安放
《基本全新》
《国产剧情》
可以玩《黑曼巴：瓦妮莎
比华为笔记本跑的好多了
散热器比cpu贵
这不送老弟个黑神话
送个鞋盒
5帧
不是送了吗
鞋盒机箱
30系
40系
固态能玩明白吗换个机械
i9级
8g跑不了，要再加8g
560 560xt之间，比不了580
哈哈哈哈哈
小孩哥还挺会说话的
《盆栽机箱》
跟我i7 2060一个帧数，尼玛
啊？
开几家？
500！？同学这是要开网吧？
一套下来还没我键盘贵属于是
什么大两岁
盆10块？
九九成
有代沟了
？我590都只有30帧
c4
家里同意，给同学配？？！什么操作
可以玩《黑棉花；悟能》
最大气的一集
云端玩吧
贼船电源
关键是《又不是不能用》
赚了150
盆可不便宜
1帧能玩两帧流畅三帧电竞
同学是你最亲的人
网吧充140还能送点网费，260买游戏，
这些民用c4
显示屏不用钱
小米
抓药啊
一帧能玩两帧畅享三帧电竞四帧未来可期
这是要把同学给炸死啊（
哈哈哈哈哈哈哈
8g是运行内存啊...
比我开全高以后帧数高
至！强！
真高级啊 这屏幕还是触屏的
高抬老爷电脑
你这也太黑了
网吧5块钱一小时，可以打通关没毛病
玩的是黑神话马喽
人家本来就送你机箱啊
那你在上一根啊
显示器呢
刚不是说送他电源吗
480
《女大学生自用》
同学是你最亲近的人，我非得给你主板钻个眼
配个1914的
14年前的配置
爆能器已部署
你去来个动态模糊打开，然后打个群怪，再看看帧数
无视
4g你玩黑悟空？
看看你显卡选啥
都发霉了
刚回家就给炸死了
黑神话好像要求16g起步
都五百了，这机器没剩杀了，还薅走一百
寄苯醛锌
人家说的是14代cpu
这也能跑啊？！稳定40帧居然能玩黑神话
《问题不大》
《好像》
8G能玩啥啊！
最低5帧
啊？2010年都14了？
不是，你
剩下那18%是什么
欢迎来到老爹古董店
爆能器己安放
400块钱买块游戏硬盘
诈骗犯啊你
问题来了，没显示器
全低偶尔掉帧乐了
电竞帧数
硬盘70我卖给你，50得了
无外壳炸弹
1066
我转手卖同学一千
1根8不够，开机没一般了，我就是用x79
这盘能卖70？
笑死
？？？？
电源20 30差不多
4090
你打打怪都要冒烟
逆天
咋滴？
怎么的？
幽默
吃不了兜着走。
编剧摸鱼了
《黑网吧:初中》
比我2010年配的电脑跑得高不少！
啊？
rtx 4070都难跑的动
剩下18%怕不是反坦克地雷
一镜到底
WC跟我一样大
笑死我了
？
这破玩意50？
奸商
70！
《没手机大》
14年的电脑
？
（海盗船电源）
我寻思组好卖我同学捏
老兵返场
p106！
挖槽
你把这一摊捧火车站你又有地方住了
说这玩意和580差不多的也是神人了
九九成，稀罕物
直接云电脑
起爆器
当我们不知道你是拍之前给拆了哈
回家做梦吧，400组打黑猴配置？
？？？
在贪点
boom
boom
c4已部署
比我一千块60帧性价比高！
你给我350我给你买个豪华版的（）
怎么滴这老破玩意买你同学（bushi
佛罗多进入直播间
电脑坏的时候电费估计比这电脑还要贵。
18+
1万4的电脑啊就用9700x和4090吧
1w4
机箱？纸箱！
基本全新
显示屏咋算呢
C4已安放
抽50得了，抽100太黑了
能装黑悟空？240G够？
还有中间商赚差价你无敌了
那必须580啊
五帧，搁这放ppt是吧
哈哈哈，严谨！
歃血为盟，对月起誓
哈哈哈
240能下完黑悟空吗
移动C4
老弟，一天把来和走都拍完啦，还挺效率。
已经开始笑了
还真能跑？！
我都看完走人了，想了想高低得回头给你点赞投币。
再赚波装机费
老演员了硬盘
去网吧玩吧，体验最好
666
《一个翅膀飞更快》
3094
《拆弹专家》
去廢品站撿整機配備都比這強  哈哈哈哈
黑商啊（
比育碧服务器强
哈哈哈哈哈
送个显示器
我方聚变打击已经就绪
8g玩不了
太想进步了（
明天怕是开机都够呛
金刚铠甲准备就绪～
可以跑黑神话·吉吉（
配个1914年的吧
快赶上我580了
大两岁会疼人～
阄阄䒖
？
《还先进两年》
这是亲同学啊
黑神话150G你这硬盘装了系统还装的下游戏？
A点炸弹已安放
去专门租设备给人玩游戏的店就行了
告辞 又是剧本
三帧都电竞了，五帧随便玩
这把同学炸上天吃席不得包个200？doge
电源老演员了
这是UE引擎的bug
“兄弟”
？？？
军火展示
跑拼多多黑悟空
？？
军火显示
这得配双通道啊
剧如本
120倒还行，毕竟380
怎么滴！
还能安排上380啊，我寻思460打发了
460？
不会抽了4000吧
能玩黑神话不？
8G能玩啥啊
怕炸飞老铁
民用c4
这搬回去不得炸啊
32的你就说不支持就得了
沙皇炸弹
e3 1231
卖你同学？
这个盆20啊
我艹52针能玩了啊
还是当古董卖算了吧……
属实逆天
游戏比电脑贵
逆天
直接安排核显卡
精打细算
400块租机打黑神话不是赚个爽
明天就炸了，后天就吃席
吓人
让他恰让他恰！！
刚过磨合期
亏了，机箱送的
怎么滴？
c4
by别给牢弟炸死了
别的不说，E5我个人感觉就是强
不是说爸妈都同意了吗 结果是帮同学买
啊¿
没算内存
r9 3系驱动2020年停更了
不锈钢脸盆
R9 380
好像比ps4帧数高.m
500抽100黑啊
？？？真的
？
同学是你最亲最近的人知道吗？
？
8000呢？
省流：手捧雷
弹幕呢？
还送一盆
这不怕炸？
这游戏玩起来不疯狂掉真
电源不得400w？
E！5！
四百块这样要啥自行车啊
怎么滴？你同学可是你做亲近的人
黑笑话悟空
这都能玩？？？
黑网吧，启动！
好家伙！好家伙
这盆可比机箱值钱
这不解决了吗
关键老板还得挣点
卧槽，木琴的赛博郎中是吧
牛逼
GT650
民用c4笑死我了，，
省流:端着走
这电脑也就能看个黄片儿感觉
wc
节目效果
啊？？？？？？
我擦
到我这肯定给你整报废了
都黑了还久久心
《500块配电脑抽100块》
蚌埠住了
竟然能开1080p
比switch都好啊！！！！！
买椟还珠
p106
上一秒忘了下一秒就找到了？
这就找到风扇了？？
240
x79不是问题最多的平台吗
大两岁
400安装个炸弹
580能玩黑猴！！！！！
内存多一条
怎么看也不像14岁长的太年轻了吧
他妈是14岁
快跑小朋友你进了黑店哈哈
最黑心的一集
一个螺旋桨照样飞！
误入废品站
机箱换了不锈钢脸盆，血亏啊
不装机箱这样拿回去容易坏啊
管它啥样，安排
回到家之后（ C4已安装）
太年轻了
解锁新角色：小孩哥
手工费就赚几十块钱良心啊
传说的军工级 cpu
能跑造梦西游
我方已拾取炸弹
破烂王哈哈哈哈
还没我手
性价比极高唯一缺点都是旧货二手的
你这配电脑性价比极高
halflife
显示器呢
一堆钥匙扣
民用C4
经历九九八十一难艰辛的U
豪华版也才三百多，剩下的充网费够了
99年新出土的
这是保密柜？
550
文物
去网吧得了
战斗公鸡
拿个纸箱装
这也不算高配啊
黑笑话：吗喽
黑神话不得配高配电脑？
朴实无华的
又不是不能用
上wegame买然后玩云游戏
8g内存不够用
哈哈哈哈哈哈哈哈哈哈哈
偶尔
咦？5！
残忍
心动了
？
去网吧
基本全新
年少有为
捏麻麻
手雷
这还抽点
动态模糊关了帧数还能提
这CPU十块钱的。。。你还赚了
同学:我显示屏呢？
把dx12关了帧数会更高
C4已安放
全网都知道你赚了100多
去网吧可以玩三天
《炸弹已经安放》
400-268=132，预算 132 是吧
核显级帧数，可以了
黑曼巴
《我有一个同学系列》
《民用C4》
《狗熊岭·吗喽》
《如数家珍》
炸飞了
这不是绝区零的女主吗
游科牛逼
怎么滴？同学是你最亲最近的人！
定时炸弹安排上
好家伙好家伙，太强了回来不得炸了
大户爱！
省流:手捧雷
战斗公鸡是吧
360！
Fc素人
年少有为
预算高了
从小发展
610 gt
同学是你最亲近滴人
原地爆炸
卖破烂
拔G
？？？
