这下听不懂了（doge）
黑熊精:磊哥，不可战胜的。
孙悟空：妖王·金池长老，知道我的厉害了吧。
一下秒了哈哈哈哈
专注打，说话分神可能会被秒
看磊哥直播就怕他卡关（doge）
猩红石像之力可以造成减速和灼烧效果，我需要恢复。
黑熊精，知道我的厉害了吧。
《黑神经》
磊哥直播说大头娃娃数值太高了 哈哈哈
廉颇释放了二技能，震撼地面并造成大量伤害，我打不过。
金池长老：磊哥游戏，知道我的厉害了吧
项羽：说了他数值怪，不能再说我了噢
你猜他为什么叫boss？
说词啊
金池长老：知道我的厉害了吧
黑熊精：天命人，你给我等着。
黑熊小伙立正了
磊哥：666这个入是桂
这个怪看上去就很笨，磊哥一定很快就打过了吧【doge】
保密级画质
承伤分太高了，下把估计得在红方一楼
定身流磊哥
孙悟空，不可战胜的。
磊哥游戏，知道我的厉害了吧
boss进入二阶段
磊哥在这里给您拜早年啦！
三石哥:黑熊精，知道我的厉害了吧。
这段是江江带打的（doge）
磊哥：尽力了，尽力了
都没打到哪里来伤害啊
细节定身（乐）
神罗天征！
8000了
好不好玩？自己玩，或者看主播玩才知道，而不是像这样子说风凉话
好机会
艾斯比b站这么喜欢压画质
只是问好不好玩，不要那么激动嘛
WZRY真是太好玩啦！WZRY是全世界最好玩的游戏！对局公平匹配合理，努力就有收获！！
最早的一集
若陀龙王
玩家操控的这个角色不是悟空
黑神话悟空真是太好玩了，游戏科学做出的游戏真是太好玩啦
王者荣耀才是最好玩的游戏
好机会
4小时那不很正常吗，一个头目打三次就差不多了
《黑神金》
1080p高清
先磕个头
说抄袭法登的是真逆天……
细节磕头
菩提祖师真传
黑熊我打3次就过了
白衣秀士我一遍初见过了
大头娃娃，不可战胜的
鸡爪流后遗症
黄金人马
像刚玩塞尔达打人马的我
第一口回满是预购的都有
磊哥2080Ti显卡
空头
石甲熊好强啊
电脑上画质比B站这个卡画质好一些
跳起来踩灭火焰
听到的声音是steam成就 不是修改器
红字的，因为b站码率低
不是动态模糊 是B站压画质，码率太低了
开广智会提前给黑熊附魔火焰附加
给熊哥拜个早年（doge）
好机会
这龟派气功我老是躲不过去。
我手残，不知道可以先打广智，这个大头卡到我17级才过
上单猴子单挑非洲沃利贝尔
刚好在现场
1
巨石阵
你过关！
给尊贵的大会员看这种画质?
为什么不出鸡爪啊
刮痧啊
我感觉我也行了
2.2
幽魂老师
专注修脚多年
输多了会变弱
明晓晗女人震惊了
黑熊精，知道我的厉害了吧。
[ohh]
磊哥：我辣么大个血条呢？
磊哥真是什么游戏都玩啊。
却如马赛克般的画质。
由于对面黑熊精变成了石甲熊，我打不过他。
不急，我笑出了声。
说词啊
有种国产鬼泣的感觉了
野猿广志！！！！
第一形态就丸辣？
还有避火罩？
马赛克；
打了4.9个小时还没过
黑熊精：尽力了尽力了
金池是我唯一一个一次过的boss
鸡爪流后果
哈哈，这画质比我好，我电脑带不动全选的低
先给爷磕一个
这光头我死了十几次
立㠪了
尽力了尽力了
这磕头给我看傻了
幽默细节哥
这个鲤鱼一遍过了
没事，吕德华打了37次才过
x
x
好好的为什么磕头
一个黑熊精有什么牛的
在现场
[OHHHH]
孙悟空，知道我的厉害了吧。
预购的都有葫芦
``
黑化强一倍，洗白弱三分
凌虚子一命过的
哈哈哈，原地磕头
磊哥，知道我的厉害了吧。
磊哥，知道我的厉害了吧
幽魂，不可战胜的
刀哥你头上长草了
黑熊精45度倾斜↓
磊哥：黑熊精拥有第一章之力，不可战胜的
[OHHH]
[OHHH]
黑熊精：磊哥游戏，不可战胜的。
说词啊，说词啊
画质感人
鲤鱼这个狼一变通
b站这构思画质
完了一会给阿古朵击杀了，容易高评分
优秀的匹配机制
为什么不把boss血条放屏幕上面
磊哥游戏，不可战胜的
磊哥：黑熊精购买了红莲斗篷，可以造成法术伤害，我不敢上。
在现场
战双武藏即视感
鸡爪流黑吗喽
避火罩二阶段忘开了
磊哥进步了，直播打秀士看的血压上来了
尽力了尽力了
一遍过了好吧
是B站压画质压的，你实际玩就不会有这种情况。
[全部]金池长老：天命人使用了定身术，我打不过。
磊哥游戏，你给我等着。
开了。。。。
[ohh]
长老：666这入开时停，我打不过。
哈利路大旋风！
磊哥：黑熊精你再这样你的队友就要不高兴了
廉颇开大了
黑熊精：666这人开桂了。我打不过。
黑熊精，知道我的厉害了吧。
用法宝避火罩啊
造梦无双里面，我早就打过去了
猴子打对抗路还有压力的
磊哥的小曲呢
你过关
鸡爪流孙悟空
这个真的好难
尽力了尽力了
开头就火附魔进入二阶段了
超，在现场
先磕一个
P
现场
在现场
好菜呀，隔壁逍遥小枫一遍过
六个小时还在白衣卡的
太喜欢黑熊啦，好棒，作为兽人控
你过关
鸡爪流大圣
666这个入是桂
磊哥，不可战胜的
《永劫无间》
农夫三拳干碎大圣梦
哈哈哈哈哈
[ohhhhh]
熊熊乐园里面的那个体育老师
丸辣
[ohh]
事故多发地
磕头
省流：666这个入开桂了
头哥好
黑熊精是不可战胜的
黑熊:尽力了，尽力了
nb！
下集预告:新研究成果，鸡爪流悟空
在现场
鸡爪流悟空
这能打鸡爪流吗
u熊好爱
。
灵虚子好打得很前摇很大
像极了你用牢英雄打对面超标怪时的样子
正好我在场
大头娃娃
这个更是一生之敌
倒头就睡
狮子猿
尽力了
私密马赛
尽力了尽力了
无锁勇士
在现场
暴打光头强
磊哥游戏，不可战胜的
老头发力了
我连白衣都没过
无锁战神
有点像王者荣耀什么鬼
说词啊
这下听懂了
我六小时才到到这
[ohh]
黑熊精：磊哥不可战胜的。
鸡爪流吉吉暴打野区熊大
黑熊精攻速太慢了，建议出制裁和鸡爪
最有技术的一集
陪它耍耍
在现场
第一口回满是豪华版的葫芦
。
黑熊精：知道我的厉害了吧，磊哥游戏
番茄酱
好难受这画质
焰爪熊
有人现在就开始挑战无伤通关
超标
jk还挺性感
在现场，磊哥说这玩意儿是数值怪。
树枝怪
画质感人
我在看谁，哦是磊哥
阿弥陀佛 阿弥陀佛 阿弥陀佛 ·
糊成保密画质了
必火衣要敲三个钟，打和尚，出来观察那个狼尸体就可以得。三个钟分别在广智广谋和水蛇附件。
这个还有拍你一下，直接一管
踏马的！放曲啊！
广智右键戳比较亏，除非是水蛇这种高机动，不然广志aaa，闪闪闪开个大伤害高，神力可以开两次大。直接磨半血。
看到这儿我就跑路了
开局重棍见面礼
↑在打了在打了
修士一阶段我纯普攻打死，二阶段全部技能招呼上去
打完大头，这个我初见就过了
完了好晕，我这辈子果然是玩不了3D了
还好没打出火，出火直接二阶段
鸡爪流吗喽
高手啊这，看过几个主播一打BOSS血条嗷嗷掉
这个熊我感觉憨憨的挺可爱，然后一个背身肘击拍了我半管多血
磊哥，不可战胜的。
磊哥，不可战胜的。
[ohh]
一遍过路过
尽力了
《永恒战士》打飞龙的感觉了
黑熊精拥有火焰之力，我无法战胜
小新打了一个多小时
太黑的或者这种火多的视频就会糊成马赛克，实际游玩不会有这情况
+
以头抢地尔
在哈娜现场，憨娜一遍过
在现场
[ohh]
这还是他打的最好的一回
农夫三拳有点甜
我
为啥你到了这儿还满血满蓝满葫芦，我到这儿蓝只有一半了
1000+
磊哥：黑熊精是不可战胜的！
打的过是大圣，打不过是马喽
尽力了尽力了
虾仁打了许久
你们玩鸣潮的也跟op一样喜欢到处ky?
白衣秀士把磊哥打的，只能刷野
一看磊哥就不常玩魂类游戏，不然不会被打的这么惨
黑神话广志
吃完饭回来发现还卡着哈哈哈
《黑神经》
这哪个端游up，磊......磊哥？
在现在，没有开
数值大头
在现场磊哥打了三个小时白衣秀士
在现场
多毛弱火
我怎么没见过这玩意？
在现场
鸡爪流天命人
出个热门装备吸血刀
不懂就问，这是王者荣耀世界吗
在现场，我是棍子
这下听懂了
我们是冠军！
定身数可以强制打断x虚化冲刺
见面先叠三势来一个当头一棒
在现场
这里可以定身术直接破了，让他提前结束这个状态
我尽力了
不是我没捡避火罩打了十几次太难受了
这打击感太差了
我打了快一个小时
磊哥，游戏我来了
下把红方一楼了
猴哥获得了蔚蓝石像之力，不可获胜的
鸡爪流猴子
三振出局
没出无尽没宗师你打不过很正常的（）
在现场
几十万斤的棍子打的跟挠痒痒一样啊
萌新杀手上线（喜）
黑熊精：磊哥游戏，来较量。
在现场
谁扛来的音响
可以刷匹配机制，匹配一个弱一点的boss()
大头娃娃！
这个我无伤过的
这个也简单
