明年高考题预定
还得是唢呐对味啊
什么是排面？这就是排面！
排面
三尖两刃刀 是二郎神
今日欢呼孙大圣 只缘妖雾又重来
什么叫做排面？这就是排面！！！
两开花！两开花！
专为这款游戏换的电脑
牌面！！！
排面
排面
"明年高考题,要出游戏和学习的问题,我直接盲猜"
那个多元的人可以有72个性别的
我还以为是广告  居然是央视我去
排面
排面！
排面！
在黑神话中深入学习了西游记的内涵
排面
黑·悟空
排面
央妈排面
排面
排面
排面
排面
多元文化输出，就是要这样，解放思想的搞法
猴哥！！！你是我们心中的大圣！！！！
排面
超级酷的，好吗！
超级酷好吗
排面
排面
那些营销号咋不叫了？
出息了
排面
排面
排面
斜月三星洞菩提花祖山。
中国人最骄傲的时刻
排面◉‿◉
GBG
排面
排面
排面
你猴哥永远有排面
排面
排面。
牛逼
排面！
给我翻译翻译～什么叫特么的震撼！！！
啊？这是央视吧我没看错吧
不想知道如意金箍棒的来历吗？看西游记吧。哈哈
排面！！
央视也是出息了，能发黑神话的新闻了
排面
排面
排面
排面
虎先锋三权打碎大圣梦
这回韩国人想偷也偷不走了！
排面
排面
排面
排面！
排面
bro意识到
修自斜月三星洞 师承风灵月影宗
南棒:又可以偷了~
排面
排面！
排面！
排面!
还得是大圣啊
排面！
排面
排面
排面
排面
排面
排面！！！！！！！
排面
我们中国也要有自己的3A
这段最帅
排面！！
排面
高中语文综合阅读题，英语阅读题，政治材料图预定
排面
排面
排面
不对…这是央视新闻！！？
排面
帅猴子
修自斜月三星洞 师承风灵月影宗
我记得好像推过我的世界吧。
真的牛
太帅了，文化输出
排面
排面！
央妈：都给我耍猴
gbg哈哈哈
这个戴金箍的绷不住了
[ohhhhh]
我去，央视新闻啊
妈，中央电视台都让我玩
排面
排面这就是排面
太牛逼了
排面
排面
弹幕打卡
氢氦锂铍硼碳氮氧氟氖钠镁铝硅磷硫氯氩钾钙
排面
见证历史
支持
好看捏
排面
这波山西赢麻了
排面！
排面!
排面
啊排面
排面
排面 ！
排面！
合影！！！
该让外国人为我们的一些文化震惊了
排面啊
排面
排面
妈给撑腰
排面
排面！
排面
虽然表情不是怎么很灵动，但作为我steam上的第一个3a这一切都值了
排面！
央，，，央视？？
这才是真正的文化输出
和老头环有区别吗，换皮不换药
央妈排面
排面！
paimian
斜月三星洞，风灵月影宗
排面
排面！
燃起来了
排面
我去上央视了！！！
排面
排面！
排面
排面！
排面
排面！
合影
央视？！
点名表扬
警惕背叛者
排面！！！
太帅了。
才看到是央妈
因为这个游戏没有zzzq
排面
排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面排面
牛逼
排面
这才是真正的文化输出方式
排面！
牌面
不会明年中考题吧
排面！
排面啊！！！
排面
让老外知道孙悟空不是出自七龙珠
排面
排面
太排面了！
属于中国人自己做的3A游戏！
排面
排面
牛批、
排面
排面
排面！
排面
排面
排面，认可！
排面!
排面！
排面！
黑神话！广智！！！！！！
排面
排面
排面！
排面
這就是排面！
排面
今年是龍年！但是今天是猴天！
牌面
文化输出
要哭了
排面!
这不抽个1000套？
排面啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
合影
排名
央视啊！！！还没看到，官方宣传啊！！！
排面
排面
排面
排面！
排面
排面！
如果你叫大圣他不理你，不妨试试弼马温
排面！
排面！
排面
吴承恩排面
排面！
排面
排面！
排面
排面
排面
见证历史
排面啊
排面
央妈上阵！
排面
排面
央视？排面！
排面
排面
排面
排面
见证历史
排面
排面
我不玩儿游戏，但这阵仗，确实震撼
排面
排面
央妈
排面
排面
帅啊！！！！
帅！！！！！！！
排面
国产游戏终于有能走向世界的排面了
排面
排面！！！
排面
排面
排面！
国产3a的救世主！！！
排面
排面!
排面
排面
排面！
排面
排面
这波输出实在是太顶了！
排面！
排面
又要有虎先锋被饿死了
中国神话英雄可自成一个体系，每一个英雄人物都能拍一部电影 比复联可牛多了
排面！
西方人，既见未来，为何不拜？
这就是排面
《黑神话CJ》
笑死我了
排面！
猴哥！
排面
NB
排面拉满
排面
排面排面排面
文化输出
排面
排面
黑猴排面！！！！！！
排面
排面
排面
排面
排面
排面
排面
黑神话悟空还上央视新闻了，这排面无敌了
排面！
↓                                        神话·黑悟空
上央视了就是最大的排面
猛一看吓一跳。哪个up2000来万粉
排面
排面
排面！
不是吧央视新闻？？？
排面！
排面
排面！
排面
排面
牌面
这可是央视啊，大圣nb
我去排面！
这是央妈呀
排面！国产之光，文化输出？
国产极品
排面
排面
排面
见证历史
排面！
排面
排面
排面
排面!
艹！见证历史！这他妈才是文化输出嘛！
排面！
排面！
排面
早该如此，5000年的文化冲击足够支撑300年的文化创意
排面
排面
这就是大圣的牌面
GBG！
排面
排面拉满了呀 终于啊
排面
排面
排面！
排面！
排面
排面!
排面
排面
大圣
排面！
排面！
啊！浑身鸡皮疙瘩起来了。牛B~（破音）
排面！
排面
排面
排面
今天看到一个为了玩黑神话连夜刷西游记的
啥时候出个优惠
合影
排面
排面！
排面！
排面
排面
排面！
排面
？
排面
排面！！！！！！
其实大部分主播都是托
