希望这种法官能再多一些
女士大义
一部自行车？这么多人？
我....我可以说吗？我觉得这些人该的，就是苦了那位姐姐了
视线盲区速度又快，轿车高度根本看不到
鬼火（国外版
民众还是很清醒啊
有一个好法官多重要
这才是法律精神、伟大的法官，真是当代包青天、希望她一辈子平平安安
就算要这种骑法也得把刹车安在别的地方吧，而且得是手能够到的地方
这姿势成龙也架不住啊
这才是法律精神、伟大的法官，真是当代包青天、希望她一辈子平平安安
這位法官真的偉大！
天啊看了这个案情太残忍了！
青天大姥姥。
为什么去掉刹车？
看过这个，一帮鬼火少年，高速逆行，而且被告已经刹车了，鬼火刹不住，自己装上来的
如果你能提前两秒预判
但是人家没超速呀！
法律不是谁弱谁有理
我滴天！太像最近那个骑行事件了
有理有据！
清汤大姥姥
但是我会担心这位女生出狱后的人身安全，希望她平安吧
法律精神
女士大义！！
有点像有段时间流行的死飞
清汤大老爷
青天大老爷！！！
青天大老娘就是好
学新闻学的
那个让人不敢扶人的法官叫什么？
学新闻学学的，大家往后看
好厉害的女法官！青天大姥姥！
不是原告，是检方
王法官：不可能，绝对不可能
学新闻学的
为啥强调她的族裔
青天大姥姥！！！！
这真的是能在马路上出现的东西吗？
学新闻的
希望她平安，长寿
学新闻学的
这个猫啊，我做一个轿车在一条有有人家两端三字路口直行百八米长的接农村国道，中间一只猫股咚一声滚重了
中国就缺这样有正义感的法官
学新闻学的
学新闻学的
货拉拉司机表示，我冤啊
想想那个说不是你撞的，为什么要扶
老天奶开眼了！！
我要点名三个出生
《野蛮人攻城锤》
？
新型受害者有罪论
等等......去掉刹车？？？
老李？
笑死，谁能预判未来
乱世当用重典，心慈无以谋国
？
还方便头部撞墙，简直了
赶着去投胎
尊重自然选择
这能开嘛
马来西亚很好地保留了中文教育，马来裔后的第二大族裔就是华裔，尤其在吉隆坡槟城新山
哪里有车把？
学新闻学的
和邯郸案形成鲜明对比
为什么国内的邯郸案不能这样啊
这是什么新款神风特攻队
女士大义
好法官！！！
别人的键盘侠TT
我的天，10天？？？？
对，这个好
青天大姥姥
青天大姥姥
熊孩子的熊家长
新闻学扣打分
马来西亚都普遍讲中文的
那青少年是碰瓷，难怪无罪
逆转裁判
看看人家的法律
青天大老爷
努力争取可以一次性把自己带走
这能看到路吗
支持！
马来单警官
躺板板
真好，羡慕这样得法官。
摩根
鬼火少年
哦，不是集美了就没事了
？去掉刹车
以前国内不是有死飞车
我为什么看不懂中文
青天大姥姥！
尊重自然选择
逆转的交通事故
无                罪！
华裔就是中华民族的后裔
……真不安全啊
谁家成步堂
还有一层意思法官认为这些骑文青自行车的是狗或猫，不在人类的范畴他们速度还那么快，看到他们肯定来不及减速，所以跟这些骑蚊形自行车的人一样。
清汤大姥姥
？
？
没刹车？！！！！
花样作死法之一…
青天大姥姥！！！
未成年人犯法，监护人罚款并承担刑事责任真是太好了
？
看B站的人都喜欢说一句：啊？
これです
異議あり
翻译过的，人家不翻译你看得懂？
我嘞个青天大老爷
異議がある
天呐
希望国内有这种法官
清汤太姥姥
牛逼
开眼了
我天呐，出生
好名字
她本人造成的损失如何赔偿？
这也太恶毒了！
法官奶奶太高光了
青天大老爷！
公共媒体不得以情绪干涉法律的公正——
这么不安全，怎么能让孩子们玩啊！
女士大义！
静候国内骑行案的结果
有没有人道主义赔偿？
漂亮！
牛逼啊，牛逼呀啊。
牛
神金
罗老师：很刑啊小伙子
哦是那个用熨斗杀人事件吗，原来是她呀
