此时一个人自信满满的翻出了纱巾
我只能说古偶是史
先收藏，等下辈子投胎成女孩的时候再用
太子妃升职记御用服装组长
小时候我要是有这种视频，直接给我香迷糊了
我不敢想我小时候要是看到这个视频会有多高兴
我小时候老拿我家床单这么穿
有《红楼梦》那味儿了
小时候要会这么变 我绝对是村花
要是我在路上看到，都得围观
啊？就这么水灵灵地穿上了？？？
白骨精白骨精!!!!!当时我就感觉那个披风好帅
啊？
第一款最好看
好好好
魔法吗？
不错
我小时候咋不认识你呢
太美了吧
还有啊？！
啊？
妈呀好厉害
啊？
这个有创意又美又飒
外层再一层笼纱
啊？
？本来以为是整活，没想到来真的啊
？？？
好厉害呀
漂亮
这才是十一二岁的小丫头该刷的，趁小床单玩起来啊
啊？
肱二头肌！！！！
发生了什么
啊？
小时候蒙床单蒙被子玩的不亦乐乎，长大了也有能力买衣服了但没什么兴致玩了（⌒▽⌒）
啊？
啊？
啊？
啊？
6
我也想到了红楼梦
啊？
小时候的被子梦
好家伙！
发生了什么
发型很重要
啊?
豪堪豪堪！
我小时候就是这样想的
小时候我要是刷到了得多好看
我的天啊好厉害
退1万步讲 床单真的不行吗
这不是现在电视剧里的
比国产古装仙侠剧好
不喜欢红白色系的，可以换个别的颜色去搭
啊？
啊？
出新的了
好厉害
华贵又不失优雅…
我也没眨眼啊。
好棒啊！小时候裹被单没有这个好
西游记的感觉
？
金莲，是你吗
啊？还有？
啊？
下次拍照我就这么拍
后面那两位路人
学会了，丝巾在哪领
这个6
御剑哈哈哈哈哈啊哈
啊？
？
小时候为了这个，还专门缠着妈妈给我买了好多丝巾
啥咋样，自己做和买都行，喜欢就好懂吧
啊？
我也没眨眼啊
豪看，让我想起了西游记！
最喜欢第一款
啊？
典中典！太经典了！
太强了
可爱捏
我寻思我也没眨眼，
太牛了
丝巾链接发一下姐！
好牛
我丢这真喷不了。。。
好棒，好有创造力
难她天
啊？
牛
好厉害啊
oc先穿
小时候要是看到也不至于扯被单披那么单调啦
女生们收藏起来，男生们也收藏起来，下辈子投入女生用
啊？
？？？？？？？？？？？？？？？？？。
啊？
不敢想，我小时候要是有这个东西会有多开朗
啊？？？？？
变魔术？
我也没眨眼啊
啊？
啊？
这是个侠女
小时候蒙床单高阶版，哈哈哈哈哈
？？？？
哇趣！
豪看
啊？
啊？
居然好好看
喜欢这个
探春！
看的我眼睛珠子都要瞪出来了
这个确实牛逼
啊？
啊！
如果我小时候看到肯定多花样。不至于披着裹着
啊？
太牛了
这大丝巾哪里买
你来真的！
西游记里的漂亮妖精姐姐！
寻妹眨
不是哥们儿，这是B站，怎么一秒就没了？
不是怎么哪里都有小病区的我服了
啊？
原来古装剧服装成本这么低
不会掉？
1
好厉害
小时候知道这个玩法肯定高兴疯
？？？
哇
“币有了”
啊？
相见恨晚啊，我小时候cos白娘子的时候咋没机会看到你
好看
我小时候裹着床单在家里假装公主的时候怎么没发现这样的技术
啊？还能这样啊
老祖宗留下来的，真好
太厉害了
好可爱
厉害呀
女儿国国王
666
好看
咋样 现在会觉得明明一样但不是别人制作标价的话穿起来丢人吧
这个最好看
天一下就黑了
本来就是这样的？
6
这不就是小时候的梦想吗！
我也没眨眼啊？
？
看出来了发型的重要性
这三条丝巾在哪买？心动了
啊？
啊？
布什·戈门
啊！！？？
啊？
好好看
西游记续集狐狸精
啊？
上错花轿嫁对郎的bgm吗？
哇这个
啊
啊？
好厉害
啊？
啊？
啊？
不敢想象小的时候我要是刷到这个视频会有多高兴
姐姐实现了我小时候披上床单就是女神的终极幻想哈哈哈
怎么不转个圈，看看后面的样子
这不就是小时候披床单的梦想
厉害了
啊？
孙尚香
手机爹给我干哪来了
今夕是何年
啊？？？？
喷不了真有实力啊
啊？
有没可能唐朝之前基本没裁缝，就是这么披的……
我小时候怎么就没看到你呢
好看啊啊啊
好漂亮
美的！
铁扇公主！
好有西游记的感觉
御剑怜侍（雾）
我天简直是魔法
寻妹眨
原来古人穿的不是衣服，是布
啊？
啊？
喷不了，这是真有实力
6哇
第二款是交领第三款是齐胸
我也妹眨眼啊
哇
？？？？？？？
哇！！！！
爱看，多发
今夕是何年？
最后一个好好看哦
真的可以啊
哇，！！
浓浓的两汉风格
女儿国国王
林黛玉
嫦娥
啊？？？？
啊？
哇塞
不是，这样我还买衣服干嘛呀？
这个真的牛
啊？
啊？不是
对不起 串戏了 看见这个领子就想到利歪
魔法
小时候拿围巾试过
西游记
古装剧需要你。
啊？
6啊，有点美
为什么不让我小时候刷到
拍到天黑了不容易
好厉害
好家伙 天才
啊
啊？
啊
好家伙
啊
啊？
啊？
湘玉～
牛逼
已经有西游记的味儿了，真的很好看
这个是真牛啊
我小的时候竟然没想到
啊？
？
厉害
我靠?
古早味
姐你是真牛
啊？
啊！
怎么来的？？！！！
啊？
？
牛哇
终于看到了丝绸的魅力
目瞪口呆
发生了甚么？
上链接
等我小了我也那么玩儿
啊？？
啊？
口水巾
啊？
啊？
啊？
天才！
啊？
绝了
嗯？？？
以前古装电视剧的服装设计师会这样弄新衣服给演员
服装设计大佬
还有高手？
小时候的我会羡慕，长大了现在的我一点都不羡慕因为我有很多汉服
不一样的，这套抹胸且不束腰
啊？
啊？
好厉害啊
啊？
啊？
像西游记
我也没眨眼啊？
求bgm！！
寻妹眨
啊？
