《原声大碟》
经后世的研究，人们普遍认为大圣身上有部分罗太的血脉
可以去配汤姆猫了这叫声
黑社会∶悟空
云图了
疑似猴哥本人上号
有小罗太 舒服了
MVP结算音乐
原 声 大 碟
罗太专门打了24次致敬牢大
坏了，他好像真会玩
冲刺!冲!
《俺老孙上来就爱你》
这是亖了多少次闪得这么熟练
黑神话曹操
蓟县!
byd，广智当名刀使
我是化学家，这就是强碱
孙悟空顶号了
文明罗太
闪避音效（bushi）
声音最像的一集
猴哥上身了属于是
帮帮我，广智先生！
答：22次
冲刺冲刺！帅！otto！
在现场 真的很帅
在现场，有一把比这把秀，然后罗太屏幕黑了
闪退呢，救一下啊
豪庭
像个j的只狼，玩过的都不能说这话
。。。。jb云只狼的，哪里像只狼了？
像只狼 但是惩罚很少 而且整体简单 连招变化也多的多
帅！！！！！
帅！萝太 帅！
哈哈哈呵呵哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
爱猫TV
像牛魔只狼，都没有弹反，小鬼幽默完了
怎么感觉那么像黑暗之魂呢？
鬼叔打了十一次
最早的一集
最在现场的一集！
漫长的四分钟
帅！
难道说我是第一？
你昨天在爬楼的时候连续被小怪打掉下三次
这不对吧
牛啊
目前没放过狮吼、血刃
大圣亲自上号了
留着残血开2阶段
疑似本人
笑死我了哈哈哈哈
虎先锋：其实游戏发售前这池子是干的
哈哈哈哈
没人吗
帅
黑神话：广智
电报猴
爱虎TV
米老鼠顶号了
广智呢，救一下
《黑奖杯:罗太》
帅！otto！冲刺！帅！
无敌广志
虎先锋：奖杯来的萝太
真好，还会叫妈咪
虎：将大局逆转吧！
一得阁辣米
广智呢，救一下啊
原声大碟
哈哈哈
哈哈哈
广智救我啊！！！
声音也太像了吧
屏幕前一定是一只马喽吧
Otto
前方高能！！！！
黑社会·悟空
只狼弹刀多吧，而且小怪还挺恶心的
这一段很有镜头感啊
花果山口音
黑神话:萝太
闪避音效
哈哈哈哈哈哈哈哈哈
伤害好低，没换武器吗
电报猿
齐地小圣
打了一周目后二周目开始我发现 对打的boss中我打的最爽的就是虎先锋
黑马喽
广志救我
金刚不坏
虎先锋:奖杯的，怎么一直打我奖杯
越是后面越不能急
猿型毕露
弹幕要笑死我吗？
XSWL
声音关掉新世界哈哈哈
请问这是游戏原声吗
极限
哈哈哈哈哈哈哈哈哈哈哈哈
闪退呢，救一下呀
坏了被罗太帅到了
坏了，猴哥上号了
全伤流（bushi
玩绝区零玩的（doge
看得出来很急
为什么你的闪声音和我不一样
刚从鲤鱼那边过来
真的好强，还没用广智
马萨卡
这就是游戏原声
哈哈哈哈哈
桌下有猴子发力了
完了遇见真猴儿了
啊？这个唉唉唉不是游戏音效吗
广智呢？救一下啊！
广哥救我！！！！
谁家花果山电报猴
我嘞个飞天大草
西巴
黑社会·妈咪
6
丸辣！
最伟大的冒险还说过：hoho，yiha，heiweigo
茶啊二中某位同学出演
这是真吗喽啊
点进来之前没想到这么好笑
《吃柠檬冰》
你别说，确实有操作的
焯！！！！！！！！
最陌生的一集
这下听懂了
像只狼的纯云
广智：6
还挺有节奏
《吃柠檬冰》
黑羁绊 罗太
开了？
二倍速无敌
哈哈哈
无效消音
二阶段广智
咋一套僵直都没打出来
他急了他急了
猴哥附体了
笑不活了
哈哈哈哈
口音最本地的一集
其实三段棍势可以把铜头铁臂敲碎
他为啥一口能回满
爱猫人士
听爽了
帅
哇啊啊啊啊啊啊啊
冲刺！冲刺！冲！冲！
跳伞1:55一起吃柠檬冰
芜湖
广智：神经
哈哈哈哈哈哈哈哈
帅！
哈哈哈哈哈哈哈哈哈太搞了
哈哈哈哈哈哈哈
好看
不是，还有几个的
byd这动静，你是不是被猴子夺舍了？
焯！！！
离开天命人！
哈哈，广智
走！忽略！
猴哥顶号
现在才两段棍势，还带着丢人血条
求你了做个语音包吧我什么都会做的
一时恍惚，是罗太变大圣还是大圣变罗太
广智：铸币吧
笑喷了
找真TM像
哈哈哈哈哈哈
才发现是罗太
罗太也是上等马楼啦
时停系列！
这还真有操作，很多主播上线就被打残了
双剑华斩
原声大碟
虎先锋：我吃好了。
帅！
感觉没守望先锋好玩
感觉不如只狼
哈哈哈哈哈哈哈哈哈哈
腚！
反应子弹
啊～♂
文明观猴
最帅的一集
电报猴
哈哈哈哈哈笑死我了
电报猴来的
广智：当我不存在？
《Genshin！》doge
帅！
广智救我！！！
「世界」！
赞瓦鲁多
[OHHHH]
不懂就问我是盲人请问这是猴子本人在玩吗？
这是个配音游戏
猴哥原声大碟
破音了吗这是
比黄风老儿死的少
