《毛姐压不住的嘴角》
《从名字看》
《 从 名 字 看 》
排面
啊？
买一套玩一玩呗。不要搞那么辛苦嘛
啊？
求官方别来蹭，自己当初怎么对待游戏的不谈，别天天把游戏赋予什么不属于他的意义
排面
省流：官方单押，skr~
黑神话悟空无敌！销量突破1200万套！！！！！！！！！
排面
我走错了？
心领神会
耶？
谔谔
不是悟空传改编啊
什么玩意儿这么红了 就我一个人还不知道嘛？
哈哈哈要是了解是不是可以聊游戏了
3
过场动画没法跳过
过场动画没法跳过
过场动画没法天津
这也算是纪念性的一刻了
牛牛啊啊啊啊啊
太会说啦
国服
排面
优雅
牛牛牛
排面
啊？
下班就去玩
文化吸引力？更多的不是游戏制作的好吗？什么都想往上面靠
稳啦！！！年度最佳！！
这么大牌面！
不错，牛逼
排面！
哈哈，我第一次看她笑
上国行!
吴承恩老爷子，感谢您
游戏做的好，剧情和传统文化关系不大
啊？
v我328
排面
排面！
不熟
稳啦
不能笑得太放肆，我忍.
国产良心大作，我同事甚至都请假去玩游戏了
欢迎你的到来，天命人
这叫不卑不亢，中国人就是这么含蓄而不失体面！
？
这下拿不到tga了
原来这个游戏是国产？
牌面！！
什么时候出个三国？
猿神，启动
哈哈哈
排面！
外国的游戏，不好玩！中国的游戏，好玩！我们中国真的是太厉害了！
排面！
啊！！！！！！！
外交官连夜恶补《黑神话·悟空》是个啥
自信
不是不是……
排面
牌面
牛牛牛
排面拉满
排面！
我知道但是我不说
这才是真正的文化输出
你问大圣归来 话术也是一样的
不行，我是专业的，嘴角要压住！
国外销量多少？能跟国内55开吗？
20个小时第二关打不过虎爷 我刷小怪刷到45级 然后会去吧新手门口大头干掉  然后还是打不过虎爷  正在冲击50级 兄弟们 我猛不猛
6
非常得体
中华文化传承世界
排面！
排面
事实证明西方黑我们越久反弹就越厉害
啊？
讲究
！！
太容易高潮了
排面
nb
棒子说西游记偷韩国去的
爬
笑起来真好看
蹭
排面
太严谨了
游客诈骗犯
全球450万套
这只是第一步，下面还会有其他名著，等着我们震惊世界吧
啊？？
为什么游戏《大圣归来》不能火遍全球呢？
泪目
真排面
山西古建大火！
电子鸦片
排面
西游记是最火的没有之一
你一定玩了
牌面
排面儿们把兄弟打到公屏上
黑猴，启动！
啊？！排面！
排面
真正的文化输出
不如p3
有一说一，发言人的开心肉眼可见2333
打破顽冥须悟空
大圣牌面
稳辣
啊？
排面
