外卖员不一定都是小哥吧？
不照顾是本职 照护是道德
太伟大了哥们儿
卧槽，我知道这个，这是真的兄弟们
个人行为请勿下降到平台！他伟大，他熠熠生辉，是因为他本身就是个伟大的人！
个人行为，请勿上升平台
这还真是真的，新闻有报道过
骑手行为，勿上升平台
人民万岁！
人民万岁
民众行为请勿上升企业
眼睛尿尿了
人民万岁
那些说请勿上升至平台的，这个外卖小哥本来只是问别人同不同意，不同意就算了，外卖小哥又没强迫他们同意
人民万岁！
好人一生平安
我的硬币就是用在这种地方的
帅啊
而你们，我的兄弟们，你们才是真正的英雄
谢谢你们
真正的帅哥
小子，当赏！
人民万岁
人民万岁
人民万岁！
伟大的中国人民万岁！
太帅了
劳动人民万岁！
向真正的骑士致敬
英雄！
人民万岁
艹我没币啦～我好想投两个
人民万岁！
先生大义
人民万岁
情报是真的
必须投币
纳尼？情报是真的？
劳动人民最光荣！
这世界真是好人多啊
唉
泪目了，人间还是有真情在的
坏了，情报是真的
人民的英雄，我们的英雄，真正的英雄
英雄的团队！
根据真实故事改编，请各位看完
人民万岁！
人民万岁！
伟大的工人阶级万岁
哭了
但我并没有这么高尚，我愿意成为响应者，但我可能没法去号召
人民万岁！
都是好样的
情报是真的
纳尼！情报是真的？
人民义勇军向前进
而我的朋友，你们是真正的英雄
人民万岁！
都是好样的！
大早上的哭了
联合起来！
好温暖
致敬
泪目
劳动人民万岁
惊人的点赞量。
无以言表
人民万岁!伟大的工人阶级万岁!
要是有一个坏心眼的……
致敬劳动者
别遇到坏人了
劳动最光荣
不容易的 不知道是不是用餐高峰期 愿意舍弃15分钟赚钱的时间
老吾老以及人之老
民众行为，请勿上升平台
个人行为请勿下降到平台
个人行为请勿下降平台
人民万岁
泪目了
世上还是好人多
小子看好了，硬币之力是这样用的
纳尼？情报是真的
人民万岁
我们从不缺乏最可爱的人民，从不缺乏最挺直的脊梁！！！
哭傻了
人民万岁
有些与我无关
雀食不一定都是小哥，也有大哥叔叔，基本上就是这些人
魔女之家
劳动人民用渺小积累伟大
为人民服务!
人民万岁！！！
人民万岁！！！
个人行为 请勿上升至平台
我们联合！
干眼症舒适区！
人民万岁！
人民万岁！！！
人民万岁
劳动者光荣
他是河南南阳的哦
真就是工人爷爷
人民万岁
我靠，温暖到爆
以前我的姥爷也被小哥照顾过，谢谢
致敬
我们不希望情报是真的
纳尼？情报是真的？！
纳尼，情报是真的
妈呀。。。
啊看哭我了
个人行为，和平台没有关系
个人行为，请勿下降平台
员工个人行为请勿上升到平台
这才是真的员工个人行为，请勿上升到其企业，与银行的员工个人行为天壤之别
这次不是我，是我们
而你，我的朋友，你是真正的英雄
人好大家好
咣当也来了
人民万岁
I'm in！
泪目了……
人民万岁
人民万岁！
这、是真的
泪目了
骑士猫猫好！
v顺风车拼车一喂顺风车
v顺风车拼车一喂顺风车
v顺风车拼车一喂顺风车
人民万岁！
人民万岁
人民万岁
劳动人民万岁
泪目
这个真看过！！！
眼睛袅袅了
人民英雄
大家都是好人啊
都是好人
咣当分饰两角
尿尿嘞
好美
泪目
泪目
人民子弟，泪目
人民万岁！
人民万岁
劳动人民最光荣
劳动人民万岁！
外卖员不一定是小哥，但是做出这种高尚行为的的确是一个小哥
人民万岁！
省流：省什么流，给我看完
人民万岁
而你们，我的朋友，你们是真正的骑士！
纳尼，情报是真的
劳动人民万岁！
感恩美团
老吾老以及人之老
好人一生平安
人民万岁
天呐
人民万岁
来吧！我们一起！
伟大的工人阶级！
世界人民大团结！
人民万岁
人民万岁
蕾姆了
人民万岁
人民万岁！
人民万岁
好棒！！！
人民万岁
骑手好，阿姨也好，我眼睛袅袅
骑士团！
妈呀眼睛尿尿了
劳动人民万岁
om
纳尼？情报是真的？！
至此，艺术已成
省流:情报属实
省流:情报属实
劳动人民万岁！
看到这里眼泪出来了
情报是真的！
不是，第二次还会分到同一个外卖员？
别上升群体，各行各业都有善人和恶人
真骑士
BGM是什么
骑手行为切勿上升到平台
ai识曲
人民万岁
个人行为 请勿下降平台
請讓我尊稱您一聲騎士大人！
省流：情报是真的
情报是真的
泪目了
好人一生平安
泪目
情报是真的
老哥可以
纳尼，情报是真的
兄弟，我们一起！
劳动人民万岁！
人民万岁！
你们太棒了！
纳尼？情报是真的！
而你，我的朋友，你是英雄！
感动
shine!
外卖小哥是外卖大侠
小哥们都好！！！
在麦当劳等餐，给我看哭了
而我的朋友，你是真正的英雄
类目
群众心疼群众
什么！你是人民的英雄！！
英雄
这不上中国好人榜？
男士大义
这才是真正的，幸福的
蕾姆啦！
团结！
泪目
哇塞
真好
个人行为与出生平台无关
不是哥们？？？
团体行为不要上升到企业
纳尼，情报居然是真的！
这才是我希望的世界
太温暖了
泪目了
人民万岁
至此，已成艺术
人民英雄
这是真实事件改编啊
人民万岁
人民万岁
这不比那个外卖电影好！
我记得这个小哥上过新闻，他照顾阿姨几年了
劳动人民最伟大
人民万岁
劳动人民万岁
握草，大家都是榜样
哇好感动
泪目
什么？情报是真的！
致敬
外卖侠！！！！
纳尼，情报居然是真的！
真正的男人
全心全意为人民服务！
这是我最后的两个币了，收下吧
好人啊
纳尼！情报是真的
伟大的劳动人民万岁
这是真的
我们联合！
贫苦人才能共情贫苦人
好人一生平安
真是个善人
尸体暖暖的
顶
纳尼！情报是真的！
眼睛又要尿尿了
个人行为，请勿下降到平台
我也加入！
人民万岁！！！
居然是真人真事
人民万岁
谢谢你好心人
真的哭死！
人民万岁！
天呐
呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜
人民的力量，致敬
骑手个人行为请勿上升到初生平台。
我的朋友，你才是真正的英雄！
好温暖
劳动人民万岁
这乃人民英雄，吾之楷模
awww
好样的
人民胜利
好人！
人民万岁
兄弟我们一起！
靠，搞这么热血
你是真正的英雄
人民万岁
工农子弟是最可爱的人
咣当出演残疾阿姨它同意了吗？
纳尼，情报是真的？
情报是真的
哭了 ，真哭了
人民万岁！
这下不得不投了
人民万岁
人民万岁
[ 根据真实事件改编 ]
纳尼？情报是真的？
骑手个人行为请勿上升到平台
眼睛袅袅了…………
劳动人民万岁！
