哥们你真小头支配大头了（吃瓜见评论区）
能出到第七期在座的各位都有责任
像，很像啊
中间是面膜
空耳听成了粉丝们是小蜜蜂()
众有责系列
栓栓的
就……很像啊
中间这是啥玩意儿。。。
看着封面我以为是世界美食欧飞手
居然能出这么多期！在场的各位都有责任！
开屏暴击
前排！考研休息区
已塌房
无所谓娜娜我会溺爱你
服了 真做饭博主
这也能塌
臭弓钩
塌房啦
已塌房已塌房已塌房
神奇海王
神奇海王
炮王
服啦
做恨小能手
来打卡一下作恨哥
油条蘸酱油！！
你真的小龟当家了嘛
好一个纯情大男孩
随时带t随时约的小哥哥一枚
离谱
做恨好玩吗
哈哈哈哈哈哈，我手没使劲～
这是中国吗
yue了大哥
做恨小哥
果然女人的直觉，没关注是对的
关注了得有4年了吧，害
向那个优秀的女生道歉！纯情大男孩(纯阴阳
难以想象海娜做一期视频多费劲，废话那么多得剪好多
海娜粉丝你们不看他直播的啊，这都能粉上
塌了啊
我是历史老师这就是史
QQ肠配冰糕好吃爆炸
这个一看就很好吃
初中的粉丝不吃
这个挺正常
道歉视频呢？
光看你做饭了，忘记你是个男的了
做恨天才
纯情大男孩来了，通通闪开！！！
哥们已脱粉
蒜蓉辣酱yyds
可能你心黑吧
做恨达人
神金
平时看你做饭搞笑，没想到塌房回复也搞笑
你牛逼
美食区都能塌
神奇炮友
纯情大男孩哦～
都不知道是真的还是故意整up
我真想杀人
…
跟吃甜咸口的拼了…
你是不是塌了啊
赶紧看博主都要没了
用力了吗？
利民蒜蓉辣酱齁咸
神奇小炮
这不是纯情大男孩吗
以后别做菜了，做恨吧，毕竟纯情小哥哥一枚捏
我还没看这期呢 就塌了真是
做恨！做恨！做恨！
你无敌了朋友 万万没想到做饭up主还能塌
原来是恶臭蝻啊
脏脏脏脏脏脏脏
做恨男
我真服了
大哥我服了，你到底要干嘛
纯情大男孩吗
纯情大男孩了又以为自己是？你懂我意思吧？笑死了，男的能不能别这么好笑？
那你告诉我什么叫做恨
哈哈哈哈哈哈哈
服了，我关注谁谁塌，之前关注收七龙珠塌了，现在娜娜也塌了哈哈哈哈
各位，up塌房了
是你吗？那个自信普男
人也妹说要加水啊
……没想到你是这种人
烂
三次纯情男
娜娜，泥…？
怎么删了，刚嘲讽完
那个回应视频呢？
永和豆浆那个酱好吃
真能编啊
以后老了想吃奥利奥的时候就这样吃
？
沙雕
ee我先取guan了
再见
不是大哥？
我热搜来的
哥们你有房是真塌啊
美食博主也能塌房
塌方送走一条龙服务
鸭子
我家妹有
豁，这不你最爱吗
中间素在…？
异食癖合集（）
鬼打墙了...
第七就好了，还第七七
D77？
这是..史吗
七七！（幻听）
这是
众有责系列
谁是你的77？？
嗲不嗲
韭花酱？
烫！
这个开头已经看得我很打yue了
前排太烫了
先赞后看
早啊
10分钟前
15分钟
15分钟前
早早早早早
最早的一次！！！
这。。中间是泥巴吗
霸占空屏
两分钟前，第一次这么早，太热乎啦
1分钟前！！
