标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
《崩坏：星穹铁道》飞霄角色PV——「君莫笑」  ‌,崩坏星穹铁道,https://www.bilibili.com/video/BV1s2pBevEoN,371.2万,1.7万,"「即日起，罗浮各店暂停提供酒水服务。」
「发生什么事了？」
「嘘，将军口谕：狼来了。」

中文CV：
飞霄——叶知秋
景元——孙晔
 
日文CV：
飞霄——小松未可子
景元——小野大辅
 
韩文CV：
飞霄——손정민
景元——류승곤",28.2万,11.5万,28.2万,4.3万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-09 12:00:00
我膨胀了！居然敢为300人做饭！,绵羊料理,https://www.bilibili.com/video/BV1gBp7enES8,329.3万,7840,今天的食材：80斤肉！话不多说，直接开干！,23.3万,18.2万,23.3万,4820,"['bilibili食界杯', '美食', '美食制作', '美食制作', '厨艺', '公益', '生活', '学校', 'vlog', '食堂']",2024-09-10 17:30:00
谁是海难吸铁石？【硬核狠人70】,小约翰可汗,https://www.bilibili.com/video/BV1kepjePEPz,226.7万,2.1万,本篇为硬核狠人之查尔斯·赫伯特·莱托勒。,19.4万,12.2万,19.4万,7282,"['人文历史档案馆', '知识', '人文历史', '英国', '人文', '历史', '泰坦尼克号', '知识', '航海', '世界史', '敦刻尔克', '狠人']",2024-09-10 11:00:00
【年度巨制】琪计划：出击【2024崩坏3同人大电影】,特效小哥studio,https://www.bilibili.com/video/BV1UxpEe7Ej3,127.8万,1.7万,"琪亚娜！出击！
祝崩坏3八周年生日快乐！",14.3万,10.6万,14.3万,2.2万,"['崩坏3周年环游记', '游戏', '手机游戏', '琪亚娜', '手机游戏', '游戏', '崩坏3', '崩坏3同人大电影', '孑遗千星', '崩坏3八周年庆典', '感动', '薇塔']",2024-09-10 12:00:00
我奶酪呢！！！！！！！！,高斯Goh,https://www.bilibili.com/video/BV1Z2421Z7ha,164.8万,1.1万,"希望你喜欢这次的视频，这次玩的游戏是《奶酪大盗》。
接下来我来详细介绍一下规则。 
游戏步骤： 1、分发身份牌并摇骰子，秘密查看身份及骰子点数。 
2、天黑请闭眼，主持人叫到点数时，对应点数的玩家睁眼并行动。 
如果一个嗜睡老鼠独自醒来，可以秘密地查看任意一名玩家的骰子。 
如果不止一个人醒来，则不能查看骰子。 
无论多少人睁眼，大盗醒来都一定要偷走奶酪。 
3、天亮前，所有人伸出手，大盗睁眼选择共犯，共犯睁眼与大盗确认。 
4、公开讨论后，投票指认奶酪大盗。 
嗜睡老鼠胜利条件：正确指认奶酪大盗 
大盗及共犯胜利条件：嗜睡老鼠或共犯被指认。 
也就是说，共犯需要充当挡箭牌。
记得三连！！！！！",15.6万,7.3万,15.6万,3542,"['桌游棋牌游戏推荐', '游戏', '桌游棋牌', '推理', '生活', '聚会', '搞笑', '日常', '沙雕', '整活', '小潮team', '奶酪大盗']",2024-09-10 12:00:00
是时候玩点好的｜《三角洲行动》9月26日正式上线PC及移动端！,三角洲行动,https://www.bilibili.com/video/BV1Shppe8EaZ,478.9万,4541,"是时候玩一点好画面、好玩法、好体验、好手感、好刺激、好热血、好细节、好有趣、好带感……
真国产自研，来自琳琅天上：2024年9月26日，是时候，玩点好的了！",13.4万,5166,13.4万,1.6万,"['游戏', '网络游戏', '射击游戏', 'FPS', '三角洲行动', '三角洲行动定档9月26日', '是时候玩点好的']",2024-09-10 10:00:00
花十万元改造了一家40年的两元面馆。面馆老板只为赶集老百姓能吃到一碗实在的面，我也想让他们吃到一碗更幸福的面。,superB太,https://www.bilibili.com/video/BV1sBpae2EMi,267.2万,6816,-,41.9万,21.1万,41.9万,5822,"['美食', '美食侦探', '街头美食', '老板', '探店']",2024-09-08 12:58:00
爸，我一定会努力，成为您折不断的腰板,仔仔的猫meme,https://www.bilibili.com/video/BV1wop7eMEtd,173.3万,992,-,36.3万,6.6万,36.3万,1143,"['影视', '小剧场', '父亲', '猫meme', '真实还原', '内容来源于网络']",2024-09-09 21:01:47
【互动视频】当丧尸遍布全城！你！能否活着离开这座死亡之城？！,末世云夜,https://www.bilibili.com/video/BV1g5pqeBEXP,227.8万,2.0万,"来迟了！来迟了！
先跟大家说声抱歉！让大家久等了
本期陆陆续续做了大半年，总共制作了将近一百个视频以及上千张图片
从剧本编写到视频制作皆由个人独立完成创作
剧本更是我做互动视频以来写的量最大最头疼的一次...
好吧...其实主要也是中途修改了几次剧本，再加上白天要上班，所以就一直没能制作下去...
那么话不多说，该视频为互动类视频
包括be结局在内大概有30个来个结局，两条主线结局，一条隐藏结局可供大家探索，希望大家玩的开心
[故事介绍：我从昏迷中苏醒，身体上传来说不清的异样感，我这是怎么了？整个世界安静的有些可怕，直到我离开房间遇到了尸变的室友，我才意识到，那过去和平的日常，也许再也回不去了]
制作不易，喜欢的朋友可以三连支持一下
您的支持是我做视频的最大动力！！！！",7.9万,6.7万,7.9万,2.0万,"['游戏', '单机游戏', '互动视频', '独立游戏', '娱乐', '僵尸', '自制', '生存', '生化危机', '丧尸', '互动游戏', '末世']",2024-09-09 03:16:01
“饭圈”变“怪圈”，要治！,央视新闻,https://www.bilibili.com/video/BV11up7egEDP,156.2万,1.4万,近年来，频繁出现一些狂热粉丝过激围堵艺人，对艺人疯狂“怼脸”跟拍等行为，严重影响公共秩序，甚至碰触法律底线。一些粉丝从对偶像单纯“崇拜”，渐渐演变成参与畸形“饭圈”造星“养成”，为了刷数据造流量，可以在网上发表不当言论，甚至做出“送花圈”这种过激行为。,15.9万,1.5万,15.9万,1.2万,"['资讯', '热点', '饭圈', '追星']",2024-09-09 14:09:46
