小時候母親剛淆的說已經放了很久的湯 (確信
既有银的闪闪发光，也有金的黄色霸气。
他在练蛊！他的确是在练仙蛊！
“十三公斤”
有钱有时间有精力，可以说是很多人的一辈子了
趁热喝
天命人の陨落
俺颇有家资
补药啊
布什戈门！
不至于，不至于
其实是因为做完没热度了，想再重做一遍，有热度
这才是匠人精神
不是师傅，你不要给我呀。
？啊 ！
当年太上老君都没那么拼
纯钨能不能做？
都是心血啊 就这么融了真心疼
没有素材拍了，就重新来，这就是资本
黑神话悟空:补药啊，我的棒子
补药啊！
后面那一排都是金砖吗？
啊！
啊，黄金啊
bgm壁上观
快端上来罢，我趁热喝
浴火重生！
浴火重生
后续赞我谢谢
后续赞我谢谢
补药啊！！！
不是，大哥，你来真的
加油！
今日暂且展翼去，明朝登仙笞凤凰。阁下好志向，我便助阁下一臂之力
炼丹师
这不得不投个币了，给UP主回回血
我刚攒的十个币，给你
怎么就没法回收了……金属又不是各种水能混一块
随便换算的同学，13500这个数不是随意弄的，定海神珍铁重一万三千五百斤
补药啊！
这袈裟我不要了
记得买点火箭，先关注了
有后续赞我，谢谢
啊？
不药啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！
真.“金”箍棒
no！！！！！！！！
我的一辈子
已買，孩子愛喝。
見過
13.5kg
666
布药啊！
金箍棒是铁
啊？
哪个出生说的？
哪个不要脸的说的，我真的服了呀
哪个不要脸的说的呀？我真的服了呀。
真有钱
啊
集中一点，登峰造极
点了
？
没关系，我能等相信你能做到
支持每一位手艺人。
这又是何苦
不是、师傅你至于吗？！
这真的真金白银呀，只恨只能投2个币
不是
且听这龙吟。
已投币
出后续赞我
啊？
我要啊啊啊
补药啊
七七四十九天
不是哥们，玩真的
啊珍你黎真啊？
如果真是纯金银，肯定会有人收藏的，情怀向的东西永远不缺有钱人入手
13500克。。。27斤啊
投币给回血
黄金不会蒸发的白银才会
金包银吧，这是？纯黄金很贵
那么几个人说，不至于
别废话上成品
啊？
听歌识曲
空挣了几百条棍子，怎得抵得上着一条
传世之作
谁说的啊？
人话13.5公斤
啊？
啊？
花纹不行，懂吗，没气质，跟金子没关系
感情深，一口闷doge
我嘞个永生蛊啊
？？？？
啊！！！？？？？
这火耗不少啊。。。
投币！
老君的炼丹炉
啊？
我还有翻盘的希望，我还没有输得彻底，我还有春秋蝉！
？？？
谁又惹他了
27斤的也就是适合我用，我就它的主人
有后续也赞我一下，谢谢
补药啊！
不至于不至于
歌名:精卫
七了八了，直接龙掉
最后一个三连了
？
人话13.5公斤，27斤
补药啊！！！！！
做一个13500斤的吧
但是大圣不会喜欢金银做的
啊啊啊啊
补药啊
补药啊！
6？？？
棚子里有水
不至于，不至于
三连了
这个喷不了，真牛逼
火耗
这位是真的狠，身体力行的典范
不是哥们儿，不至于啊
好家伙，按500元/克的金价，这视频成本起码6750000元了
6
这师傅的手法很牛逼
