冷知识：折叠屏一般看正面有没有折叠痕迹，大角度看不到折痕的，那就是天宫制品
竟然还有双数据线？不环保！（doge）
《装饰性》
高情商：装饰性非常强
《低至零下5度请勿弯折手机》
丹书铁劵
店长：该我说词了
店长：我还没说词啊
折痕消失术
《因为店长走了》
100
小艺:再赖床就把床垫折叠过来
外屏:啊米诺斯
我也有混合痔
探花利器
豪大大手机
华为：你以为你有矿，我们早就想到有老登会这样了，所以加了个框
那岩：店长说有床戏，我二话没说就接了
店长:那岩工资发一下
《其他状态》
店长：我就两字？
我曹，这个展开太叼了，屏幕像水一样流过去
正好有2万要等半年，正好有4万可以马上拥有
别整这个音乐，我心虚，老感觉领导喊我加班了
店长：你说的都是我的词啊
大力出奇迹充电器
呜喔~doge
电子奏折……..
店长：我还在呢
小米：已经在买通内部人员，做自研了
这个屏幕跟越野赛道似的
不买它的原因，我是左撇子（滑稽
赛博奏折
打个游戏看看
出一个“圣旨”手机壳
搬砖红
皇上的奏折
居然是充电口限制了轻薄度
这是真皮不是素皮
电池是8000
明哥：难说
实在没啥喷的了，说折痕
这样我开视频会的时候是不是可以用后摄？
不急 等小米出
传下去 华为要用lighting
直接取消充电口用无线充
竟然送耳机，这不环保
我看到了两道折痕
可以想象到的。再将来那肯定就直接去掉了。直接就是无线充了。
高情商
再说折痕的纯纯的没长脑子。强光下对着照什么折叠屏都明显
屏幕摄像头可以去掉，自拍可以把摄像头折过来
我还是等四折吧
三星真的输麻了，铰链悬停差不多的情况下华为铰链厚度只有一半厚
虽然买不起，但是也过过眼瘾
脾气多好用这种手机才不会摔坏
没有任何价值
三星：这巨型这叠痕迹，华为：没多大，赛博生命还多
谁买 我笑 她一辈子
《有点尬》
太拉了
苹果才是信仰
过年送领导的好选择
有刘醒大师吗
手电筒
爱撕机膜人
哦
就戴着这个耳机在摸鱼看视频
又秒上了哥们
这66瓦到底还得用多少年？
艺术品
看过直播，没带手套是最后了，这里为了内容连贯剪一起了
这已经是极限了吧
太不环保了
太不环保了
全展开最薄处3.6mm
猕猴魅力时刻！！
再继续变薄要考虑电池容量问题。。
要是不考虑续航，平板肯定能做更薄啊，也不看看这手机的电池大小
胡说！我同心套装盒子比这个大多了。
店长是方堂镜
下一步有可能取消typec，只留无线充，看技术突破吧
这手机要是卖一万销量能翻好几倍
很适合那些年纪大老板耶
是真皮
越薄越容易坏掉。我这个摔手机星人怎么办。只能买那种能带厚手机壳的。
5000多的电池续航可想而知
知道前面黄字你是史做的了，看啥都是史
下次做无线充，或者类似手环手表那种磁吸充就更薄啦
前面说没兴趣做的，也是挺牛的
所以华为先做外折，然后再做内折，就是为了这个三折做准备
350g的平板
好厚
这已经是世界最高水平的折痕表现了，还有什么好说的
这是全角度了
xs2类似的保护壳
华为的折叠技术
过两天看故障率_(:3」∠)_
我去，真的考虑到了
这个转轴是又进步了
别人：苹果
强迫症犯了
不舍得折，你买这手机干嘛？养个祖宗吗
确实牛逼
天才
等供应链成熟了，小米马上就能做了
抢到三折叠就转手，等于白捡一台mate70
我去，一对比，光厚度已经是快时代的
两个折叠万一折反了怎么办
我要有钱绝对搞一台
前后双景
≈5个鸡蛋
我要这样的2折
再薄合上三层也是厚的，日用很难受的，还307克
哈哈
掉地上稳挂
店长？我词呢
1000
帅
还是没有纯血鸿蒙吗
好了好了该我玩了
100
搞了这么多年，终于没有虚位了
cpu呢 cpu呢 cpu呢
98
《哦桑》
1
弹幕对于屏幕分辨率的认识真是令人捉急啊
魔镜魔镜告诉我～
10000
奏折
我都不敢想，万一摔一下那心脏都要停跳
卧槽这个爽
出音味来
《哦桑》
鹅妹子~~
1
cpu呢  说重点
100
不如小米不如小米不如小米不如小米不如小米
10
100
100
这下懂了
不如小米
又捷足先登小米
牛逼
德芙纵享丝滑
100
苹果：你这不环保
花里胡哨
冷知识:电池只有1.9毫米，机身只有3.6毫米
很多老的豪华车都用这种传统的车充
100
科技美学（指9010CPU）
不可能是Lighting了，反复烫伤断了它的未来
华为折叠折痕控制不是友商可以碰瓷的
8848
折叠版PAD
这么大的屏幕这么薄的机身，你还想120？续航不要了？
都不买
1
果断买苹果
啊？
100
我们公司老板用的话，天天赛博上朝
100
说折叠明显的建议去看下友商的双折叠
1
宽广
类人生物ztm多
100
100
大胆
科技改变未来
丝滑
遥遥领先，不想听自己憋着去
牛掰
11111
除去耳机和车载手机充电器，手机其实就卖18000
丝滑
试问这种状态下突然收到别人打给你的电话，该怎么接？
1111111111
用折叠屏的都不在意折痕，不用的人很在意折痕
95
100
100
友商拿货来卖啊？？？？
233
100
90
想要 买不起
99
1
100
手套都带上了
妙哉
60
60
丝滑
牛批
没有任何一个测评提了它的续航···
我只要一屏  买哪个
100
气氛突然变紫了
店主快绷不住要笑场了，疯狂抿嘴
说什么未来发展趋势，妥妥的鸡肋，1+1=0
外红内黑啊
真土啊哈哈哈
100
一个月后闲鱼见
100
电池只有1.9毫米
能通讯为什么不是手机，那pad也有插卡版的，你是不是要说pad不能叫pad了
人无我有
对于手机的话肯定是重的
关键是送这么多东西不环保啊
有点重
处理器是一点没讲
低调hhh
洗70次脚
你忍一下
板砖
100
店长已提着刀冲过来了
手套模式吧，要不然就是手套特别薄
100
太不环保了吧
这个折痕，是不是有点尴尬，算不上优秀水平。跟小米那个差不多，跟oppo，就有很大的差距了
直接局域网传输数据无线充电
iPhone iPad瑟瑟发抖
别问了，折反了跟苹果折叠屏一样
100
100
说折痕的没见过折叠屏？？
100
丝滑
1
直接磁吸无线充
我买台笔记本
华为：挑战不可能
我买欧米茄
100
触电充电，那数据无线传输要求就高了。
这么含蓄吗？
lightning来吧
磕碰一下就无了
100
60
3
确实很丝滑
100
我靠我是真的服了，这个键盘没手感好差
80
小米马上交叉专利
三折叠床
前面说折痕的，其实这已经算是非常优秀了，而且反光下都很明显的，建议去线下店亲自试试
这个手套要不就戴好要不就别戴
畜牧业高
0
100
好久出卷轴手机？
零下五度不可弯折，那冬天要小心了，捂热了再打开
1
1111
小米？？？？
质感啥时候能比的上苹果
0000000000
摔一下看看，大家都很'在意
这要是苹果出的，它敢卖五万。
哇哦
很好看
100
又不是三倍主板，也没有三倍电池，怎么可能乘3
100
这视频到底收了多少钱...
默认买主都是有车人
100
我想要个五折的
10分
原来如此
卧槽那么薄
遥遥领先！
3333333333
工艺真的好
3
这么大个屏都不忘挖个孔出来。。
100
苹果：？？？？
真好看
一般
60
3
3
新一代理财产品
米猴刷0都刷冒烟了
sony a7m4
太丝滑了
这壳也能吹吗。。这不很多这种壳了
50
iphone 16 pro max
100
100
幽默幽默哥
考古级片头
还可以再反过来
1
99
1
折反了咋办？dT-Tb
零下五度，钠盐在哈尔滨
1
我买小米alpha
3
好看
90？
这种就是为了商务人士设计的，一开始面向对象就不是大众市场
你的下一台电脑，何必是 PAD？
如果是苹果 得卖你10万
防身不错
114514
"新机都这折痕了,用久了不敢想."
这是给有车一族的
满昏，必须满昏
"""平整"""
0
因为x5还有一个硬屏啊，这个不需要了所以第二折那边就可以薄了，这就是x5+xs的技术集合
细
暗光条件下根本看不到折痕
弹幕酸死啦
《90》
0
默默拿起我的x5看了一眼好像现在就是一个x5接了一个屏幕
这手机能装手机壳吗
90
糇说这有啥，我偷偷领先
真的黑科技了
富人不会用？富人抢着买，我跟你说
11111
遥遥领先
我是农学家，这就是甜菜
0
十台红米
以后全都无线充电，就可以更薄了
直接上磁吸充电
100
来去之间
店长快来啊！
一次买三个手机
真的看起来好高档啊
100
100000000
开箱一部手机还戴手套，不知道的以为是在验古董
终于可以一边刷PH一边写观后感了
你先把外折折起来看看能用后摄拍照不
100
-6666
丝滑！
发布就三折了？买啊，哈哈哈
如果是苹果，又是人类之光了
这不比苹果强太多了
100
真的看起来好高档啊
0
4
有没有帐篷模式，两人对面同时使用
0
0
手机拍摄和自己使用的效果差别很大的
000000
V嗡嗡V嗡嗡
裆下立起
70
1
100
单折是一个手机能折成正方形的样子
100
最外屏贴个钢化膜。完美
店长在写单子
续航性能期待一下
工艺无敌啊
100
唐僧：折叠，我熟
不买华为
讲究
100
怎么左边没保护啊
握草，心疼屏幕
这得买仨，喝大了折反了还有富余
100
50
天才
100
