《刀歌》
爷青回！！！
不是天之弱吗
意难平
你以为的奥特曼9头身。。实际上的。。大金字塔
鹿酱赛高！！！
听了这首歌后，玩！必须玩！！！
我们都是小怪兽
全都是被安排好的。
江南必似
啊？
天之弱？
卧槽长得好像埋导演啊！cos一下？
迎着阳光盛大逃亡
我老婆
美女耶
前排占个位置
龙卡！启动！
游戏已经下载过了
龙族真的是青春啊
看起来还不错
Sakura最好啦~
龙族老粉过来报道
蹲蹲一起玩的搭子
炒鸡喜欢绘梨衣
好家伙龙族？
为了龙族
十年老粉不请自来
红发有点小帅
扣1复活小怪兽
这刀怎么防？
世界很温柔
龙卡冲冲冲
卡塞尔学院走起
激动啊
绘梨衣多温柔啊，她是一束光，而又不刺眼
真的很甜啊
唯一单推绘梨衣
轻绘梨花泪沾衣！大爱绘梨衣
这么多年过去了，现在东京街头还全是遗憾
江南不行，龙卡可以！
超级超级喜欢绘梨衣
上杉绘梨衣承载了我高中的全部青春
意难平啊意难平
我想保护小怪兽
时隔多年，死去的回忆突然攻击我~
游戏体验还可以的
龙族龙族，怎么24年了还在听龙族
日后还得去圣地巡回的，不知道游戏里面有没有
路绘党来啦！超级超级超级超级喜欢
中规中矩的卡牌游戏，但也是龙族新游戏了，支持一波
画风我喜欢
这美术很可以啊
氛围感一下子就起来了
希望你游可以给绘梨衣一个好的结局
雨夜高架桥迈巴赫
可以在游戏里来个婚礼或者让小怪兽活下来吗，求求了
游戏里守夜人论坛挺有意思的，到时候大家可以试试看
没看过小说，被鹿酱圈粉了，玩一玩
此生无悔入龙族
氛围感直接拉满
这效果有点绝啊
经典场景
心里默默心疼老婆
画面感确实强
画风看着还行
有生之年有幸听到
路明非用全部生命将绘梨衣复活，而绘梨衣因不舍和他一同去了天上
冲哇！！！
唉，好难过，这对真的是意难平啊
没有人比江南更懂少年与情爱
绘梨衣喜欢的是Sakura 不是路明非那个衰仔
江南老贼别刀我了
啊我梦想就是去龙族里绘梨衣路明非约会的地方哎
这游戏按照龙族世界观进行的，对原著还原程度还算不错，喜欢龙族的话可以试试
又要来刀子了啊
这都是我的青春啊
这多年，希望能看到一些不一样的内容，比如小怪兽复活
世界如此温柔
喜欢绘梨衣我们就是好朋友
江南真的会刀
男的不会怀孕
现在越甜一会就越刀
还行吧，流畅度比之前几次测试好多了，养成这块也优化了挺多地方
好家伙，甜死我吧
以前刀了我，游戏里就不能刀我了嗷，整点甜的
江南就是个写小说的，他懂个锤子小怪兽
好听诶~
卧槽！好刀啊！日记
还原度不错的
cos的还挺还原
姐姐确实好看
鹿酱用心啦
路绘的糖我可以吃一辈子
Sakura最好了
都是遗憾
比动漫有感觉
能不能加个结婚的支线啊
凡王之血必以剑终！
梦回初中时候
燃起来了家人们
画风还不错
燃起来了
梦回2015年啊
我们都是小怪兽，嘿嘿
真的全都是遗憾
我宣布龙三是龙族巅峰
好多名场面
来个结婚的剧情吧
突然想谈恋爱
燃起来了
只喜欢绘梨衣
是的，我是一个小怪兽
已经抽到三个SSR了
这游戏掉率很ok的
许愿我能运气好一些
游戏里可以来场婚礼吗
青春，爷回来了
龙族永远是遗憾
我就知道有刀子
全体起立
立绘真好看，里面有夏弥绘梨衣诺诺妹子
休闲推图抽卡，当个副游还是很不错的
准备报道
龙族充满遗憾
给我绘梨衣还回来
感觉青春又回来了
此生只爱绘梨衣
太虐了啊
读信直接绝杀
配音真好听
游戏见就完事了
泪奔了
绘梨衣是白月光
回忆杀啊
全是我的青春
up确实很美啊
画风挺好的
目测游戏体验还可以
能不能来点壁纸
兄弟们游戏见
画面构图可以的
已经下载好了
游戏好玩吗？
与世界为敌
意难平啊
好美好美
给我整破防了
明信片真多
超级喜欢龙族
学院见兄弟们
我也想去一趟小怪兽去过的地方
龙卡启动
上号了吗兄弟们
我看看谁还没有上号？
爷青回！！！
游戏里让绘梨衣复活吧
兄弟们上线就能领绘梨衣
龙族全是悲剧
明明你可以救下她
江南你还我老婆
只是拉了拉手指
我的绘梨衣在哪里
小怪兽回不来了
好喜欢这种氛围
Sakura最好啦
龙族粉冲啊
能不能更新一下动漫第三季
建议去做动漫
感觉比动漫舒服
不讲武德啊
可以说是出场就是为了退场的角色，大爱绘梨衣
龙族老粉表示关注这游戏好久啦，目前冲冲冲
超级喜欢小怪兽
看到绘梨衣我直接三连
能不能别刀我啊
不知不觉已经十年过去了啊
姐姐颜值可以的
时间过得好快哇
要是能跟绘梨衣谈恋爱该多好
眼里只有绘梨衣
大白天就用音乐刀我
真的意难平啊
又是多少人的青春呢
真的好甜啊，但故事背后的结局也很刀，这就是龙族
SSR不难获取，感兴趣可以玩玩
感觉还可以，陪兄弟过来的
边听边回忆
哭了，真想和一个小怪兽一起迎着阳光盛大逃亡
说实话真的很喜欢路明非和绘梨衣
喜欢小怪兽
声音很赞
cos的真像
绘梨衣可以为路明非不顾一起，路明非你犹豫的真不男人
搞龙族不就图个虐么！恭喜龙卡，你做到了
满满都是回忆啊，高中时候最喜欢的小说就是龙族了
意难平，以前实体书班上传着看，不能自己一个人难受
为了绘梨衣的高度还原，冲了兄弟们
可惜江南只能看着师姐被冲刺
能不能更新一下动漫第三季
建议去做动漫
绘梨衣永远的意难平！江南他没有心！
圆梦了
感觉比动漫舒服
想要一个绘梨衣老婆
不讲武德啊
最喜欢的角色就是小怪兽
有绘梨衣的地方就有我
白月光的回忆谁懂啊
跟我记忆中的龙族差别不太大，还原度还蛮高的
就像是一场梦，醒了很久还是很感动
小怪兽注定是悲剧的
龙卡我劝你善良
当时看小说好想哭
楚楚动人
血之哀只是孤独的借口
来个好结局吧
不见不散
学院见兄弟们！！！
果然记忆的刀最戳人
卡塞尔学院新生报道
爷青回！！！
有生之年系列
还是龙三感情线好看
游戏里能自定义剧情吗
全是青春，有谁是高中上课时候接触龙族的？举手
江南！你引起公愤了
这cos还原度还不错吧，是我喜欢的类型
小怪兽回不来了，希望在龙卡中，一切皆有可能
要是我是路明非就好了
something for nothing
欢迎来到卡塞尔学院
游戏里边可以来一场婚礼，弥补一下遗憾吗
爱上鹿火是宿命，爱上龙卡是看命
